날짜,요일,홈팀,원정팀,장소,관중 수
2022-04-02,토,두산,한화,잠실,16271
2022-04-03,일,두산,한화,잠실,11345
2022-04-05,화,두산,삼성,잠실,4109
2022-04-06,수,두산,삼성,잠실,4161
2022-04-07,목,두산,삼성,잠실,4055
2022-04-15,금,두산,키움,잠실,4423
2022-04-16,토,두산,키움,잠실,9737
2022-04-17,일,두산,키움,잠실,8762
2022-04-22,금,두산,LG,잠실,8472
2022-04-23,토,두산,LG,잠실,17799
2022-04-24,일,두산,LG,잠실,14848
2022-04-26,화,두산,NC,잠실,3644
2022-04-27,수,두산,NC,잠실,3450
2022-04-28,목,두산,NC,잠실,5223
2022-05-06,금,두산,KT,잠실,8709
2022-05-07,토,두산,KT,잠실,10546
2022-05-08,일,두산,KT,잠실,7124
2022-05-17,화,두산,SSG,잠실,5743
2022-05-18,수,두산,SSG,잠실,5586
2022-05-19,목,두산,SSG,잠실,7360
2022-05-20,금,두산,롯데,잠실,15486
2022-05-21,토,두산,롯데,잠실,20588
2022-05-22,일,두산,롯데,잠실,19143
2022-05-31,화,두산,KIA,잠실,18194
2022-06-01,수,두산,KIA,잠실,23244
2022-06-02,목,두산,KIA,잠실,11029
2022-06-07,화,두산,한화,잠실,4702
2022-06-08,수,두산,한화,잠실,4882
2022-06-09,목,두산,한화,잠실,6612
2022-06-17,금,두산,KT,잠실,4898
2022-06-18,토,두산,KT,잠실,9033
2022-06-19,일,두산,KT,잠실,6966
2022-06-24,금,두산,KIA,잠실,14470
2022-06-25,토,두산,KIA,잠실,22093
2022-06-26,일,두산,KIA,잠실,16298
2022-07-05,화,두산,키움,잠실,4265
2022-07-06,수,두산,키움,잠실,2930
2022-07-07,목,두산,키움,잠실,3781
2022-07-08,금,두산,LG,잠실,9875
2022-07-09,토,두산,LG,잠실,16032
2022-07-10,일,두산,LG,잠실,10980
2022-07-22,금,두산,SSG,잠실,6223
2022-07-24,일,두산,SSG,잠실,6216
2022-07-26,화,두산,롯데,잠실,5857
2022-07-27,수,두산,롯데,잠실,5115
2022-07-28,목,두산,롯데,잠실,9820
2022-08-03,수,두산,삼성,잠실,6125
2022-08-04,목,두산,삼성,잠실,7429
2022-08-10,수,두산,NC,잠실,2672
2022-08-11,목,두산,NC,잠실,2005
2022-08-12,금,두산,NC,잠실,3679
2022-08-13,토,두산,SSG,잠실,6659
2022-08-14,일,두산,SSG,잠실,6973
2022-08-18,목,두산,키움,잠실,3517
2022-08-23,화,두산,KT,잠실,3059
2022-08-24,수,두산,KT,잠실,2827
2022-09-01,목,두산,롯데,잠실,6219
2022-09-02,금,두산,롯데,잠실,8100
2022-09-03,토,두산,삼성,잠실,13113
2022-09-08,목,두산,한화,잠실,4757
2022-09-09,금,두산,한화,잠실,5691
2022-09-10,토,두산,KIA,잠실,13433
2022-09-11,일,두산,KIA,잠실,20681
2022-09-13,화,두산,LG,잠실,6803
2022-09-14,수,두산,LG,잠실,7098
2022-09-20,화,두산,NC,잠실,7386
2022-09-21,수,두산,NC,잠실,4683
2022-09-25,일,두산,한화,잠실,9590
2022-10-05,수,두산,SSG,잠실,9474
2022-10-06,목,두산,삼성,잠실,7350
2022-10-07,금,두산,삼성,잠실,11681
2022-10-08,토,두산,키움,잠실,23511
2023-04-01,토,두산,롯데,잠실,23750
2023-04-02,일,두산,롯데,잠실,23750
2023-04-04,화,두산,NC,잠실,3924
2023-04-05,수,두산,NC,잠실,2172
2023-04-06,목,두산,NC,잠실,3724
2023-04-11,화,두산,키움,잠실,4372
2023-04-13,목,두산,키움,잠실,6917
2023-04-21,금,두산,KT,잠실,6896
2023-04-22,토,두산,KT,잠실,13410
2023-04-23,일,두산,KT,잠실,10151
2023-05-02,화,두산,한화,잠실,9834
2023-05-03,수,두산,한화,잠실,14271
2023-05-04,목,두산,한화,잠실,10825
2023-05-07,일,두산,LG,잠실,22073
2023-05-12,금,두산,KIA,잠실,20563
2023-05-13,토,두산,KIA,잠실,23750
2023-05-14,일,두산,KIA,잠실,23750
2023-05-23,화,두산,삼성,잠실,10733
2023-05-24,수,두산,삼성,잠실,11108
2023-05-25,목,두산,삼성,잠실,11005
2023-05-26,금,두산,SSG,잠실,10428
2023-06-06,화,두산,한화,잠실,21146
2023-06-07,수,두산,한화,잠실,8497
2023-06-08,목,두산,한화,잠실,8509
2023-06-09,금,두산,KIA,잠실,16250
2023-06-10,토,두산,KIA,잠실,22233
2023-06-11,일,두산,KIA,잠실,18623
2023-06-20,화,두산,SSG,잠실,6186
2023-06-21,수,두산,SSG,잠실,5473
2023-06-22,목,두산,SSG,잠실,7291
2023-06-27,화,두산,NC,잠실,5302
2023-06-28,수,두산,NC,잠실,5400
2023-07-07,금,두산,키움,잠실,14123
2023-07-08,토,두산,키움,잠실,19676
2023-07-09,일,두산,키움,잠실,11472
2023-07-25,화,두산,롯데,잠실,12700
2023-07-26,수,두산,롯데,잠실,13620
2023-07-27,목,두산,롯데,잠실,12511
2023-07-28,금,두산,LG,잠실,16987
2023-07-29,토,두산,LG,잠실,21126
2023-07-30,일,두산,LG,잠실,19500
2023-08-04,금,두산,KT,잠실,6358
2023-08-05,토,두산,KT,잠실,8847
2023-08-06,일,두산,KT,잠실,6744
2023-08-08,화,두산,삼성,잠실,8519
2023-08-09,수,두산,삼성,잠실,8344
2023-08-15,화,두산,KT,잠실,11069
2023-08-16,수,두산,KT,잠실,5160
2023-08-17,목,두산,KT,잠실,4943
2023-08-19,토,두산,NC,잠실,12240
2023-08-20,일,두산,NC,잠실,8286
2023-08-25,금,두산,SSG,잠실,8363
2023-08-26,토,두산,SSG,잠실,15101
2023-08-27,일,두산,SSG,잠실,11300
2023-09-06,수,두산,KIA,잠실,20468
2023-09-07,목,두산,KIA,잠실,21838
2023-09-08,금,두산,삼성,잠실,15991
2023-09-09,토,두산,삼성,잠실,14279
2023-09-09,토,두산,삼성,잠실,21514
2023-09-10,일,두산,삼성,잠실,17467
2023-09-12,화,두산,한화,잠실,10169
2023-09-14,목,두산,SSG,잠실,7257
2023-09-19,화,두산,NC,잠실,6726
2023-09-29,금,두산,LG,잠실,20951
2023-09-30,토,두산,LG,잠실,23750
2023-10-01,일,두산,LG,잠실,23750
2023-10-02,월,두산,키움,잠실,18050
2023-10-03,화,두산,키움,잠실,14588
2023-10-07,토,두산,롯데,잠실,19916
2023-10-08,일,두산,롯데,잠실,21392
2023-10-12,목,두산,NC,잠실,7113
2023-10-13,금,두산,KIA,잠실,19188
2023-10-16,월,두산,SSG,잠실,15850
2024-03-29,금,두산,KIA,잠실,23750
2024-03-30,토,두산,KIA,잠실,23750
2024-03-31,일,두산,KIA,잠실,23750
2024-04-09,화,두산,한화,잠실,23598
2024-04-10,수,두산,한화,잠실,23750
2024-04-11,목,두산,한화,잠실,22157
2024-04-12,금,두산,LG,잠실,19916
2024-04-13,토,두산,LG,잠실,23750
2024-04-14,일,두산,LG,잠실,22586
2024-04-19,금,두산,키움,잠실,10649
2024-04-21,일,두산,키움,잠실,13745
2024-04-21,일,두산,키움,잠실,6197
2024-04-23,화,두산,NC,잠실,5664
2024-04-24,수,두산,NC,잠실,6444
2024-04-25,목,두산,NC,잠실,7385
2024-04-30,화,두산,삼성,잠실,20170
2024-05-01,수,두산,삼성,잠실,23750
2024-05-02,목,두산,삼성,잠실,20395
2024-05-10,금,두산,KT,잠실,13013
2024-05-12,일,두산,KT,잠실,16308
2024-05-12,일,두산,KT,잠실,9026
2024-05-17,금,두산,롯데,잠실,23750
2024-05-18,토,두산,롯데,잠실,23750
2024-05-19,일,두산,롯데,잠실,23750
2024-05-21,화,두산,SSG,잠실,13917
2024-05-22,수,두산,SSG,잠실,12642
2024-05-23,목,두산,SSG,잠실,12131
2024-05-28,화,두산,KT,잠실,8459
2024-05-29,수,두산,KT,잠실,8811
2024-05-30,목,두산,KT,잠실,7915
2024-05-31,금,두산,LG,잠실,23750
2024-06-01,토,두산,LG,잠실,23750
2024-06-02,일,두산,LG,잠실,23750
2024-06-07,금,두산,KIA,잠실,23750
2024-06-08,토,두산,KIA,잠실,23750
2024-06-09,일,두산,KIA,잠실,23750
2024-06-11,화,두산,한화,잠실,18475
2024-06-12,수,두산,한화,잠실,21630
