날짜,요일,홈팀,원정팀,장소,관중 수
2022-04-08,금,한화,KT,대전,5520
2022-04-09,토,한화,KT,대전,6538
2022-04-10,일,한화,KT,대전,5735
2022-04-15,금,한화,LG,대전,3320
2022-04-16,토,한화,LG,대전,8112
2022-04-17,일,한화,LG,대전,6566
2022-04-22,금,한화,SSG,대전,3146
2022-04-23,토,한화,SSG,대전,7514
2022-04-24,일,한화,SSG,대전,6612
2022-04-26,화,한화,키움,대전,2647
2022-04-27,수,한화,키움,대전,3459
2022-04-28,목,한화,키움,대전,3531
2022-05-06,금,한화,KIA,대전,10305
2022-05-07,토,한화,KIA,대전,11114
2022-05-08,일,한화,KIA,대전,7918
2022-05-13,금,한화,롯데,대전,6773
2022-05-14,토,한화,롯데,대전,10860
2022-05-15,일,한화,롯데,대전,8154
2022-05-17,화,한화,삼성,대전,3941
2022-05-18,수,한화,삼성,대전,4107
2022-05-19,목,한화,삼성,대전,4014
2022-05-24,화,한화,두산,대전,3172
2022-05-25,수,한화,두산,대전,5253
2022-05-26,목,한화,두산,대전,4638
2022-05-31,화,한화,NC,대전,4269
2022-06-01,수,한화,NC,대전,6851
2022-06-02,목,한화,NC,대전,3003
2022-06-03,금,한화,키움,대전,4166
2022-06-04,토,한화,키움,대전,9140
2022-06-15,수,한화,롯데,대전,3403
2022-06-16,목,한화,롯데,대전,3640
2022-06-24,금,한화,삼성,대전,4132
2022-06-25,토,한화,삼성,대전,8225
2022-06-26,일,한화,삼성,대전,5214
2022-06-28,화,한화,SSG,대전,3027
2022-06-29,수,한화,SSG,대전,1747
2022-07-05,화,한화,NC,대전,2632
2022-07-06,수,한화,NC,대전,2726
2022-07-07,목,한화,NC,대전,3111
2022-07-22,금,한화,KT,대전,4010
2022-07-23,토,한화,KT,대전,5234
2022-07-24,일,한화,KT,대전,3420
2022-07-29,금,한화,두산,대전,3614
2022-07-30,토,한화,두산,대전,5838
2022-08-02,화,한화,KIA,대전,5151
2022-08-03,수,한화,KIA,대전,5238
2022-08-04,목,한화,KIA,대전,5586
2022-08-12,금,한화,LG,대전,4400
2022-08-13,토,한화,키움,대전,4331
