날짜,요일,홈팀,원정팀,장소,관중 수
2022-04-02,토,KIA,LG,광주,16908
2022-04-03,일,KIA,LG,광주,10290
2022-04-05,화,KIA,한화,광주,2840
2022-04-06,수,KIA,한화,광주,3117
2022-04-07,목,KIA,한화,광주,2773
2022-04-12,화,KIA,롯데,광주,3654
2022-04-14,목,KIA,롯데,광주,3838
2022-04-19,화,KIA,두산,광주,2658
2022-04-20,수,KIA,두산,광주,4010
2022-04-21,목,KIA,두산,광주,3474
2022-04-29,금,KIA,삼성,광주,7487
2022-04-30,토,KIA,삼성,광주,11159
2022-05-01,일,KIA,삼성,광주,11555
2022-05-03,화,KIA,키움,광주,5277
2022-05-04,수,KIA,키움,광주,11234
2022-05-05,목,KIA,키움,광주,16072
2022-05-10,화,KIA,KT,광주,5240
2022-05-11,수,KIA,KT,광주,6542
2022-05-12,목,KIA,KT,광주,5224
2022-05-20,금,KIA,NC,광주,9135
2022-05-21,토,KIA,NC,광주,15565
2022-05-22,일,KIA,NC,광주,16282
2022-05-27,금,KIA,SSG,광주,10208
2022-05-28,토,KIA,SSG,광주,12245
2022-05-29,일,KIA,SSG,광주,12595
2022-06-08,수,KIA,LG,광주,6812
2022-06-09,목,KIA,LG,광주,7606
2022-06-10,금,KIA,키움,광주,8951
2022-06-11,토,KIA,키움,광주,16267
2022-06-12,일,KIA,키움,광주,14849
2022-06-17,금,KIA,삼성,광주,8865
2022-06-18,토,KIA,삼성,광주,14825
2022-06-19,일,KIA,삼성,광주,9977
2022-06-21,화,KIA,롯데,광주,5956
2022-06-22,수,KIA,롯데,광주,8754
2022-06-23,목,KIA,롯데,광주,5909
2022-07-06,수,KIA,KT,광주,6269
2022-07-08,금,KIA,한화,광주,7732
2022-07-09,토,KIA,한화,광주,13246
2022-07-10,일,KIA,한화,광주,8387
2022-07-26,화,KIA,NC,광주,5994
2022-07-27,수,KIA,NC,광주,5868
2022-07-28,목,KIA,NC,광주,6166
2022-07-29,금,KIA,SSG,광주,7755
2022-07-30,토,KIA,SSG,광주,10836
2022-07-31,일,KIA,SSG,광주,6408
2022-08-05,금,KIA,두산,광주,7903
2022-08-06,토,KIA,두산,광주,8652
2022-08-07,일,KIA,두산,광주,6509
2022-08-13,토,KIA,롯데,광주,12159
2022-08-14,일,KIA,롯데,광주,11374
2022-08-17,수,KIA,SSG,광주,4330
2022-08-18,목,KIA,NC,광주,4927
2022-08-19,금,KIA,NC,광주,5438
2022-08-27,토,KIA,두산,광주,11053
2022-08-28,일,KIA,두산,광주,8188
2022-09-01,목,KIA,삼성,광주,5234
2022-09-02,금,KIA,삼성,광주,6274
2022-09-03,토,KIA,KT,광주,10639
2022-09-04,일,KIA,KT,광주,7056
2022-09-13,화,KIA,키움,광주,3507
2022-09-14,수,KIA,키움,광주,5175
2022-09-15,목,KIA,한화,광주,5158
2022-09-16,금,KIA,한화,광주,8642
2022-09-20,화,KIA,LG,광주,5992
2022-09-21,수,KIA,LG,광주,6633
2022-09-29,목,KIA,롯데,광주,6294
2022-10-01,토,KIA,SSG,광주,13341
2022-10-05,수,KIA,LG,광주,5487
2022-10-06,목,KIA,LG,광주,5209
2022-10-07,금,KIA,KT,광주,15175
2022-10-08,토,KIA,KT,광주,17231
2023-04-07,금,KIA,두산,광주,12821
2023-04-08,토,KIA,두산,광주,16432
2023-04-09,일,KIA,두산,광주,14070
2023-04-11,화,KIA,한화,광주,3623
2023-04-12,수,KIA,한화,광주,5252
2023-04-13,목,KIA,한화,광주,5457
2023-04-21,금,KIA,삼성,광주,6870
2023-04-22,토,KIA,삼성,광주,12990
2023-04-23,일,KIA,삼성,광주,10026
2023-04-25,화,KIA,NC,광주,2216
2023-04-26,수,KIA,NC,광주,4798
2023-04-27,목,KIA,NC,광주,6017
2023-05-02,화,KIA,롯데,광주,8892
2023-05-03,수,KIA,롯데,광주,13815
2023-05-09,화,KIA,SSG,광주,8916
2023-05-10,수,KIA,SSG,광주,8481
2023-05-11,목,KIA,SSG,광주,8898
2023-05-19,금,KIA,키움,광주,11290
2023-05-20,토,KIA,키움,광주,19030
2023-05-21,일,KIA,키움,광주,14617
2023-05-26,금,KIA,LG,광주,10954
2023-05-27,토,KIA,LG,광주,17931
2023-05-28,일,KIA,LG,광주,17015
2023-05-30,화,KIA,KT,광주,5352
2023-05-31,수,KIA,KT,광주,7244
2023-06-06,화,KIA,SSG,광주,15130
2023-06-07,수,KIA,SSG,광주,7569
2023-06-08,목,KIA,SSG,광주,6646
2023-06-16,금,KIA,NC,광주,10170
2023-06-17,토,KIA,NC,광주,15992
2023-06-18,일,KIA,NC,광주,13967
2023-06-23,금,KIA,KT,광주,9018
2023-06-24,토,KIA,KT,광주,14043
2023-06-27,화,KIA,키움,광주,5349
2023-06-28,수,KIA,키움,광주,4816
2023-07-12,수,KIA,삼성,광주,8470
2023-07-13,목,KIA,삼성,광주,7085
2023-07-21,금,KIA,두산,광주,9779
2023-07-28,금,KIA,롯데,광주,10295
2023-07-29,토,KIA,롯데,광주,14754
2023-07-30,일,KIA,롯데,광주,11796
2023-08-04,금,KIA,한화,광주,11495
2023-08-05,토,KIA,한화,광주,13487
2023-08-06,일,KIA,한화,광주,10125
2023-08-09,수,KIA,LG,광주,3700
2023-08-15,화,KIA,키움,광주,11541
2023-08-16,수,KIA,키움,광주,7050
2023-08-17,목,KIA,키움,광주,6159
2023-08-25,금,KIA,한화,광주,8457
2023-08-26,토,KIA,한화,광주,16812
2023-08-27,일,KIA,한화,광주,12627
2023-08-31,목,KIA,NC,광주,7152
2023-09-08,금,KIA,LG,광주,12280
2023-09-09,토,KIA,LG,광주,11820
2023-09-09,토,KIA,LG,광주,18462
2023-09-10,일,KIA,LG,광주,13948
2023-09-13,수,KIA,롯데,광주,6323
2023-09-15,금,KIA,두산,광주,7350
2023-09-17,일,KIA,두산,광주,12878
2023-09-18,월,KIA,두산,광주,3482
2023-09-19,화,KIA,LG,광주,8871
2023-09-22,금,KIA,KT,광주,10221
2023-09-23,토,KIA,KT,광주,13846
2023-09-24,일,KIA,KT,광주,10108
2023-10-08,일,KIA,삼성,광주,16005
2023-10-09,월,KIA,삼성,광주,12758
2023-10-10,화,KIA,SSG,광주,8333
2023-10-11,수,KIA,키움,광주,3656
2023-10-12,목,KIA,롯데,광주,4767
2023-10-16,월,KIA,NC,광주,5251
2023-10-17,화,KIA,NC,광주,10175
2024-03-23,토,KIA,키움,광주,20500
2024-03-26,화,KIA,롯데,광주,7328
2024-03-27,수,KIA,롯데,광주,8672
2024-04-05,금,KIA,삼성,광주,14233
2024-04-06,토,KIA,삼성,광주,20500
2024-04-07,일,KIA,삼성,광주,20500
2024-04-09,화,KIA,LG,광주,11817
2024-04-10,수,KIA,LG,광주,20500
2024-04-11,목,KIA,LG,광주,11475
2024-04-19,금,KIA,NC,광주,16889
2024-04-20,토,KIA,NC,광주,17462
2024-04-21,일,KIA,NC,광주,20500
2024-04-30,화,KIA,KT,광주,17210
2024-05-01,수,KIA,KT,광주,17402
2024-05-02,목,KIA,KT,광주,16502
2024-05-03,금,KIA,한화,광주,20500
2024-05-04,토,KIA,한화,광주,20500
2024-05-10,금,KIA,SSG,광주,18895
2024-05-12,일,KIA,SSG,광주,20500
2024-05-12,일,KIA,SSG,광주,12743
2024-05-14,화,KIA,두산,광주,18675
2024-05-15,수,KIA,두산,광주,20500
2024-05-16,목,KIA,두산,광주,15996
2024-05-24,금,KIA,두산,광주,20500
2024-05-25,토,KIA,두산,광주,20500
2024-05-26,일,KIA,두산,광주,20500
2024-05-31,금,KIA,KT,광주,20500
2024-06-01,토,KIA,KT,광주,20500
2024-06-02,일,KIA,KT,광주,20500
2024-06-04,화,KIA,롯데,광주,16158
2024-06-05,수,KIA,롯데,광주,19045
2024-06-06,목,KIA,롯데,광주,20500
