날짜,요일,홈팀,원정팀,장소,관중 수
2022-04-02,토,KT,삼성,수원,17057
2022-04-03,일,KT,삼성,수원,10321
2022-04-05,화,KT,SSG,수원,2055
2022-04-06,수,KT,SSG,수원,2094
2022-04-07,목,KT,SSG,수원,2530
2022-04-12,화,KT,두산,수원,2450
2022-04-14,목,KT,두산,수원,2241
2022-04-22,금,KT,NC,수원,2276
2022-04-23,토,KT,NC,수원,8255
2022-04-24,일,KT,NC,수원,5719
2022-04-26,화,KT,KIA,수원,6277
2022-04-27,수,KT,KIA,수원,6123
2022-04-28,목,KT,KIA,수원,6111
2022-05-03,화,KT,롯데,수원,6251
2022-05-04,수,KT,롯데,수원,7532
2022-05-05,목,KT,롯데,수원,20000
2022-05-13,금,KT,키움,수원,4246
2022-05-14,토,KT,키움,수원,10061
2022-05-15,일,KT,키움,수원,6587
2022-05-17,화,KT,LG,수원,5600
2022-05-18,수,KT,LG,수원,5106
2022-05-19,목,KT,LG,수원,5234
2022-05-27,금,KT,한화,수원,6090
2022-05-28,토,KT,한화,수원,11494
2022-05-29,일,KT,한화,수원,9503
2022-06-03,금,KT,KIA,수원,10749
2022-06-04,토,KT,KIA,수원,20000
2022-06-05,일,KT,KIA,수원,20000
2022-06-14,화,KT,SSG,수원,3108
2022-06-15,수,KT,SSG,수원,3596
2022-06-16,목,KT,SSG,수원,4355
2022-06-21,화,KT,NC,수원,2292
2022-06-22,수,KT,NC,수원,2866
2022-06-24,금,KT,LG,수원,7021
2022-06-25,토,KT,LG,수원,13557
2022-06-26,일,KT,LG,수원,8044
2022-07-01,금,KT,두산,수원,4781
2022-07-02,토,KT,두산,수원,10065
2022-07-03,일,KT,두산,수원,5749
2022-07-08,금,KT,롯데,수원,5218
2022-07-09,토,KT,롯데,수원,13030
2022-07-10,일,KT,롯데,수원,9656
2022-07-12,화,KT,삼성,수원,3723
2022-07-14,목,KT,삼성,수원,4703
2022-07-26,화,KT,키움,수원,3631
2022-07-27,수,KT,키움,수원,3126
2022-07-28,목,KT,키움,수원,4828
2022-08-05,금,KT,한화,수원,6114
2022-08-06,토,KT,한화,수원,9636
2022-08-07,일,KT,한화,수원,8969
2022-08-13,토,KT,삼성,수원,7963
2022-08-14,일,KT,삼성,수원,7720
2022-08-16,화,KT,키움,수원,3745
2022-08-17,수,KT,키움,수원,3768
2022-08-20,토,KT,KIA,수원,19194
2022-08-21,일,KT,KIA,수원,16158
2022-08-25,목,KT,SSG,수원,5103
2022-08-26,금,KT,SSG,수원,6149
2022-08-31,수,KT,두산,수원,3798
2022-09-01,목,KT,LG,수원,6888
2022-09-02,금,KT,LG,수원,10128
2022-09-06,화,KT,한화,수원,3459
2022-09-07,수,KT,한화,수원,4364
2022-09-08,목,KT,NC,수원,3651
2022-09-09,금,KT,NC,수원,5966
2022-09-17,토,KT,롯데,수원,14944
2022-09-18,일,KT,롯데,수원,16612
2022-09-27,화,KT,두산,수원,4196
2022-09-28,수,KT,두산,수원,5220
2022-10-04,화,KT,삼성,수원,5451
2022-10-05,수,KT,삼성,수원,7226
2022-10-10,월,KT,NC,수원,10535
2023-04-01,토,KT,LG,수원,18700
2023-04-02,일,KT,LG,수원,14700
2023-04-14,금,KT,한화,수원,7145
