날짜,요일,홈팀,원정팀,장소,관중 수
2022-04-08,금,LG,NC,잠실,10623
2022-04-09,토,LG,NC,잠실,14328
2022-04-10,일,LG,NC,잠실,13095
2022-04-12,화,LG,SSG,잠실,6028
2022-04-13,수,LG,SSG,잠실,4547
2022-04-14,목,LG,SSG,잠실,6500
2022-04-19,화,LG,KT,잠실,4537
2022-04-20,수,LG,KT,잠실,4595
2022-04-21,목,LG,KT,잠실,4410
2022-04-29,금,LG,롯데,잠실,15681
2022-04-30,토,LG,롯데,잠실,23018
2022-05-01,일,LG,롯데,잠실,20513
2022-05-03,화,LG,두산,잠실,10124
2022-05-04,수,LG,두산,잠실,14480
2022-05-05,목,LG,두산,잠실,24012
2022-05-10,화,LG,한화,잠실,7270
2022-05-11,수,LG,한화,잠실,8064
2022-05-12,목,LG,한화,잠실,8620
2022-05-13,금,LG,KIA,잠실,19411
2022-05-14,토,LG,KIA,잠실,24132
2022-05-15,일,LG,KIA,잠실,23097
2022-05-24,화,LG,키움,잠실,6074
2022-05-25,수,LG,키움,잠실,6937
2022-05-26,목,LG,키움,잠실,6655
2022-05-27,금,LG,삼성,잠실,13775
2022-05-28,토,LG,삼성,잠실,21100
2022-05-29,일,LG,삼성,잠실,17435
2022-06-03,금,LG,SSG,잠실,9487
2022-06-04,토,LG,SSG,잠실,16345
2022-06-05,일,LG,SSG,잠실,14964
2022-06-10,금,LG,두산,잠실,11791
2022-06-11,토,LG,두산,잠실,19035
2022-06-12,일,LG,두산,잠실,15235
2022-06-14,화,LG,삼성,잠실,6824
2022-06-15,수,LG,삼성,잠실,6328
2022-06-16,목,LG,삼성,잠실,8976
2022-06-21,화,LG,한화,잠실,7317
2022-06-22,수,LG,한화,잠실,8200
2022-06-28,화,LG,NC,잠실,3361
2022-07-01,금,LG,롯데,잠실,12224
2022-07-02,토,LG,롯데,잠실,18750
2022-07-03,일,LG,롯데,잠실,23750
2022-07-12,화,LG,KIA,잠실,14517
2022-07-14,목,LG,KIA,잠실,14590
2022-07-29,금,LG,KT,잠실,9114
2022-07-30,토,LG,KT,잠실,10589
2022-08-05,금,LG,키움,잠실,10811
2022-08-06,토,LG,키움,잠실,11357
2022-08-07,일,LG,키움,잠실,10396
2022-08-16,화,LG,삼성,잠실,9671
2022-08-17,수,LG,삼성,잠실,9180
2022-08-20,토,LG,두산,잠실,17504
2022-08-21,일,LG,두산,잠실,14441
2022-08-25,목,LG,KIA,잠실,14262
2022-08-26,금,LG,KIA,잠실,18154
2022-08-27,토,LG,키움,잠실,15250
