날짜,요일,홈팀,원정팀,장소,관중 수
2022-04-08,금,롯데,두산,사직,8860
2022-04-09,토,롯데,두산,사직,13045
2022-04-10,일,롯데,두산,사직,11646
2022-04-15,금,롯데,KT,사직,4610
2022-04-16,토,롯데,KT,사직,10639
2022-04-17,일,롯데,KT,사직,9231
2022-04-19,화,롯데,한화,사직,4053
2022-04-20,수,롯데,한화,사직,4340
2022-04-21,목,롯데,한화,사직,3306
2022-04-26,화,롯데,SSG,사직,2731
2022-04-27,수,롯데,SSG,사직,6831
2022-04-28,목,롯데,SSG,사직,7126
2022-05-06,금,롯데,삼성,사직,22990
2022-05-07,토,롯데,삼성,사직,22990
2022-05-08,일,롯데,삼성,사직,16456
2022-05-10,화,롯데,NC,사직,8521
2022-05-11,수,롯데,NC,사직,7761
2022-05-12,목,롯데,NC,사직,8782
2022-05-17,화,롯데,KIA,사직,9055
2022-05-18,수,롯데,KIA,사직,9885
2022-05-19,목,롯데,KIA,사직,10396
2022-05-27,금,롯데,키움,사직,11008
2022-05-28,토,롯데,키움,사직,13820
2022-05-29,일,롯데,키움,사직,12038
2022-05-31,화,롯데,LG,사직,7815
2022-06-01,수,롯데,LG,사직,11093
2022-06-02,목,롯데,LG,사직,8384
2022-06-07,화,롯데,삼성,사직,4680
2022-06-08,수,롯데,삼성,사직,4733
2022-06-09,목,롯데,삼성,사직,5236
2022-06-10,금,롯데,KT,사직,4902
2022-06-11,토,롯데,KT,사직,10087
2022-06-12,일,롯데,KT,사직,5997
2022-06-17,금,롯데,SSG,사직,5687
2022-06-18,토,롯데,SSG,사직,10173
2022-06-19,일,롯데,SSG,사직,6314
2022-06-24,금,롯데,키움,사직,3769
2022-06-25,토,롯데,키움,사직,8922
2022-06-26,일,롯데,키움,사직,6596
2022-06-28,화,롯데,두산,사직,3429
2022-06-30,목,롯데,두산,사직,6566
2022-07-12,화,롯데,한화,사직,22890
2022-07-13,수,롯데,한화,사직,10188
2022-07-14,목,롯데,한화,사직,7653
2022-07-22,금,롯데,KIA,사직,11010
2022-07-23,토,롯데,KIA,사직,15526
2022-07-24,일,롯데,KIA,사직,10881
2022-08-02,화,롯데,LG,사직,7277
2022-08-03,수,롯데,LG,사직,6829
2022-08-04,목,롯데,LG,사직,5865
2022-08-05,금,롯데,NC,사직,6243
2022-08-06,토,롯데,NC,사직,9584
2022-08-07,일,롯데,NC,사직,6360
2022-08-17,수,롯데,두산,사직,3618
2022-08-18,목,롯데,KT,사직,6316
2022-08-19,금,롯데,KT,사직,4607
2022-08-20,토,롯데,한화,사직,7376
2022-08-21,일,롯데,한화,사직,7754
2022-08-25,목,롯데,삼성,사직,6844
2022-08-26,금,롯데,삼성,사직,7483
2022-09-04,일,롯데,LG,사직,6286
2022-09-06,화,롯데,KIA,울산,5060
2022-09-07,수,롯데,KIA,울산,7380
2022-09-10,토,롯데,NC,사직,11091
2022-09-11,일,롯데,NC,사직,12343
2022-09-13,화,롯데,SSG,사직,4570
2022-09-14,수,롯데,SSG,사직,4179
2022-09-15,목,롯데,키움,사직,5133
2022-09-16,금,롯데,키움,사직,8567
2022-10-02,일,롯데,두산,사직,14088
2022-10-03,월,롯데,두산,사직,11162
2022-10-08,토,롯데,LG,사직,22990
2023-04-07,금,롯데,KT,사직,14734
2023-04-08,토,롯데,KT,사직,16555
2023-04-09,일,롯데,KT,사직,12283
2023-04-11,화,롯데,LG,사직,5286
2023-04-12,수,롯데,LG,사직,6519
2023-04-13,목,롯데,LG,사직,6505
2023-04-18,화,롯데,KIA,사직,3829
2023-04-19,수,롯데,KIA,사직,4869
2023-04-20,목,롯데,KIA,사직,6423
2023-04-26,수,롯데,한화,사직,7905
2023-04-27,목,롯데,한화,사직,10393
2023-04-28,금,롯데,키움,사직,14343
2023-04-30,일,롯데,키움,사직,22990
2023-05-09,화,롯데,두산,사직,11643
2023-05-10,수,롯데,두산,사직,11435
2023-05-11,목,롯데,두산,사직,13350
2023-05-19,금,롯데,SSG,사직,19011
2023-05-20,토,롯데,SSG,사직,22990
2023-05-21,일,롯데,SSG,사직,22990
2023-05-23,화,롯데,NC,사직,15047
2023-05-24,수,롯데,NC,사직,14244
2023-05-25,목,롯데,NC,사직,15221
2023-06-02,금,롯데,KIA,사직,18996
2023-06-03,토,롯데,KIA,사직,22990
2023-06-04,일,롯데,KIA,사직,22990
2023-06-06,화,롯데,KT,사직,20441
2023-06-07,수,롯데,KT,사직,10066
2023-06-08,목,롯데,KT,사직,10504
2023-06-13,화,롯데,한화,사직,16007
2023-06-14,수,롯데,한화,사직,10803
2023-06-15,목,롯데,한화,사직,12594
2023-06-27,화,롯데,삼성,사직,11654
2023-06-28,수,롯데,삼성,사직,13787
2023-06-30,금,롯데,두산,울산,6894
2023-07-01,토,롯데,두산,울산,10013
2023-07-02,일,롯데,두산,울산,7588
2023-07-08,토,롯데,LG,사직,19496
2023-07-09,일,롯데,LG,사직,15860
2023-07-21,금,롯데,키움,사직,13431
2023-07-22,토,롯데,키움,사직,14266
2023-07-23,일,롯데,키움,사직,11470
2023-08-01,화,롯데,NC,사직,13326
2023-08-02,수,롯데,NC,사직,11444
2023-08-03,목,롯데,NC,사직,10162
2023-08-04,금,롯데,SSG,사직,8545
2023-08-05,토,롯데,SSG,사직,10670
2023-08-06,일,롯데,SSG,사직,8162
2023-08-11,금,롯데,KIA,사직,10118
2023-08-12,토,롯데,KIA,사직,16677
2023-08-13,일,롯데,KIA,사직,14325
2023-08-15,화,롯데,SSG,사직,11871
2023-08-16,수,롯데,SSG,사직,10542
2023-08-17,목,롯데,SSG,사직,9843
2023-08-25,금,롯데,KT,사직,10709
2023-08-26,토,롯데,KT,사직,15657
2023-08-27,일,롯데,KT,사직,10735
2023-09-03,일,롯데,두산,사직,11436
2023-09-04,월,롯데,두산,사직,4621
2023-09-05,화,롯데,삼성,울산,5999
2023-09-06,수,롯데,삼성,울산,6380
2023-09-07,목,롯데,삼성,울산,7156
2023-09-12,화,롯데,NC,사직,8202
2023-09-15,금,롯데,키움,사직,6409
2023-09-19,화,롯데,키움,사직,5523
2023-09-28,목,롯데,한화,사직,12227
2023-09-29,금,롯데,한화,사직,10279
2023-10-01,일,롯데,삼성,사직,20159
2023-10-02,월,롯데,삼성,사직,15868
2023-10-02,월,롯데,삼성,사직,16293
2023-10-03,화,롯데,삼성,사직,13042
2023-10-04,수,롯데,LG,사직,6970
2023-10-05,목,롯데,LG,사직,10040
2023-10-11,수,롯데,두산,사직,9940
2024-03-29,금,롯데,NC,사직,21554
2024-03-30,토,롯데,NC,사직,22754
2024-03-31,일,롯데,NC,사직,21578
2024-04-05,금,롯데,두산,사직,12289
2024-04-06,토,롯데,두산,사직,19208
2024-04-07,일,롯데,두산,사직,16755
2024-04-09,화,롯데,삼성,사직,15076
2024-04-10,수,롯데,삼성,사직,22758
2024-04-11,목,롯데,삼성,사직,11628
2024-04-19,금,롯데,KT,사직,10636
2024-04-21,일,롯데,KT,사직,14423
2024-04-21,일,롯데,KT,사직,7582
2024-04-24,수,롯데,SSG,사직,8499
2024-04-25,목,롯데,SSG,사직,10518
2024-04-30,화,롯데,키움,사직,13376
2024-05-01,수,롯데,키움,사직,14791
2024-05-02,목,롯데,키움,사직,12569
2024-05-08,수,롯데,한화,사직,11407
2024-05-09,목,롯데,한화,사직,12774
2024-05-10,금,롯데,LG,사직,15731
2024-05-11,토,롯데,LG,사직,22758
2024-05-12,일,롯데,LG,사직,18914
2024-05-21,화,롯데,KIA,사직,14006
2024-05-22,수,롯데,KIA,사직,14062
2024-05-23,목,롯데,KIA,사직,15844
2024-05-24,금,롯데,삼성,사직,20577
2024-05-25,토,롯데,삼성,사직,22758
2024-05-26,일,롯데,삼성,사직,22758
2024-05-31,금,롯데,NC,사직,17760
2024-06-01,토,롯데,NC,사직,22758
2024-06-02,일,롯데,NC,사직,21896
2024-06-07,금,롯데,SSG,사직,20678
2024-06-09,일,롯데,SSG,사직,13700
2024-06-09,일,롯데,SSG,사직,22758
2024-06-11,화,롯데,키움,사직,9948
2024-06-12,수,롯데,키움,사직,11390
