날짜,요일,홈팀,원정팀,장소,관중 수
2022-04-02,토,NC,SSG,창원,7814
2022-04-03,일,NC,SSG,창원,4808
2022-04-05,화,NC,롯데,창원,3246
2022-04-06,수,NC,롯데,창원,3000
2022-04-07,목,NC,롯데,창원,3017
2022-04-15,금,NC,KIA,창원,3002
2022-04-16,토,NC,KIA,창원,4580
2022-04-17,일,NC,KIA,창원,3902
2022-04-19,화,NC,삼성,창원,1725
2022-04-20,수,NC,삼성,창원,2104
2022-04-21,목,NC,삼성,창원,1675
2022-04-29,금,NC,한화,창원,3405
2022-04-30,토,NC,한화,창원,6045
2022-05-01,일,NC,한화,창원,5185
2022-05-06,금,NC,LG,창원,5883
2022-05-07,토,NC,LG,창원,5585
2022-05-08,일,NC,LG,창원,3642
2022-05-17,화,NC,키움,창원,2420
2022-05-18,수,NC,키움,창원,2526
2022-05-19,목,NC,키움,창원,2686
2022-05-24,화,NC,KT,창원,1686
2022-05-25,수,NC,KT,창원,2428
2022-05-26,목,NC,KT,창원,1728
2022-05-27,금,NC,두산,창원,3328
2022-05-28,토,NC,두산,창원,7638
2022-05-29,일,NC,두산,창원,3979
2022-06-03,금,NC,롯데,창원,9544
2022-06-04,토,NC,롯데,창원,11736
2022-06-07,화,NC,SSG,창원,2158
2022-06-08,수,NC,SSG,창원,2316
2022-06-09,목,NC,SSG,창원,3010
2022-06-15,수,NC,KIA,창원,3444
2022-06-16,목,NC,KIA,창원,4547
2022-06-17,금,NC,한화,창원,3678
2022-06-18,토,NC,한화,창원,7205
2022-06-19,일,NC,한화,창원,4605
2022-07-02,토,NC,삼성,창원,9063
2022-07-03,일,NC,삼성,창원,4725
2022-07-12,화,NC,두산,창원,3522
2022-07-13,수,NC,두산,창원,2880
2022-07-14,목,NC,두산,창원,4659
2022-07-22,금,NC,LG,창원,5924
2022-07-23,토,NC,LG,창원,7934
2022-07-24,일,NC,LG,창원,4034
2022-07-29,금,NC,키움,창원,4796
2022-07-30,토,NC,키움,창원,7150
2022-08-03,수,NC,KT,창원,4569
2022-08-04,목,NC,KT,창원,3210
2022-08-14,일,NC,LG,창원,7327
2022-08-17,수,NC,한화,창원,2663
2022-08-23,화,NC,롯데,창원,9211
2022-08-24,수,NC,롯데,창원,7479
2022-08-25,목,NC,키움,창원,2712
2022-08-26,금,NC,키움,창원,4856
2022-08-27,토,NC,KT,창원,8977
2022-08-28,일,NC,KT,창원,5110
2022-09-06,화,NC,두산,창원,4331
2022-09-07,수,NC,두산,창원,8070
2022-09-13,화,NC,삼성,창원,3780
2022-09-14,수,NC,삼성,창원,4084
2022-09-15,목,NC,SSG,창원,3851
2022-09-16,금,NC,SSG,창원,5680
2022-09-22,목,NC,KIA,창원,7340
2022-09-23,금,NC,KIA,창원,9871
2022-09-24,토,NC,KIA,창원,12938
2022-09-25,일,NC,KT,창원,5148
2022-09-27,화,NC,키움,창원,2571
2022-09-28,수,NC,삼성,창원,5164
2022-10-05,수,NC,롯데,창원,11326
2022-10-06,목,NC,SSG,창원,6064
2022-10-07,금,NC,LG,창원,6257
2022-10-08,토,NC,한화,창원,12462
2023-04-07,금,NC,키움,창원,6867
2023-04-08,토,NC,키움,창원,9763
2023-04-09,일,NC,키움,창원,7686
2023-04-11,화,NC,KT,창원,2069
2023-04-12,수,NC,KT,창원,2448
2023-04-13,목,NC,KT,창원,3174
2023-04-21,금,NC,롯데,창원,12613
2023-04-22,토,NC,롯데,창원,15130
2023-04-23,일,NC,롯데,창원,13286
2023-05-02,화,NC,LG,창원,3939
2023-05-03,수,NC,LG,창원,4874
2023-05-16,화,NC,SSG,창원,4113
2023-05-17,수,NC,SSG,창원,4344
2023-05-19,금,NC,삼성,창원,8493
2023-05-20,토,NC,삼성,창원,14870
2023-05-21,일,NC,삼성,창원,10910
2023-05-26,금,NC,한화,창원,5952
2023-05-27,토,NC,한화,창원,9558
2023-05-30,화,NC,두산,창원,3180
2023-05-31,수,NC,두산,창원,4180
2023-06-09,금,NC,SSG,창원,5110
2023-06-10,토,NC,SSG,창원,11026
2023-06-11,일,NC,SSG,창원,7210
2023-06-13,화,NC,두산,창원,3699
2023-06-14,수,NC,두산,창원,3154
2023-06-15,목,NC,두산,창원,3633
2023-06-20,화,NC,LG,창원,3433
2023-06-21,수,NC,LG,창원,3571
2023-06-22,목,NC,LG,창원,4997
2023-06-23,금,NC,한화,창원,6376
2023-06-24,토,NC,한화,창원,13791
2023-07-08,토,NC,삼성,창원,12462
2023-07-09,일,NC,삼성,창원,8522
2023-07-12,수,NC,롯데,창원,13074
2023-07-13,목,NC,롯데,창원,10316
2023-07-25,화,NC,KIA,창원,5668
2023-07-26,수,NC,KIA,창원,6325
2023-07-27,목,NC,KIA,창원,7279
2023-07-28,금,NC,KT,창원,4676
2023-07-29,토,NC,KT,창원,8309
2023-07-30,일,NC,KT,창원,6181
2023-08-04,금,NC,키움,창원,5107
2023-08-05,토,NC,키움,창원,8244
2023-08-06,일,NC,키움,창원,6583
2023-08-15,화,NC,한화,창원,10116
2023-08-16,수,NC,한화,창원,5033
2023-08-17,목,NC,한화,창원,4875
2023-08-25,금,NC,LG,창원,9288
2023-08-26,토,NC,LG,창원,13484
2023-08-27,일,NC,LG,창원,8771
