날짜,요일,홈팀,원정팀,장소,관중 수
2022-04-08,금,삼성,키움,대구,9244
2022-04-09,토,삼성,키움,대구,13059
2022-04-10,일,삼성,키움,대구,11610
2022-04-12,화,삼성,한화,대구,4047
2022-04-13,수,삼성,한화,대구,2156
2022-04-14,목,삼성,한화,대구,2869
2022-04-22,금,삼성,롯데,대구,7951
2022-04-23,토,삼성,롯데,대구,14983
2022-04-24,일,삼성,롯데,대구,12782
2022-04-26,화,삼성,LG,대구,3920
2022-04-27,수,삼성,LG,대구,5063
2022-04-28,목,삼성,LG,대구,5279
2022-05-03,화,삼성,NC,대구,5728
2022-05-04,수,삼성,NC,대구,8712
2022-05-05,목,삼성,NC,대구,20938
2022-05-10,화,삼성,SSG,대구,5088
2022-05-11,수,삼성,SSG,대구,4786
2022-05-12,목,삼성,SSG,대구,5541
2022-05-14,토,삼성,두산,대구,17161
2022-05-15,일,삼성,두산,대구,14754
2022-05-20,금,삼성,KT,대구,9838
2022-05-21,토,삼성,KT,대구,15676
2022-05-22,일,삼성,KT,대구,11507
2022-05-24,화,삼성,KIA,대구,7081
2022-05-25,수,삼성,KIA,대구,8000
2022-05-26,목,삼성,KIA,대구,7568
2022-06-03,금,삼성,두산,대구,8600
2022-06-04,토,삼성,두산,대구,16425
2022-06-10,금,삼성,NC,대구,10012
2022-06-11,토,삼성,NC,대구,14155
2022-06-12,일,삼성,NC,대구,10614
2022-06-21,화,삼성,키움,대구,5936
2022-06-22,수,삼성,키움,대구,6515
2022-06-23,목,삼성,키움,대구,4959
2022-06-28,화,삼성,KT,대구,3769
2022-06-29,수,삼성,KT,대구,4679
2022-06-30,목,삼성,KT,대구,4809
2022-07-05,화,삼성,LG,대구,4683
2022-07-06,수,삼성,LG,대구,4673
2022-07-07,목,삼성,LG,대구,4989
2022-07-08,금,삼성,SSG,대구,5359
2022-07-09,토,삼성,SSG,대구,11924
2022-07-10,일,삼성,SSG,대구,10126
2022-07-26,화,삼성,한화,포항,5431
2022-07-27,수,삼성,한화,포항,6258
2022-07-28,목,삼성,한화,포항,7202
2022-07-29,금,삼성,롯데,대구,10486
2022-07-30,토,삼성,롯데,대구,18789
2022-07-31,일,삼성,롯데,대구,10854
2022-08-10,수,삼성,KIA,대구,7722
2022-08-12,금,삼성,KIA,대구,10291
2022-08-21,일,삼성,NC,대구,11429
2022-08-27,토,삼성,한화,대구,13729
2022-08-28,일,삼성,한화,대구,10236
2022-08-31,수,삼성,SSG,대구,4314
2022-09-06,화,삼성,키움,대구,3890
2022-09-07,수,삼성,키움,대구,5093
2022-09-08,목,삼성,롯데,대구,13125
2022-09-09,금,삼성,롯데,대구,12634
2022-09-10,토,삼성,LG,대구,11995
2022-09-11,일,삼성,LG,대구,15446
2022-09-15,목,삼성,두산,대구,5374
2022-09-16,금,삼성,두산,대구,6576
2022-09-17,토,삼성,KIA,대구,15130
2022-09-18,일,삼성,KIA,대구,12340
2022-09-22,목,삼성,KT,대구,6006
2022-09-23,금,삼성,KT,대구,8056
2022-09-25,일,삼성,KIA,대구,17730
2022-09-29,목,삼성,NC,대구,7703
2022-09-30,금,삼성,두산,대구,9081
2022-10-01,토,삼성,두산,대구,15964
2022-10-08,토,삼성,SSG,대구,24000
2023-04-01,토,삼성,NC,대구,24000
2023-04-02,일,삼성,NC,대구,18483
2023-04-04,화,삼성,한화,대구,5936
2023-04-06,목,삼성,한화,대구,6525
2023-04-11,화,삼성,SSG,대구,3907
2023-04-12,수,삼성,SSG,대구,5405
2023-04-13,목,삼성,SSG,대구,4648
2023-04-14,금,삼성,롯데,대구,9124
2023-04-15,토,삼성,롯데,대구,18231
2023-04-16,일,삼성,롯데,대구,16076
2023-04-26,수,삼성,두산,대구,9213
2023-04-27,목,삼성,두산,대구,8473
2023-05-02,화,삼성,키움,대구,10624
2023-05-03,수,삼성,키움,대구,13394
2023-05-04,목,삼성,키움,대구,12076
2023-05-12,금,삼성,LG,대구,13765
2023-05-13,토,삼성,LG,대구,21817
2023-05-14,일,삼성,LG,대구,18569
2023-05-16,화,삼성,KIA,대구,9112
2023-05-17,수,삼성,KIA,대구,10979
2023-05-26,금,삼성,KT,대구,12874
2023-05-27,토,삼성,KT,대구,17305
2023-05-28,일,삼성,KT,대구,14523
2023-06-06,화,삼성,NC,대구,14639
2023-06-07,수,삼성,NC,대구,7119
2023-06-08,목,삼성,NC,대구,5989
2023-06-09,금,삼성,롯데,대구,15893
2023-06-10,토,삼성,롯데,대구,24000
2023-06-11,일,삼성,롯데,대구,18496
2023-06-20,화,삼성,키움,대구,7667
2023-06-21,수,삼성,키움,대구,7453
2023-06-22,목,삼성,키움,대구,10176
2023-06-30,금,삼성,한화,대구,8114
2023-07-01,토,삼성,한화,대구,18151
2023-07-02,일,삼성,한화,대구,12395
2023-07-04,화,삼성,두산,포항,4182
2023-07-05,수,삼성,두산,포항,5902
2023-07-06,목,삼성,두산,포항,6923
2023-07-21,금,삼성,KT,대구,7833
2023-07-22,토,삼성,KT,대구,10356
2023-07-23,일,삼성,KT,대구,8613
2023-07-25,화,삼성,SSG,대구,5557
2023-07-26,수,삼성,SSG,대구,6955
2023-07-27,목,삼성,SSG,대구,7663
2023-08-01,화,삼성,KIA,포항,6912
2023-08-02,수,삼성,KIA,포항,6477
2023-08-03,목,삼성,KIA,포항,6357
2023-08-04,금,삼성,LG,대구,10856
2023-08-05,토,삼성,LG,대구,15879
2023-08-06,일,삼성,LG,대구,11446
2023-08-15,화,삼성,LG,대구,14248
2023-08-16,수,삼성,LG,대구,7441
2023-08-17,목,삼성,LG,대구,7415
2023-08-18,금,삼성,KIA,대구,10630
2023-08-19,토,삼성,KIA,대구,17448
2023-08-20,일,삼성,KIA,대구,12586
2023-08-25,금,삼성,키움,대구,11135
2023-08-26,토,삼성,키움,대구,17586
2023-08-27,일,삼성,키움,대구,13461
2023-09-01,금,삼성,NC,대구,12843
2023-09-02,토,삼성,NC,대구,20468
2023-09-03,일,삼성,NC,대구,14601
2023-09-12,화,삼성,KIA,대구,9037
2023-09-14,목,삼성,KT,대구,6850
2023-09-17,일,삼성,롯데,대구,18746
2023-09-21,목,삼성,두산,대구,7596
2023-09-22,금,삼성,두산,대구,11568
2023-09-30,토,삼성,NC,대구,24000
2023-10-04,수,삼성,한화,대구,12571
2023-10-05,목,삼성,한화,대구,14483
2023-10-14,토,삼성,SSG,대구,24000
2024-03-29,금,삼성,SSG,대구,21479
2024-03-30,토,삼성,SSG,대구,24000
2024-03-31,일,삼성,SSG,대구,22886
2024-04-02,화,삼성,키움,대구,8541
2024-04-04,목,삼성,키움,대구,8193
2024-04-12,금,삼성,NC,대구,13104
2024-04-13,토,삼성,NC,대구,24000
2024-04-14,일,삼성,NC,대구,20667
2024-04-16,화,삼성,두산,대구,7793
2024-04-17,수,삼성,두산,대구,8393
2024-04-18,목,삼성,두산,대구,8697
2024-04-23,화,삼성,LG,대구,7494
2024-04-24,수,삼성,LG,대구,10159
2024-04-25,목,삼성,LG,대구,12012
2024-05-03,금,삼성,롯데,대구,24000
2024-05-04,토,삼성,롯데,대구,24000
2024-05-08,수,삼성,KIA,대구,15421
2024-05-09,목,삼성,KIA,대구,16769
2024-05-17,금,삼성,한화,대구,24000
2024-05-18,토,삼성,한화,대구,24000
2024-05-19,일,삼성,한화,대구,24000
2024-05-21,화,삼성,KT,대구,13360
2024-05-22,수,삼성,KT,대구,13232
2024-05-23,목,삼성,KT,대구,13291
2024-05-28,화,삼성,키움,대구,10884
2024-05-29,수,삼성,키움,대구,15080
2024-05-30,목,삼성,키움,대구,12748
2024-05-31,금,삼성,한화,대구,24000
2024-06-01,토,삼성,한화,대구,24000
2024-06-02,일,삼성,한화,대구,24000
2024-06-11,화,삼성,LG,대구,12436
2024-06-12,수,삼성,LG,대구,13511
2024-06-13,목,삼성,LG,대구,14485
