날짜,요일,홈팀,원정팀,장소,관중 수
2022-04-08,금,SSG,KIA,문학,15615
2022-04-09,토,SSG,KIA,문학,21005
2022-04-10,일,SSG,KIA,문학,17849
2022-04-15,금,SSG,삼성,문학,9441
2022-04-16,토,SSG,삼성,문학,16037
2022-04-17,일,SSG,삼성,문학,15104
2022-04-19,화,SSG,키움,문학,5931
2022-04-20,수,SSG,키움,문학,5061
2022-04-21,목,SSG,키움,문학,8080
2022-04-29,금,SSG,두산,문학,10306
2022-04-30,토,SSG,두산,문학,20094
2022-05-01,일,SSG,두산,문학,18130
2022-05-03,화,SSG,한화,문학,9110
2022-05-04,수,SSG,한화,문학,11331
2022-05-05,목,SSG,한화,문학,23000
2022-05-13,금,SSG,NC,문학,8121
2022-05-14,토,SSG,NC,문학,15131
2022-05-15,일,SSG,NC,문학,11414
2022-05-20,금,SSG,LG,문학,13904
2022-05-21,토,SSG,LG,문학,21315
2022-05-22,일,SSG,LG,문학,18157
2022-05-24,화,SSG,롯데,문학,11996
2022-05-25,수,SSG,롯데,문학,9890
2022-05-26,목,SSG,롯데,문학,13672
2022-05-31,화,SSG,KT,문학,7883
2022-06-01,수,SSG,KT,문학,15288
2022-06-02,목,SSG,KT,문학,5525
2022-06-10,금,SSG,한화,문학,9958
2022-06-11,토,SSG,한화,문학,20078
2022-06-12,일,SSG,한화,문학,15128
2022-06-21,화,SSG,두산,문학,8067
2022-06-22,수,SSG,두산,문학,9261
2022-06-24,금,SSG,NC,문학,11040
2022-06-25,토,SSG,NC,문학,17058
2022-06-26,일,SSG,NC,문학,13149
2022-07-01,금,SSG,KIA,문학,14099
2022-07-02,토,SSG,KIA,문학,23000
2022-07-03,일,SSG,KIA,문학,18666
2022-07-05,화,SSG,롯데,문학,7773
2022-07-06,수,SSG,롯데,문학,6859
2022-07-07,목,SSG,롯데,문학,5866
2022-07-12,화,SSG,키움,문학,10985
2022-07-14,목,SSG,키움,문학,12969
2022-07-26,화,SSG,LG,문학,11063
2022-07-27,수,SSG,LG,문학,10070
2022-07-28,목,SSG,LG,문학,15059
2022-08-05,금,SSG,삼성,문학,11962
2022-08-06,토,SSG,삼성,문학,18640
2022-08-07,일,SSG,삼성,문학,15958
2022-08-10,수,SSG,KT,문학,6523
2022-08-11,목,SSG,KT,문학,6603
2022-08-12,금,SSG,KT,문학,10093
2022-08-18,목,SSG,LG,문학,14662
2022-08-23,화,SSG,삼성,문학,8096
2022-08-24,수,SSG,삼성,문학,8345
2022-08-27,토,SSG,롯데,문학,21043
2022-08-28,일,SSG,롯데,문학,20604
2022-09-01,목,SSG,NC,문학,7804
2022-09-02,금,SSG,NC,문학,12392
2022-09-03,토,SSG,키움,문학,20347
2022-09-08,목,SSG,KIA,문학,16148
2022-09-09,금,SSG,KIA,문학,20951
2022-09-17,토,SSG,두산,문학,20871
2022-09-18,일,SSG,두산,문학,17684
2022-09-20,화,SSG,KT,문학,10066
2022-09-21,수,SSG,KT,문학,10359
2022-09-22,목,SSG,한화,문학,11471
2022-09-23,금,SSG,한화,문학,16353
2022-09-24,토,SSG,두산,문학,19253
2022-09-25,일,SSG,LG,문학,23000
2022-09-29,목,SSG,키움,문학,13358
2022-09-30,금,SSG,키움,문학,20422
2023-04-01,토,SSG,KIA,문학,23000
2023-04-02,일,SSG,KIA,문학,23000
2023-04-04,화,SSG,롯데,문학,5809
2023-04-14,금,SSG,NC,문학,8218
2023-04-15,토,SSG,NC,문학,13956
2023-04-16,일,SSG,NC,문학,13460
2023-04-21,금,SSG,키움,문학,12374
2023-04-22,토,SSG,키움,문학,16535
2023-04-23,일,SSG,키움,문학,15878
2023-04-28,금,SSG,두산,문학,14909
2023-04-29,토,SSG,두산,문학,20180
2023-04-30,일,SSG,두산,문학,21026
2023-05-02,화,SSG,KT,문학,6950
2023-05-03,수,SSG,KT,문학,7703
2023-05-04,목,SSG,KT,문학,7529
2023-05-12,금,SSG,한화,문학,14395
2023-05-13,토,SSG,한화,문학,23000
2023-05-14,일,SSG,한화,문학,20757
2023-05-23,화,SSG,LG,문학,12508
2023-05-24,수,SSG,LG,문학,16829
2023-05-25,목,SSG,LG,문학,17575
2023-05-30,화,SSG,삼성,문학,10232
2023-05-31,수,SSG,삼성,문학,10745
2023-06-01,목,SSG,삼성,문학,9028
2023-06-02,금,SSG,키움,문학,12533
2023-06-03,토,SSG,키움,문학,19071
2023-06-04,일,SSG,키움,문학,17007
2023-06-13,화,SSG,KT,문학,6568
2023-06-14,수,SSG,KT,문학,6579
2023-06-15,목,SSG,KT,문학,6736
2023-06-16,금,SSG,롯데,문학,18013
2023-06-17,토,SSG,롯데,문학,23000
2023-06-18,일,SSG,롯데,문학,19156
2023-06-23,금,SSG,삼성,문학,12744
2023-06-24,토,SSG,삼성,문학,20062
2023-06-25,일,SSG,삼성,문학,14722
2023-06-27,화,SSG,LG,문학,12244
2023-06-28,수,SSG,LG,문학,11045
2023-07-05,수,SSG,KIA,문학,13025
2023-07-06,목,SSG,KIA,문학,17513
2023-07-12,수,SSG,두산,문학,19699
2023-07-28,금,SSG,한화,문학,14386
2023-07-29,토,SSG,한화,문학,21344
2023-07-30,일,SSG,한화,문학,18158
2023-08-08,화,SSG,NC,문학,8131
2023-08-09,수,SSG,NC,문학,6473
2023-08-11,금,SSG,삼성,문학,7495
2023-08-12,토,SSG,삼성,문학,18055
2023-08-13,일,SSG,삼성,문학,16473
2023-08-18,금,SSG,LG,문학,14549
2023-08-19,토,SSG,LG,문학,23000
2023-08-20,일,SSG,LG,문학,18441
2023-08-24,목,SSG,NC,문학,6683
2023-08-30,수,SSG,키움,문학,7809
2023-08-31,목,SSG,키움,문학,9780
2023-09-01,금,SSG,KIA,문학,17281
2023-09-02,토,SSG,KIA,문학,23000
2023-09-03,일,SSG,KIA,문학,23000
2023-09-12,화,SSG,KT,문학,10309
2023-09-21,목,SSG,LG,문학,12353
2023-09-22,금,SSG,롯데,문학,11561
2023-09-23,토,SSG,롯데,문학,19725
2023-09-24,일,SSG,롯데,문학,16280
2023-09-27,수,SSG,두산,문학,6526
2023-09-27,수,SSG,두산,문학,12132
2023-09-30,토,SSG,KIA,문학,22191
2023-10-01,일,SSG,KIA,문학,22701
2023-10-03,화,SSG,NC,문학,14507
2023-10-04,수,SSG,NC,문학,8006
2023-10-05,목,SSG,NC,문학,9004
2023-10-06,금,SSG,한화,문학,15755
2023-10-13,금,SSG,키움,문학,16783
2023-10-17,화,SSG,두산,문학,21007
2024-03-23,토,SSG,롯데,문학,23000
2024-03-24,일,SSG,롯데,문학,23000
2024-03-26,화,SSG,한화,문학,10541
2024-03-27,수,SSG,한화,문학,11005
2024-03-28,목,SSG,한화,문학,11755
2024-04-02,화,SSG,두산,문학,12379
2024-04-03,수,SSG,두산,문학,12128
2024-04-04,목,SSG,두산,문학,14249
2024-04-09,화,SSG,키움,문학,9468
2024-04-10,수,SSG,키움,문학,20511
2024-04-11,목,SSG,키움,문학,7250
2024-04-16,화,SSG,KIA,문학,12712
2024-04-17,수,SSG,KIA,문학,16062
2024-04-18,목,SSG,KIA,문학,14263
2024-04-19,금,SSG,LG,문학,14097
2024-04-21,일,SSG,LG,문학,19858
2024-04-21,일,SSG,LG,문학,9656
2024-04-26,금,SSG,KT,문학,10075
2024-04-27,토,SSG,KT,문학,16957
2024-04-28,일,SSG,KT,문학,13196
2024-05-03,금,SSG,NC,문학,13737
2024-05-04,토,SSG,NC,문학,22079
2024-05-14,화,SSG,삼성,문학,16595
2024-05-16,목,SSG,삼성,문학,13791
2024-05-24,금,SSG,한화,문학,22451
2024-05-25,토,SSG,한화,문학,23000
2024-05-28,화,SSG,LG,문학,14116
2024-05-29,수,SSG,LG,문학,14413
2024-05-30,목,SSG,LG,문학,15902
2024-06-04,화,SSG,삼성,문학,10135
2024-06-05,수,SSG,삼성,문학,14532
2024-06-06,목,SSG,삼성,문학,23000
2024-06-11,화,SSG,KIA,문학,16007
2024-06-12,수,SSG,KIA,문학,16483
