날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.04.02(토),14:02,17:27,3:25,스탁,김민우,잠실
2022.04.03(일),14:01,16:29,2:28,최원준,킹험,잠실
2022.04.05(화),18:32,22:26,3:54,이영하,원태인,잠실
2022.04.06(수),18:31,21:31,3:00,곽빈,양창섭,잠실
2022.04.07(목),18:31,22:24,3:53,박신지,허윤동,잠실
2022.04.08(금),18:30,21:45,3:15,이승헌,스탁,사직
2022.04.09(토),17:00,20:03,3:03,박세웅,최원준,사직
2022.04.10(일),14:02,18:07,4:05,스파크맨,이영하,사직
2022.04.12(화),18:31,21:42,3:11,고영표,곽빈,수원
2022.04.14(목),18:30,22:06,3:36,소형준,스탁,수원
2022.04.15(금),18:30,21:28,2:58,최원준,애플러,잠실
2022.04.16(토),17:01,20:11,3:10,이영하,요키시,잠실
2022.04.17(일),14:01,17:41,3:40,미란다,최원태,잠실
2022.04.19(화),18:29,22:10,3:41,한승혁,곽빈,광주
2022.04.20(수),18:30,21:56,3:26,양현종,스탁,광주
2022.04.21(목),18:30,21:18,2:48,놀린,최원준,광주
2022.04.22(금),18:30,22:02,3:32,이영하,켈리,잠실
2022.04.23(토),17:01,20:02,3:01,미란다,임준형,잠실
2022.04.24(일),14:01,17:28,3:27,곽빈,임찬규,잠실
2022.04.26(화),18:30,21:42,3:12,스탁,루친스키,잠실
2022.04.27(수),18:30,21:48,3:18,최원준,파슨스,잠실
2022.04.28(목),18:30,22:03,3:33,이영하,김시훈,잠실
2022.04.29(금),18:30,23:21,4:51,노바,최승용,문학
2022.04.30(토),17:01,20:15,3:14,오원석,곽빈,문학
2022.05.01(일),14:00,16:45,2:45,폰트,스탁,문학
2022.05.03(화),18:30,21:38,3:08,플럿코,최원준,잠실
2022.05.04(수),18:30,21:45,3:15,이민호,이영하,잠실
2022.05.05(목),14:01,17:22,3:21,켈리,최승용,잠실
2022.05.06(금),18:30,21:25,2:55,곽빈,고영표,잠실
2022.05.07(토),17:01,21:17,4:16,스탁,데스파이네,잠실
2022.05.08(일),14:00,17:21,3:21,최원준,소형준,잠실
2022.05.10(화),18:30,21:53,3:23,애플러,이영하,고척
2022.05.11(수),18:30,21:30,3:00,최원태,최승용,고척
2022.05.12(목),18:30,21:47,3:17,정찬헌,박신지,고척
2022.05.14(토),17:01,19:27,2:26,뷰캐넌,스탁,대구
2022.05.15(일),14:01,17:09,3:08,수아레즈,최원준,대구
2022.05.17(화),18:31,23:19,4:48,이영하,노바,잠실
2022.05.18(수),18:31,23:15,4:44,곽빈,오원석,잠실
