날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적,요일,홈팀,원정팀,장소,관중 수,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022-04-02,두산,1,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0,토,두산,한화,잠실,16271,14:02,17:27,3:25,스탁,김민우,잠실
2022-04-03,두산,1,2,2,0,0,1.0,0.0,2승0무0패,2승,2-0-0,0-0-0,일,두산,한화,잠실,11345,14:01,16:29,2:28,최원준,킹험,잠실
2022-04-05,두산,3,3,2,1,0,0.667,1.0,2승0무1패,1패,2-0-1,0-0-0,화,두산,삼성,잠실,4109,18:32,22:26,3:54,이영하,원태인,잠실
2022-04-06,두산,4,4,2,2,0,0.5,2.0,2승0무2패,2패,2-0-2,0-0-0,수,두산,삼성,잠실,4161,18:31,21:31,3:00,곽빈,양창섭,잠실
2022-04-07,두산,3,5,3,2,0,0.6,2.0,3승0무2패,1승,3-0-2,0-0-0,목,두산,삼성,잠실,4055,18:31,22:24,3:53,박신지,허윤동,잠실
2022-04-15,두산,4,11,7,4,0,0.636,3.5,6승0무4패,1패,3-0-3,4-0-1,금,두산,키움,잠실,4423,18:30,21:28,2:58,최원준,애플러,잠실
2022-04-16,두산,3,12,8,4,0,0.667,3.5,6승0무4패,1승,4-0-3,4-0-1,토,두산,키움,잠실,9737,17:01,20:11,3:10,이영하,요키시,잠실
2022-04-17,두산,4,13,8,5,0,0.615,4.5,6승0무4패,1패,4-0-4,4-0-1,일,두산,키움,잠실,8762,14:01,17:41,3:40,미란다,최원태,잠실
2022-04-22,두산,3,17,10,7,0,0.588,4.5,6승0무4패,1패,4-0-5,6-0-2,금,두산,LG,잠실,8472,18:30,22:02,3:32,이영하,켈리,잠실
2022-04-23,두산,2,18,11,7,0,0.611,3.5,6승0무4패,1승,5-0-5,6-0-2,토,두산,LG,잠실,17799,17:01,20:02,3:01,미란다,임준형,잠실
2022-04-24,두산,3,19,11,8,0,0.579,4.5,5승0무5패,1패,5-0-6,6-0-2,일,두산,LG,잠실,14848,14:01,17:28,3:27,곽빈,임찬규,잠실
2022-04-26,두산,2,20,12,8,0,0.6,4.5,5승0무5패,1승,6-0-6,6-0-2,화,두산,NC,잠실,3644,18:30,21:42,3:12,스탁,루친스키,잠실
2022-04-27,두산,2,21,13,8,0,0.619,4.0,6승0무4패,2승,7-0-6,6-0-2,수,두산,NC,잠실,3450,18:30,21:48,3:18,최원준,파슨스,잠실
2022-04-28,두산,3,22,13,9,0,0.591,4.0,5승0무5패,1패,7-0-7,6-0-2,목,두산,NC,잠실,5223,18:30,22:03,3:33,이영하,김시훈,잠실
2022-05-06,두산,4,29,16,13,0,0.552,5.0,5승0무5패,1패,7-0-8,9-0-5,금,두산,KT,잠실,8709,18:30,21:25,2:55,곽빈,고영표,잠실
2022-05-07,두산,2,30,17,13,0,0.567,5.0,5승0무5패,1승,8-0-8,9-0-5,토,두산,KT,잠실,10546,17:01,21:17,4:16,스탁,데스파이네,잠실
2022-05-08,두산,3,31,17,14,0,0.548,6.0,4승0무6패,1패,8-0-9,9-0-5,일,두산,KT,잠실,7124,14:00,17:21,3:21,최원준,소형준,잠실
2022-05-17,두산,3,37,20,16,1,0.556,4.5,5승1무4패,2패,8-1-9,12-0-7,화,두산,SSG,잠실,5743,18:31,23:19,4:48,이영하,노바,잠실
2022-05-18,두산,3,38,20,17,1,0.541,5.5,4승1무5패,3패,8-1-10,12-0-7,수,두산,SSG,잠실,5586,18:31,23:15,4:44,곽빈,오원석,잠실
2022-05-19,두산,5,39,20,18,1,0.526,6.5,4승1무5패,4패,8-1-11,12-0-7,목,두산,SSG,잠실,7360,18:30,21:49,3:19,최승용,폰트,잠실
2022-05-20,두산,7,40,20,19,1,0.513,7.5,3승1무6패,5패,8-1-12,12-0-7,금,두산,롯데,잠실,15486,18:30,21:27,2:57,스탁,나균안,잠실
2022-05-21,두산,4,41,21,19,1,0.525,6.5,4승1무5패,1승,9-1-12,12-0-7,토,두산,롯데,잠실,20588,14:00,17:04,3:04,최원준,박세웅,잠실
2022-05-22,두산,7,42,21,20,1,0.512,7.5,3승1무6패,1패,9-1-13,12-0-7,일,두산,롯데,잠실,19143,14:01,17:57,3:56,이영하,스파크맨,잠실
2022-05-31,두산,5,49,24,24,1,0.5,9.5,4승0무6패,1패,9-1-14,15-0-10,화,두산,KIA,잠실,18194,18:30,22:18,3:48,최승용,양현종,잠실
2022-06-01,두산,6,50,24,25,1,0.49,10.5,4승0무6패,2패,9-1-15,15-0-10,수,두산,KIA,잠실,23244,17:00,20:13,3:13,스탁,로니,잠실
2022-06-02,두산,6,51,24,26,1,0.48,10.5,3승0무7패,3패,9-1-16,15-0-10,목,두산,KIA,잠실,11029,18:31,21:47,3:16,최원준,임기영,잠실
2022-06-07,두산,6,54,26,27,1,0.491,9.0,5승0무5패,2승,10-1-16,16-0-11,화,두산,한화,잠실,4702,18:30,21:26,2:56,스탁,남지민,잠실
2022-06-08,두산,6,55,26,28,1,0.481,9.5,4승0무6패,1패,10-1-17,16-0-11,수,두산,한화,잠실,4882,18:30,21:43,3:13,최원준,윤대경,잠실
2022-06-09,두산,6,56,27,28,1,0.491,8.5,4승0무6패,1승,11-1-17,16-0-11,목,두산,한화,잠실,6612,18:31,22:32,4:01,이영하,문동주,잠실
2022-06-17,두산,7,63,29,33,1,0.468,11.5,4승0무6패,2패,11-1-18,18-0-15,금,두산,KT,잠실,4898,18:30,21:56,3:26,최승용,고영표,잠실
2022-06-18,두산,7,64,30,33,1,0.476,11.5,4승0무6패,1승,12-1-18,18-0-15,토,두산,KT,잠실,9033,17:00,20:03,3:03,스탁,데스파이네,잠실
2022-06-19,두산,7,65,30,34,1,0.469,11.5,4승0무6패,1패,12-1-19,18-0-15,일,두산,KT,잠실,6966,17:02,19:57,2:55,최원준,소형준,잠실
2022-06-24,두산,6,68,31,36,1,0.463,12.5,3승0무7패,2패,12-1-20,19-0-16,금,두산,KIA,잠실,14470,18:31,22:35,4:04,스탁,한승혁,잠실
2022-06-25,두산,7,69,31,37,1,0.456,13.5,3승0무7패,3패,12-1-21,19-0-16,토,두산,KIA,잠실,22093,17:01,21:24,4:23,미란다,로니,잠실
2022-06-26,두산,7,70,32,37,1,0.464,13.5,4승0무6패,1승,13-1-21,19-0-16,일,두산,KIA,잠실,16298,17:00,20:21,3:21,최원준,임기영,잠실
2022-07-05,두산,8,76,32,42,2,0.432,18.0,1승1무8패,5패,13-1-22,19-1-20,화,두산,키움,잠실,4265,18:31,21:54,3:23,이영하,안우진,잠실
2022-07-06,두산,8,77,33,42,2,0.44,17.0,2승1무7패,1승,14-1-22,19-1-20,수,두산,키움,잠실,2930,18:31,21:28,2:57,곽빈,요키시,잠실
2022-07-07,두산,6,78,34,42,2,0.447,17.0,3승1무6패,2승,15-1-22,19-1-20,목,두산,키움,잠실,3781,18:30,21:56,3:26,스탁,애플러,잠실
2022-07-08,두산,6,79,34,43,2,0.442,18.0,3승1무6패,1패,15-1-23,19-1-20,금,두산,LG,잠실,9875,18:30,21:50,3:20,최원준,플럿코,잠실
2022-07-09,두산,6,80,34,44,2,0.436,19.0,2승1무7패,2패,15-1-24,19-1-20,토,두산,LG,잠실,16032,18:00,22:11,4:11,박신지,임찬규,잠실
2022-07-10,두산,7,81,34,45,2,0.43,20.0,2승0무8패,3패,15-1-25,19-1-20,일,두산,LG,잠실,10980,17:01,20:22,3:21,이영하,켈리,잠실
2022-07-22,두산,7,85,36,47,2,0.434,21.5,4승0무6패,1패,15-1-26,21-1-21,금,두산,SSG,잠실,6223,18:30,22:09,3:39,스탁,김광현,잠실
2022-07-24,두산,7,86,36,48,2,0.429,22.5,4승0무6패,2패,15-1-27,21-1-21,일,두산,SSG,잠실,6216,17:00,20:20,3:20,곽빈,폰트,잠실
2022-07-26,두산,7,87,37,48,2,0.435,21.5,4승0무6패,1승,16-1-27,21-1-21,화,두산,롯데,잠실,5857,18:30,21:19,2:49,최원준,김진욱,잠실
2022-07-27,두산,6,88,38,48,2,0.442,21.5,4승0무6패,2승,17-1-27,21-1-21,수,두산,롯데,잠실,5115,18:31,22:16,3:45,이영하,이인복,잠실
2022-07-28,두산,6,89,39,48,2,0.448,21.5,5승0무5패,3승,18-1-27,21-1-21,목,두산,롯데,잠실,9820,18:30,21:45,3:15,스탁,반즈,잠실
2022-08-03,두산,6,92,41,49,2,0.456,21.5,6승0무4패,1승,19-1-27,22-1-22,수,두산,삼성,잠실,6125,18:30,22:08,3:38,최원준,수아레즈,잠실
2022-08-04,두산,6,93,41,50,2,0.451,22.5,6승0무4패,1패,19-1-28,22-1-22,목,두산,삼성,잠실,7429,18:31,21:50,3:19,이영하,원태인,잠실
2022-08-10,두산,6,97,43,52,2,0.453,23.5,6승0무4패,2패,19-1-29,24-1-23,수,두산,NC,잠실,2672,18:30,21:41,3:11,최원준,이재학,잠실
2022-08-11,두산,6,98,43,53,2,0.448,24.5,5승0무5패,3패,19-1-30,24-1-23,목,두산,NC,잠실,2005,18:30,22:03,3:33,브랜든,신민혁,잠실
2022-08-12,두산,6,99,44,53,2,0.454,23.5,5승0무5패,1승,20-1-30,24-1-23,금,두산,NC,잠실,3679,18:31,21:52,3:21,스탁,루친스키,잠실
2022-08-13,두산,6,100,44,54,2,0.449,24.5,4승0무6패,1패,20-1-31,24-1-23,토,두산,SSG,잠실,6659,18:01,21:47,3:46,이영하,박종훈,잠실
2022-08-14,두산,7,101,44,55,2,0.444,25.5,4승0무6패,2패,20-1-32,24-1-23,일,두산,SSG,잠실,6973,17:01,21:17,3:46,곽빈,모리만도,잠실
2022-08-18,두산,8,103,45,56,2,0.446,24.5,4승0무6패,1승,21-1-32,24-1-24,목,두산,키움,잠실,3517,18:29,21:30,3:01,브랜든,최원태,잠실
2022-08-23,두산,8,106,46,58,2,0.442,26.5,3승0무7패,1패,21-1-33,25-1-25,화,두산,KT,잠실,3059,18:30,22:30,4:00,최원준,벤자민,잠실
2022-08-24,두산,8,107,46,59,2,0.438,27.5,3승0무7패,2패,21-1-34,25-1-25,수,두산,KT,잠실,2827,18:30,21:44,3:14,브랜든,고영표,잠실
2022-09-01,두산,8,113,48,63,2,0.432,26.5,3승0무7패,1승,22-1-34,26-1-29,목,두산,롯데,잠실,6219,18:29,21:15,2:46,스탁,나균안,잠실
2022-09-02,두산,8,114,48,64,2,0.429,27.5,3승0무7패,1패,22-1-35,26-1-29,금,두산,롯데,잠실,8100,18:30,22:23,3:53,박신지,스트레일리,잠실
2022-09-03,두산,9,115,48,65,2,0.425,27.5,2승0무8패,2패,22-1-36,26-1-29,토,두산,삼성,잠실,13113,16:59,20:12,3:13,최원준,백정현,잠실
2022-09-08,두산,9,118,48,68,2,0.414,29.0,2승0무8패,5패,22-1-37,26-1-31,목,두산,한화,잠실,4757,18:31,22:07,3:36,곽빈,페냐,잠실
2022-09-09,두산,9,119,49,68,2,0.419,28.0,3승0무7패,1승,23-1-37,26-1-31,금,두산,한화,잠실,5691,14:00,17:14,3:14,최원준,남지민,잠실
2022-09-10,두산,9,120,49,69,2,0.415,28.0,2승0무8패,1패,23-1-38,26-1-31,토,두산,KIA,잠실,13433,13:59,16:36,2:37,최승용,임기영,잠실
2022-09-11,두산,9,121,50,69,2,0.42,28.0,3승0무7패,1승,24-1-38,26-1-31,일,두산,KIA,잠실,20681,14:01,17:24,3:23,브랜든,양현종,잠실
2022-09-13,두산,9,122,50,70,2,0.417,28.0,3승0무7패,1패,24-1-39,26-1-31,화,두산,LG,잠실,6803,18:30,21:35,3:05,박신지,켈리,잠실
2022-09-14,두산,9,123,51,70,2,0.421,28.0,3승0무7패,1승,25-1-39,26-1-31,수,두산,LG,잠실,7098,18:30,21:46,3:16,곽빈,임찬규,잠실
2022-09-20,두산,9,128,54,72,2,0.429,28.0,6승0무4패,1승,26-1-39,28-1-33,화,두산,NC,잠실,7386,18:30,22:02,3:32,곽빈,더모디,잠실
2022-09-21,두산,9,129,54,73,2,0.425,28.0,5승0무5패,1패,26-1-40,28-1-33,수,두산,NC,잠실,4683,18:30,21:53,3:23,최원준,송명기,잠실
2022-09-25,두산,9,133,56,75,2,0.427,29.0,5승0무5패,1승,27-1-40,29-1-35,일,두산,한화,잠실,9590,14:00,17:07,3:07,곽빈,한승주,잠실
2022-10-05,두산,9,141,59,80,2,0.424,29.5,4승0무6패,2승,28-1-40,31-1-40,수,두산,SSG,잠실,9474,18:31,21:16,2:45,브랜든,김광현,잠실
2022-10-06,두산,9,142,60,80,2,0.429,28.5,5승0무5패,3승,29-1-40,31-1-40,목,두산,삼성,잠실,7350,18:31,21:18,2:47,스탁,백정현,잠실
2022-10-07,두산,9,143,60,81,2,0.426,29.0,4승0무6패,1패,29-1-41,31-1-40,금,두산,삼성,잠실,11681,18:31,22:01,3:30,곽빈,김윤수,잠실
2022-10-08,두산,9,144,60,82,2,0.423,29.0,4승0무6패,2패,29-1-42,31-1-40,토,두산,키움,잠실,23511,17:01,19:54,2:53,최원준,안우진,잠실
2023-04-01,두산,1,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0,토,두산,롯데,잠실,23750,14:02,18:45,4:43,알칸타라,스트레일리,잠실
2023-04-02,두산,2,2,1,1,0,0.5,1.0,1승0무1패,1패,1-0-1,0-0-0,일,두산,롯데,잠실,23750,14:00,17:00,3:00,최원준,나균안,잠실
2023-04-04,두산,1,3,2,1,0,0.667,0.0,2승0무1패,1승,2-0-1,0-0-0,화,두산,NC,잠실,3924,18:30,21:13,2:43,곽빈,송명기,잠실
2023-04-05,두산,4,4,2,2,0,0.5,1.0,2승0무2패,1패,2-0-2,0-0-0,수,두산,NC,잠실,2172,18:30,21:57,3:27,최승용,신민혁,잠실
2023-04-06,두산,2,5,3,2,0,0.6,0.0,3승0무2패,1승,3-0-2,0-0-0,목,두산,NC,잠실,3724,18:30,22:05,3:35,김동주,이준호,잠실
2023-04-11,두산,2,9,6,3,0,0.667,1.0,6승0무3패,2승,4-0-2,2-0-1,화,두산,키움,잠실,4372,18:30,21:46,3:16,최승용,최원태,잠실
2023-04-13,두산,4,10,6,4,0,0.6,1.5,6승0무4패,1패,4-0-3,2-0-1,목,두산,키움,잠실,6917,18:31,22:06,3:35,김동주,안우진,잠실
2023-04-21,두산,3,17,10,7,0,0.588,1.5,6승0무4패,2승,5-0-3,5-0-4,금,두산,KT,잠실,6896,18:30,21:50,3:20,곽빈,배제성,잠실
