날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적,요일,홈팀,원정팀,장소,관중 수,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022-04-02,KIA,6,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-1,0-0-0,토,KIA,LG,광주,16908,14:00,16:49,2:49,양현종,플럿코,광주
2022-04-02,KIA,6,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-1,0-0-0,토,KIA,LG,광주,16908,14:00,16:49,2:49,양현종,플럿코,광주
2022-04-02,KIA,6,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-1,0-0-0,토,KIA,LG,광주,16908,14:00,16:49,2:49,양현종,플럿코,광주
2022-04-03,KIA,8,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-2,0-0-0,일,KIA,LG,광주,10290,14:00,17:26,3:26,놀린,이민호,광주
2022-04-03,KIA,8,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-2,0-0-0,일,KIA,LG,광주,10290,14:00,17:26,3:26,놀린,이민호,광주
2022-04-03,KIA,8,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-2,0-0-0,일,KIA,LG,광주,10290,14:00,17:26,3:26,놀린,이민호,광주
2022-04-05,KIA,6,3,1,2,0,0.333,2.0,1승0무2패,1승,1-0-2,0-0-0,화,KIA,한화,광주,2840,18:29,21:57,3:28,로니,윤대경,광주
2022-04-05,KIA,6,3,1,2,0,0.333,2.0,1승0무2패,1승,1-0-2,0-0-0,화,KIA,한화,광주,2840,18:29,21:57,3:28,로니,윤대경,광주
2022-04-06,KIA,4,4,2,2,0,0.5,2.0,2승0무2패,2승,2-0-2,0-0-0,수,KIA,한화,광주,3117,18:30,22:20,3:50,이의리,카펜터,광주
2022-04-06,KIA,4,4,2,2,0,0.5,2.0,2승0무2패,2승,2-0-2,0-0-0,수,KIA,한화,광주,3117,18:30,22:20,3:50,이의리,카펜터,광주
2022-04-07,KIA,3,5,3,2,0,0.6,2.0,3승0무2패,3승,3-0-2,0-0-0,목,KIA,한화,광주,2773,18:29,21:40,3:11,한승혁,박윤철,광주
2022-04-07,KIA,3,5,3,2,0,0.6,2.0,3승0무2패,3승,3-0-2,0-0-0,목,KIA,한화,광주,2773,18:29,21:40,3:11,한승혁,박윤철,광주
2022-04-12,KIA,5,9,4,5,0,0.444,5.0,4승0무5패,1승,4-0-2,0-0-3,화,KIA,롯데,광주,3654,18:32,21:44,3:12,이의리,반즈,광주
2022-04-12,KIA,5,9,4,5,0,0.444,5.0,4승0무5패,1승,4-0-2,0-0-3,화,KIA,롯데,광주,3654,18:32,21:44,3:12,이의리,반즈,광주
2022-04-14,KIA,7,10,4,6,0,0.4,5.5,4승0무6패,1패,4-0-3,0-0-3,목,KIA,롯데,광주,3838,18:30,22:00,3:30,양현종,박세웅,광주
2022-04-14,KIA,7,10,4,6,0,0.4,5.5,4승0무6패,1패,4-0-3,0-0-3,목,KIA,롯데,광주,3838,18:30,22:00,3:30,양현종,박세웅,광주
2022-04-19,KIA,5,14,7,7,0,0.5,5.5,5승0무5패,3승,5-0-3,2-0-4,화,KIA,두산,광주,2658,18:29,22:10,3:41,한승혁,곽빈,광주
2022-04-19,KIA,5,14,7,7,0,0.5,5.5,5승0무5패,3승,5-0-3,2-0-4,화,KIA,두산,광주,2658,18:29,22:10,3:41,한승혁,곽빈,광주
2022-04-20,KIA,6,15,7,8,0,0.467,6.5,4승0무6패,1패,5-0-4,2-0-4,수,KIA,두산,광주,4010,18:30,21:56,3:26,양현종,스탁,광주
2022-04-20,KIA,6,15,7,8,0,0.467,6.5,4승0무6패,1패,5-0-4,2-0-4,수,KIA,두산,광주,4010,18:30,21:56,3:26,양현종,스탁,광주
2022-04-21,KIA,6,16,7,9,0,0.438,7.5,4승0무6패,2패,5-0-5,2-0-4,목,KIA,두산,광주,3474,18:30,21:18,2:48,놀린,최원준,광주
2022-04-21,KIA,6,16,7,9,0,0.438,7.5,4승0무6패,2패,5-0-5,2-0-4,목,KIA,두산,광주,3474,18:30,21:18,2:48,놀린,최원준,광주
2022-04-29,KIA,7,23,10,13,0,0.435,8.0,4승0무6패,3패,5-0-6,5-0-7,금,KIA,삼성,광주,7487,18:31,22:06,3:35,이의리,황동재,광주
2022-04-29,KIA,7,23,10,13,0,0.435,8.0,4승0무6패,3패,5-0-6,5-0-7,금,KIA,삼성,광주,7487,18:31,22:06,3:35,이의리,황동재,광주
2022-04-30,KIA,7,24,10,14,0,0.417,9.0,3승0무7패,4패,5-0-7,5-0-7,토,KIA,삼성,광주,11159,14:00,17:27,3:27,한승혁,원태인,광주
2022-04-30,KIA,7,24,10,14,0,0.417,9.0,3승0무7패,4패,5-0-7,5-0-7,토,KIA,삼성,광주,11159,14:00,17:27,3:27,한승혁,원태인,광주
2022-05-01,KIA,8,25,10,15,0,0.4,9.0,3승0무7패,5패,5-0-8,5-0-7,일,KIA,삼성,광주,11555,14:00,16:57,2:57,양현종,뷰캐넌,광주
2022-05-01,KIA,8,25,10,15,0,0.4,9.0,3승0무7패,5패,5-0-8,5-0-7,일,KIA,삼성,광주,11555,14:00,16:57,2:57,양현종,뷰캐넌,광주
2022-05-03,KIA,8,26,10,16,0,0.385,10.0,3승0무7패,6패,5-0-9,5-0-7,화,KIA,키움,광주,5277,18:30,20:58,2:28,놀린,요키시,광주
2022-05-03,KIA,8,26,10,16,0,0.385,10.0,3승0무7패,6패,5-0-9,5-0-7,화,KIA,키움,광주,5277,18:30,20:58,2:28,놀린,요키시,광주
2022-05-04,KIA,8,27,11,16,0,0.407,9.0,3승0무7패,1승,6-0-9,5-0-7,수,KIA,키움,광주,11234,18:30,22:14,3:44,임기영,애플러,광주
2022-05-04,KIA,8,27,11,16,0,0.407,9.0,3승0무7패,1승,6-0-9,5-0-7,수,KIA,키움,광주,11234,18:30,22:14,3:44,임기영,애플러,광주
2022-05-05,KIA,8,28,12,16,0,0.429,9.0,4승0무6패,2승,7-0-9,5-0-7,목,KIA,키움,광주,16072,14:00,16:46,2:46,이의리,김선기,광주
2022-05-05,KIA,8,28,12,16,0,0.429,9.0,4승0무6패,2승,7-0-9,5-0-7,목,KIA,키움,광주,16072,14:00,16:46,2:46,이의리,김선기,광주
2022-05-10,KIA,6,32,16,16,0,0.5,8.0,6승0무4패,6승,8-0-9,8-0-7,화,KIA,KT,광주,5240,18:30,21:10,2:40,임기영,배제성,광주
2022-05-10,KIA,6,32,16,16,0,0.5,8.0,6승0무4패,6승,8-0-9,8-0-7,화,KIA,KT,광주,5240,18:30,21:10,2:40,임기영,배제성,광주
2022-05-11,KIA,7,33,16,17,0,0.485,8.0,6승0무4패,1패,8-0-10,8-0-7,수,KIA,KT,광주,6542,18:30,21:46,3:16,이의리,엄상백,광주
2022-05-11,KIA,7,33,16,17,0,0.485,8.0,6승0무4패,1패,8-0-10,8-0-7,수,KIA,KT,광주,6542,18:30,21:46,3:16,이의리,엄상백,광주
2022-05-12,KIA,6,34,17,17,0,0.5,7.0,7승0무3패,1승,9-0-10,8-0-7,목,KIA,KT,광주,5224,18:30,21:35,3:05,한승혁,데스파이네,광주
2022-05-12,KIA,6,34,17,17,0,0.5,7.0,7승0무3패,1승,9-0-10,8-0-7,목,KIA,KT,광주,5224,18:30,21:35,3:05,한승혁,데스파이네,광주
2022-05-20,KIA,4,41,22,19,0,0.537,6.5,7승0무3패,4승,10-0-10,12-0-9,금,KIA,NC,광주,9135,18:30,21:18,2:48,놀린,이재학,광주
2022-05-20,KIA,4,41,22,19,0,0.537,6.5,7승0무3패,4승,10-0-10,12-0-9,금,KIA,NC,광주,9135,18:30,21:18,2:48,놀린,이재학,광주
2022-05-21,KIA,5,42,22,20,0,0.524,6.5,6승0무4패,1패,10-0-11,12-0-9,토,KIA,NC,광주,15565,17:00,20:31,3:31,임기영,김시훈,광주
2022-05-21,KIA,5,42,22,20,0,0.524,6.5,6승0무4패,1패,10-0-11,12-0-9,토,KIA,NC,광주,15565,17:00,20:31,3:31,임기영,김시훈,광주
2022-05-22,KIA,4,43,23,20,0,0.535,6.5,7승0무3패,1승,11-0-11,12-0-9,일,KIA,NC,광주,16282,14:00,16:55,2:55,이의리,송명기,광주
2022-05-22,KIA,4,43,23,20,0,0.535,6.5,7승0무3패,1승,11-0-11,12-0-9,일,KIA,NC,광주,16282,14:00,16:55,2:55,이의리,송명기,광주
2022-05-27,KIA,4,47,26,21,0,0.553,7.5,8승0무2패,1패,11-0-12,15-0-9,금,KIA,SSG,광주,10208,18:30,21:35,3:05,임기영,이태양,광주
2022-05-27,KIA,4,47,26,21,0,0.553,7.5,8승0무2패,1패,11-0-12,15-0-9,금,KIA,SSG,광주,10208,18:30,21:35,3:05,임기영,이태양,광주
2022-05-28,KIA,4,48,27,21,0,0.563,6.5,8승0무2패,1승,12-0-12,15-0-9,토,KIA,SSG,광주,12245,14:01,16:43,2:42,이의리,노바,광주
2022-05-28,KIA,4,48,27,21,0,0.563,6.5,8승0무2패,1승,12-0-12,15-0-9,토,KIA,SSG,광주,12245,14:01,16:43,2:42,이의리,노바,광주
2022-05-29,KIA,4,49,27,22,0,0.551,7.5,7승0무3패,1패,12-0-13,15-0-9,일,KIA,SSG,광주,12595,14:00,17:49,3:49,한승혁,오원석,광주
2022-05-29,KIA,4,49,27,22,0,0.551,7.5,7승0무3패,1패,12-0-13,15-0-9,일,KIA,SSG,광주,12595,14:00,17:49,3:49,한승혁,오원석,광주
2022-06-08,KIA,4,56,30,25,1,0.545,6.0,4승1무5패,3패,12-0-14,18-1-11,수,KIA,LG,광주,6812,18:30,21:57,3:27,로니,플럿코,광주
2022-06-08,KIA,4,56,30,25,1,0.545,6.0,4승1무5패,3패,12-0-14,18-1-11,수,KIA,LG,광주,6812,18:30,21:57,3:27,로니,플럿코,광주
2022-06-09,KIA,4,57,31,25,1,0.554,5.0,5승1무4패,1승,13-0-14,18-1-11,목,KIA,LG,광주,7606,18:30,21:12,2:42,임기영,이민호,광주
2022-06-09,KIA,4,57,31,25,1,0.554,5.0,5승1무4패,1승,13-0-14,18-1-11,목,KIA,LG,광주,7606,18:30,21:12,2:42,임기영,이민호,광주
2022-06-10,KIA,4,58,31,26,1,0.544,6.0,4승1무5패,1패,13-0-15,18-1-11,금,KIA,키움,광주,8951,18:30,22:27,3:57,이의리,최원태,광주
2022-06-10,KIA,4,58,31,26,1,0.544,6.0,4승1무5패,1패,13-0-15,18-1-11,금,KIA,키움,광주,8951,18:30,22:27,3:57,이의리,최원태,광주
2022-06-11,KIA,4,59,32,26,1,0.552,6.0,5승1무4패,1승,14-0-15,18-1-11,토,KIA,키움,광주,16267,16:59,19:44,2:45,양현종,안우진,광주
2022-06-11,KIA,4,59,32,26,1,0.552,6.0,5승1무4패,1승,14-0-15,18-1-11,토,KIA,키움,광주,16267,16:59,19:44,2:45,양현종,안우진,광주
2022-06-12,KIA,4,60,32,27,1,0.542,7.0,4승1무5패,1패,14-0-16,18-1-11,일,KIA,키움,광주,14849,17:00,20:39,3:39,한승혁,정찬헌,광주
2022-06-12,KIA,4,60,32,27,1,0.542,7.0,4승1무5패,1패,14-0-16,18-1-11,일,KIA,키움,광주,14849,17:00,20:39,3:39,한승혁,정찬헌,광주
2022-06-17,KIA,4,63,34,28,1,0.548,6.5,4승1무5패,2승,15-0-16,19-1-12,금,KIA,삼성,광주,8865,18:29,21:06,2:37,양현종,원태인,광주
2022-06-17,KIA,4,63,34,28,1,0.548,6.5,4승1무5패,2승,15-0-16,19-1-12,금,KIA,삼성,광주,8865,18:29,21:06,2:37,양현종,원태인,광주
2022-06-18,KIA,4,64,34,29,1,0.54,7.5,4승1무5패,1패,15-0-17,19-1-12,토,KIA,삼성,광주,14825,17:00,20:01,3:01,한승혁,뷰캐넌,광주
2022-06-18,KIA,4,64,34,29,1,0.54,7.5,4승1무5패,1패,15-0-17,19-1-12,토,KIA,삼성,광주,14825,17:00,20:01,3:01,한승혁,뷰캐넌,광주
2022-06-19,KIA,4,65,34,30,1,0.531,7.5,4승0무6패,2패,15-0-18,19-1-12,일,KIA,삼성,광주,9977,17:00,20:26,3:26,로니,수아레즈,광주
2022-06-19,KIA,4,65,34,30,1,0.531,7.5,4승0무6패,2패,15-0-18,19-1-12,일,KIA,삼성,광주,9977,17:00,20:26,3:26,로니,수아레즈,광주
2022-06-21,KIA,4,66,35,30,1,0.538,6.5,5승0무5패,1승,16-0-18,19-1-12,화,KIA,롯데,광주,5956,18:30,21:41,3:11,임기영,반즈,광주
2022-06-21,KIA,4,66,35,30,1,0.538,6.5,5승0무5패,1승,16-0-18,19-1-12,화,KIA,롯데,광주,5956,18:30,21:41,3:11,임기영,반즈,광주
2022-06-22,KIA,4,67,35,31,1,0.53,7.5,4승0무6패,1패,16-0-19,19-1-12,수,KIA,롯데,광주,8754,18:30,22:29,3:59,이의리,스파크맨,광주
2022-06-22,KIA,4,67,35,31,1,0.53,7.5,4승0무6패,1패,16-0-19,19-1-12,수,KIA,롯데,광주,8754,18:30,22:29,3:59,이의리,스파크맨,광주
2022-06-23,KIA,4,68,36,31,1,0.537,7.0,5승0무5패,1승,17-0-19,19-1-12,목,KIA,롯데,광주,5909,18:30,21:32,3:02,양현종,박세웅,광주
2022-06-23,KIA,4,68,36,31,1,0.537,7.0,5승0무5패,1승,17-0-19,19-1-12,목,KIA,롯데,광주,5909,18:30,21:32,3:02,양현종,박세웅,광주
