날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적,요일,홈팀,원정팀,장소,관중 수,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022-04-02,KT,1,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0,토,KT,삼성,수원,17057,13:59,16:40,2:41,쿠에바스,뷰캐넌,구장 : 수원
2022-04-03,KT,4,2,1,1,0,0.5,1.0,1승0무1패,1패,1-0-1,0-0-0,일,KT,삼성,수원,10321,13:59,17:20,3:21,배제성,수아레즈,구장 : 수원
2022-04-05,KT,6,3,1,2,0,0.333,2.0,1승0무2패,2패,1-0-2,0-0-0,화,KT,SSG,수원,2055,18:31,21:29,2:58,데스파이네,노바,구장 : 수원
2022-04-06,KT,7,4,1,3,0,0.25,3.0,1승0무3패,3패,1-0-3,0-0-0,수,KT,SSG,수원,2094,18:30,20:52,2:22,고영표,오원석,구장 : 수원
2022-04-07,KT,7,5,1,4,0,0.2,4.0,1승0무4패,4패,1-0-4,0-0-0,목,KT,SSG,수원,2530,18:31,21:19,2:48,소형준,이태양,구장 : 수원
2022-04-12,KT,8,9,2,7,0,0.222,7.0,2승0무7패,3패,1-0-5,1-0-2,화,KT,두산,수원,2450,18:31,21:42,3:11,고영표,곽빈,구장 : 수원
2022-04-14,KT,8,10,2,8,0,0.2,7.5,2승0무8패,4패,1-0-6,1-0-2,목,KT,두산,수원,2241,18:30,22:06,3:36,소형준,스탁,구장 : 수원
2022-04-22,KT,7,17,7,10,0,0.412,7.5,5승0무5패,4승,2-0-6,5-0-4,금,KT,NC,수원,2276,18:30,21:39,3:09,배제성,신민혁,구장 : 수원
2022-04-23,KT,6,18,8,10,0,0.444,6.5,6승0무4패,5승,3-0-6,5-0-4,토,KT,NC,수원,8255,17:00,19:36,2:36,엄상백,송명기,구장 : 수원
2022-04-24,KT,7,19,8,11,0,0.421,7.5,6승0무4패,1패,3-0-7,5-0-4,일,KT,NC,수원,5719,13:59,17:38,3:39,고영표,김태경,구장 : 수원
2022-04-26,KT,7,20,8,12,0,0.4,8.5,6승0무4패,2패,3-0-8,5-0-4,화,KT,KIA,수원,6277,18:31,21:49,3:18,데스파이네,양현종,구장 : 수원
2022-04-27,KT,7,21,9,12,0,0.429,8.0,7승0무3패,1승,4-0-8,5-0-4,수,KT,KIA,수원,6123,18:30,21:06,2:36,소형준,놀린,구장 : 수원
2022-04-28,KT,6,22,10,12,0,0.455,7.0,7승0무3패,2승,5-0-8,5-0-4,목,KT,KIA,수원,6111,18:31,21:14,2:43,배제성,임기영,구장 : 수원
2022-05-03,KT,6,26,12,14,0,0.462,8.0,6승0무4패,1승,6-0-8,6-0-6,화,KT,롯데,수원,6251,18:30,21:56,3:26,소형준,반즈,구장 : 수원
2022-05-04,KT,6,27,12,15,0,0.444,8.0,5승0무5패,1패,6-0-9,6-0-6,수,KT,롯데,수원,7532,18:30,21:19,2:49,배제성,박세웅,구장 : 수원
2022-05-05,KT,6,28,13,15,0,0.464,8.0,5승0무5패,1승,7-0-9,6-0-6,목,KT,롯데,수원,20000,14:00,17:12,3:12,엄상백,스파크맨,구장 : 수원
2022-05-13,KT,8,35,16,19,0,0.457,8.0,5승0무5패,2패,7-0-10,9-0-9,금,KT,키움,수원,4246,18:30,21:42,3:12,고영표,안우진,구장 : 수원
2022-05-14,KT,8,36,16,20,0,0.444,9.0,4승0무6패,3패,7-0-11,9-0-9,토,KT,키움,수원,10061,17:00,19:33,2:33,소형준,요키시,구장 : 수원
2022-05-15,KT,8,37,16,21,0,0.432,9.0,4승0무6패,4패,7-0-12,9-0-9,일,KT,키움,수원,6587,14:00,18:23,4:23,배제성,애플러,구장 : 수원
2022-05-17,KT,8,38,17,21,0,0.447,8.5,4승0무6패,1승,8-0-12,9-0-9,화,KT,LG,수원,5600,18:30,21:41,3:11,데스파이네,켈리,구장 : 수원
2022-05-18,KT,8,39,17,22,0,0.436,9.5,3승0무7패,1패,8-0-13,9-0-9,수,KT,LG,수원,5106,18:30,21:55,3:25,엄상백,김윤식,구장 : 수원
2022-05-19,KT,8,40,17,23,0,0.425,10.5,3승0무7패,2패,8-0-14,9-0-9,목,KT,LG,수원,5234,18:30,21:52,3:22,고영표,임찬규,구장 : 수원
2022-05-27,KT,8,47,21,26,0,0.447,12.5,5승0무5패,1패,8-0-15,13-0-11,금,KT,한화,수원,6090,18:30,21:25,2:55,배제성,장민재,구장 : 수원
2022-05-28,KT,8,48,21,27,0,0.438,12.5,4승0무6패,2패,8-0-16,13-0-11,토,KT,한화,수원,11494,17:00,21:12,4:12,데스파이네,이민우,구장 : 수원
2022-05-29,KT,8,49,21,28,0,0.429,13.5,4승0무6패,3패,8-0-17,13-0-11,일,KT,한화,수원,9503,14:00,18:00,4:00,엄상백,김민우,구장 : 수원
2022-06-03,KT,7,53,24,29,0,0.453,11.5,5승0무5패,2승,9-0-17,15-0-12,금,KT,KIA,수원,10749,18:30,21:03,2:33,배제성,이의리,구장 : 수원
2022-06-04,KT,7,54,25,29,0,0.463,10.5,6승0무4패,3승,10-0-17,15-0-12,토,KT,KIA,수원,20000,17:00,20:01,3:01,엄상백,김도현,구장 : 수원
2022-06-05,KT,7,55,25,29,1,0.463,11.0,5승1무4패,3승,10-1-17,15-0-12,일,KT,KIA,수원,20000,17:00,21:08,4:08,고영표,양현종,구장 : 수원
2022-06-14,KT,5,62,29,31,2,0.483,10.0,6승2무2패,1승,11-1-17,18-1-14,화,KT,SSG,수원,3108,18:30,21:33,3:03,소형준,이태양,구장 : 수원
2022-06-15,KT,5,63,30,31,2,0.492,9.0,6승2무2패,2승,12-1-17,18-1-14,수,KT,SSG,수원,3596,18:29,21:26,2:48,엄상백,노바,구장 : 수원
