날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적,요일,홈팀,원정팀,장소,관중 수,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022-04-08,LG,2,6,5,1,0,0.833,1.0,5승0무1패,1패,0-0-1,5-0-0,금,LG,NC,잠실,10623,18:30,21:23,2:53,플럿코,루친스키,구장 : 잠실
2022-04-09,LG,2,7,6,1,0,0.857,1.0,6승0무1패,1승,1-0-1,5-0-0,토,LG,NC,잠실,14328,17:01,20:10,3:09,이민호,파슨스,구장 : 잠실
2022-04-10,LG,2,8,7,1,0,0.875,1.0,7승0무1패,2승,2-0-1,5-0-0,일,LG,NC,잠실,13095,13:59,17:15,3:16,켈리,신민혁,구장 : 잠실
2022-04-12,LG,2,9,7,2,0,0.778,2.0,7승0무2패,1패,2-0-2,5-0-0,화,LG,SSG,잠실,6028,18:30,20:58,2:28,임찬규,노바,구장 : 잠실
2022-04-13,LG,2,10,7,3,0,0.7,3.0,7승0무3패,2패,2-0-3,5-0-0,수,LG,SSG,잠실,4547,18:30,22:11,3:41,손주영,오원석,구장 : 잠실
2022-04-14,LG,2,11,8,3,0,0.727,2.0,7승0무3패,1승,3-0-3,5-0-0,목,LG,SSG,잠실,6500,18:30,21:20,2:50,플럿코,폰트,구장 : 잠실
2022-04-19,LG,2,15,10,5,0,0.667,3.0,5승0무5패,1패,3-0-4,7-0-1,화,LG,KT,잠실,4537,18:30,21:19,2:49,김윤식,고영표,구장 : 잠실
2022-04-20,LG,2,16,10,6,0,0.625,4.0,5승0무5패,2패,3-0-5,7-0-1,수,LG,KT,잠실,4595,18:30,21:25,2:55,플럿코,소형준,구장 : 잠실
2022-04-21,LG,3,17,10,7,0,0.588,5.0,4승0무6패,3패,3-0-6,7-0-1,목,LG,KT,잠실,4410,18:30,21:56,3:26,손주영,데스파이네,구장 : 잠실
2022-04-29,LG,3,24,14,10,0,0.583,4.5,4승0무6패,1패,3-0-7,11-0-3,금,LG,롯데,잠실,15681,18:30,22:16,3:46,임준형,스파크맨,구장 : 잠실
2022-04-30,LG,3,25,14,11,0,0.56,5.5,4승0무6패,2패,3-0-8,11-0-3,토,LG,롯데,잠실,23018,17:00,19:47,2:47,김윤식,이인복,구장 : 잠실
2022-05-01,LG,5,26,14,12,0,0.538,5.5,4승0무6패,3패,3-0-9,11-0-3,일,LG,롯데,잠실,20513,14:00,16:55,2:55,임찬규,김진욱,구장 : 잠실
2022-05-03,LG,4,27,15,12,0,0.556,5.5,5승0무5패,1승,4-0-9,11-0-3,화,LG,두산,잠실,10124,18:30,21:38,3:08,플럿코,최원준,구장 : 잠실
2022-05-04,LG,5,28,15,13,0,0.536,5.5,4승0무6패,1패,4-0-10,11-0-3,수,LG,두산,잠실,14480,18:30,21:45,3:15,이민호,이영하,구장 : 잠실
2022-05-05,LG,5,29,15,14,0,0.517,6.5,4승0무6패,2패,4-0-11,11-0-3,목,LG,두산,잠실,24012,14:01,17:22,3:21,켈리,최승용,구장 : 잠실
2022-05-10,LG,2,33,19,14,0,0.576,5.5,5승0무5패,4승,5-0-11,14-0-3,화,LG,한화,잠실,7270,18:30,21:41,3:11,이민호,장민재,구장 : 잠실
2022-05-11,LG,2,34,20,14,0,0.588,4.5,6승0무4패,5승,6-0-11,14-0-3,수,LG,한화,잠실,8064,18:30,22:13,3:43,켈리,남지민,구장 : 잠실
2022-05-12,LG,2,35,21,14,0,0.6,3.5,7승0무3패,6승,7-0-11,14-0-3,목,LG,한화,잠실,8620,18:30,22:14,3:44,배재준,김민우,구장 : 잠실
2022-05-13,LG,3,36,21,15,0,0.583,3.5,7승0무3패,1패,7-0-12,14-0-3,금,LG,KIA,잠실,19411,18:30,22:11,3:41,임찬규,양현종,구장 : 잠실
2022-05-14,LG,2,37,22,15,0,0.595,3.5,7승0무3패,1승,8-0-12,14-0-3,토,LG,KIA,잠실,24132,17:00,19:48,2:48,플럿코,놀린,구장 : 잠실
2022-05-15,LG,2,38,23,15,0,0.605,2.5,8승0무2패,2승,9-0-12,14-0-3,일,LG,KIA,잠실,23097,14:02,17:10,3:08,이민호,임기영,구장 : 잠실
2022-05-24,LG,2,45,26,19,0,0.578,5.0,5승0무5패,2패,9-0-13,17-0-6,화,LG,키움,잠실,6074,18:30,21:49,3:19,김윤식,정찬헌,구장 : 잠실
2022-05-25,LG,2,46,26,20,0,0.565,6.0,5승0무5패,3패,9-0-14,17-0-6,수,LG,키움,잠실,6937,18:30,21:39,3:09,임찬규,안우진,구장 : 잠실
2022-05-26,LG,4,47,26,21,0,0.553,7.0,4승0무6패,4패,9-0-15,17-0-6,목,LG,키움,잠실,6655,18:30,21:42,3:12,플럿코,요키시,구장 : 잠실
2022-05-27,LG,3,48,27,21,0,0.563,7.0,4승0무6패,1승,10-0-15,17-0-6,금,LG,삼성,잠실,13775,18:30,21:43,3:13,이민호,수아레즈,구장 : 잠실
2022-05-28,LG,3,49,28,21,0,0.571,6.0,5승0무5패,2승,11-0-15,17-0-6,토,LG,삼성,잠실,21100,17:00,19:56,2:56,켈리,백정현,구장 : 잠실
2022-05-29,LG,3,50,28,22,0,0.56,7.0,4승0무6패,1패,11-0-16,17-0-6,일,LG,삼성,잠실,17435,14:00,17:35,3:35,김윤식,황동재,구장 : 잠실
2022-06-03,LG,3,54,30,23,1,0.566,5.5,4승1무5패,2승,12-0-16,18-1-7,금,LG,SSG,잠실,9487,18:30,21:17,2:47,켈리,노바,구장 : 잠실
2022-06-04,LG,3,55,31,23,1,0.574,4.5,5승1무4패,3승,13-0-16,18-1-7,토,LG,SSG,잠실,16345,17:01,20:28,3:27,김윤식,오원석,구장 : 잠실
2022-06-05,LG,3,56,31,24,1,0.564,5.5,5승1무4패,1패,13-0-17,18-1-7,일,LG,SSG,잠실,14964,17:00,19:41,2:41,임준형,폰트,구장 : 잠실
2022-06-10,LG,3,59,33,25,1,0.569,4.5,5승1무4패,1승,14-0-17,19-1-8,금,LG,두산,잠실,11791,18:30,21:48,3:18,켈리,곽빈,구장 : 잠실
2022-06-11,LG,3,60,33,26,1,0.559,5.5,5승1무4패,1패,14-0-18,19-1-8,토,LG,두산,잠실,19035,17:01,20:37,3:36,김윤식,최승용,구장 : 잠실
2022-06-12,LG,3,61,34,26,1,0.567,5.5,6승1무3패,1승,15-0-18,19-1-8,일,LG,두산,잠실,15235,17:00,20:57,3:57,임준형,스탁,구장 : 잠실
2022-06-14,LG,3,62,35,26,1,0.574,4.5,6승1무3패,2승,16-0-18,19-1-8,화,LG,삼성,잠실,6824,18:30,21:19,2:49,플럿코,수아레즈,구장 : 잠실
2022-06-15,LG,3,63,35,27,1,0.565,4.5,6승0무4패,1패,16-0-19,19-1-8,수,LG,삼성,잠실,6328,18:30,21:36,3:06,이민호,허윤동,구장 : 잠실
2022-06-16,LG,3,64,36,27,1,0.571,4.5,6승0무4패,1승,17-0-19,19-1-8,목,LG,삼성,잠실,8976,18:30,21:16,2:46,켈리,백정현,구장 : 잠실
2022-06-21,LG,3,68,39,28,1,0.582,3.5,7승0무3패,2승,18-0-19,21-1-9,화,LG,한화,잠실,7317,18:30,21:48,3:18,이민호,라미레즈,구장 : 잠실
2022-06-22,LG,3,69,40,28,1,0.588,3.5,7승0무3패,3승,19-0-19,21-1-9,수,LG,한화,잠실,8200,18:30,21:37,3:07,켈리,윤대경,구장 : 잠실
2022-06-28,LG,3,73,43,29,1,0.597,3.5,8승0무2패,3승,20-0-19,23-1-10,화,LG,NC,잠실,3361,18:30,21:25,2:55,켈리,구창모,구장 : 잠실
2022-07-01,LG,3,74,44,29,1,0.603,4.0,8승0무2패,4승,21-0-19,23-1-10,금,LG,롯데,잠실,12224,18:30,21:48,3:18,김윤식,김진욱,구장 : 잠실
2022-07-02,LG,3,75,44,30,1,0.595,5.0,7승0무3패,1패,21-0-20,23-1-10,토,LG,롯데,잠실,18750,18:00,20:53,2:53,플럿코,반즈,구장 : 잠실
2022-07-03,LG,3,76,45,30,1,0.6,5.0,8승0무2패,1승,22-0-20,23-1-10,일,LG,롯데,잠실,23750,17:01,19:53,2:52,임찬규,스파크맨,구장 : 잠실
2022-07-12,LG,3,83,51,31,1,0.622,5.0,8승0무2패,1패,22-0-21,29-1-10,화,LG,KIA,잠실,14517,18:29,21:52,3:23,이민호,양현종,구장 : 잠실
2022-07-14,LG,3,84,52,31,1,0.627,5.0,8승0무2패,1승,23-0-21,29-1-10,목,LG,KIA,잠실,14590,18:31,21:49,3:18,플럿코,파노니,구장 : 잠실
