날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적,요일,홈팀,원정팀,장소,관중 수,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022-04-08,롯데,4,6,3,3,0,0.5,3.0,3승0무3패,1패,0-0-1,3-0-2,금,롯데,두산,사직,8860,18:30,21:45,3:15,이승헌,스탁,사직
2022-04-09,롯데,3,7,4,3,0,0.571,3.0,4승0무3패,1승,1-0-1,3-0-2,토,롯데,두산,사직,13045,17:00,20:03,3:03,박세웅,최원준,사직
2022-04-10,롯데,4,8,4,4,0,0.5,4.0,4승0무4패,1패,1-0-2,3-0-2,일,롯데,두산,사직,11646,14:02,18:07,4:05,스파크맨,이영하,사직
2022-04-15,롯데,5,11,6,5,0,0.545,4.5,5승0무5패,2승,2-0-2,4-0-3,금,롯데,KT,사직,4610,18:30,22:02,3:32,김진욱,배제성,사직
2022-04-16,롯데,5,12,6,6,0,0.5,5.5,5승0무5패,1패,2-0-3,4-0-3,토,롯데,KT,사직,10639,17:00,20:02,3:02,스파크맨,데스파이네,사직
2022-04-17,롯데,5,13,7,6,0,0.538,5.5,5승0무5패,1승,3-0-3,4-0-3,일,롯데,KT,사직,9231,14:00,16:36,2:36,반즈,엄상백,사직
2022-04-19,롯데,5,14,7,7,0,0.5,5.5,5승0무5패,1패,3-0-4,4-0-3,화,롯데,한화,사직,4053,18:29,22:02,3:33,이인복,김민우,사직
2022-04-20,롯데,5,15,8,7,0,0.533,5.5,5승0무5패,1승,4-0-4,4-0-3,수,롯데,한화,사직,4340,18:30,21:16,2:46,박세웅,박윤철,사직
2022-04-21,롯데,5,16,8,8,0,0.5,6.5,5승0무5패,1패,4-0-5,4-0-3,목,롯데,한화,사직,3306,18:30,22:20,3:50,김진욱,윤대경,사직
2022-04-26,롯데,4,20,11,9,0,0.55,5.5,6승0무4패,1패,4-0-6,7-0-3,화,롯데,SSG,사직,2731,18:59,22:09,3:10,김진욱,폰트,사직
2022-04-27,롯데,4,21,11,9,1,0.55,5.5,5승1무4패,1패,4-1-6,7-0-3,수,롯데,SSG,사직,6831,18:30,22:26,3:56,박세웅,김광현,사직
