날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적,요일,홈팀,원정팀,장소,관중 수,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022-04-02,NC,6,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-1,0-0-0,토,NC,SSG,창원,7814,14:03,16:56,2:53,루친스키,폰트,구장 : 창원
2022-04-03,NC,8,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-2,0-0-0,일,NC,SSG,창원,4808,13:59,17:02,3:03,파슨스,노경은,구장 : 창원
2022-04-05,NC,9,3,0,3,0,0.0,3.0,0승0무3패,3패,0-0-3,0-0-0,화,NC,롯데,창원,3246,18:30,21:24,2:54,신민혁,김진욱,구장 : 창원
2022-04-06,NC,7,4,1,3,0,0.25,3.0,1승0무3패,1승,1-0-3,0-0-0,수,NC,롯데,창원,3000,18:29,21:12,2:43,송명기,이인복,구장 : 창원
2022-04-07,NC,7,5,1,4,0,0.2,4.0,1승0무4패,1패,1-0-4,0-0-0,목,NC,롯데,창원,3017,18:29,21:21,2:52,이재학,반즈,구장 : 창원
2022-04-15,NC,8,12,3,9,0,0.25,8.0,3승0무7패,1승,2-0-4,1-0-5,금,NC,KIA,창원,3002,18:29,21:32,3:03,파슨스,놀린,구장 : 창원
2022-04-16,NC,9,13,3,10,0,0.231,9.0,3승0무7패,1패,2-0-5,1-0-5,토,NC,KIA,창원,4580,17:00,19:57,2:57,신민혁,로니,구장 : 창원
2022-04-17,NC,9,14,3,11,0,0.214,10.0,2승0무8패,2패,2-0-6,1-0-5,일,NC,KIA,창원,3902,13:59,17:28,3:29,송명기,이의리,구장 : 창원
2022-04-19,NC,9,15,4,11,0,0.267,9.0,3승0무7패,1승,3-0-6,1-0-5,화,NC,삼성,창원,1725,18:30,22:11,3:41,이재학,양창섭,구장 : 창원
2022-04-20,NC,9,16,5,11,0,0.313,9.0,3승0무7패,2승,4-0-6,1-0-5,수,NC,삼성,창원,2104,18:32,21:18,2:46,루친스키,뷰캐넌,구장 : 창원
2022-04-21,NC,9,17,5,12,0,0.294,10.0,3승0무7패,1패,4-0-7,1-0-5,목,NC,삼성,창원,1675,18:32,22:01,3:29,파슨스,수아레즈,구장 : 창원
2022-04-29,NC,9,24,8,16,0,0.333,10.5,5승0무5패,2승,5-0-7,3-0-9,금,NC,한화,창원,3405,18:30,21:56,3:26,송명기,남지민,구장 : 창원
2022-04-30,NC,10,25,8,17,0,0.32,11.5,4승0무6패,1패,5-0-8,3-0-9,토,NC,한화,창원,6045,17:00,20:31,3:31,이재학,김민우,구장 : 창원
2022-05-01,NC,10,26,8,18,0,0.308,11.5,3승0무7패,2패,5-0-9,3-0-9,일,NC,한화,창원,5185,14:00,17:13,3:13,루친스키,박윤철,구장 : 창원
2022-05-06,NC,10,30,9,21,0,0.3,12.5,3승0무7패,3패,5-0-10,4-0-11,금,NC,LG,창원,5883,18:30,22:19,3:49,이재학,김윤식,구장 : 창원
2022-05-07,NC,10,31,9,22,0,0.29,13.5,3승0무7패,4패,5-0-11,4-0-11,토,NC,LG,창원,5585,17:00,20:09,3:09,루친스키,배재준,구장 : 창원
2022-05-08,NC,10,32,9,23,0,0.281,14.5,3승0무7패,5패,5-0-12,4-0-11,일,NC,LG,창원,3642,14:01,17:56,3:55,파슨스,플럿코,구장 : 창원
2022-05-17,NC,10,39,12,27,0,0.308,14.0,3승0무7패,1패,5-0-13,7-0-14,화,NC,키움,창원,2420,18:31,22:10,3:39,송명기,최원태,구장 : 창원
2022-05-18,NC,9,40,13,27,0,0.325,14.0,4승0무6패,1승,6-0-13,7-0-14,수,NC,키움,창원,2526,18:31,22:05,3:34,신민혁,정찬헌,구장 : 창원
2022-05-19,NC,9,41,13,28,0,0.317,15.0,4승0무6패,1패,6-0-14,7-0-14,목,NC,키움,창원,2686,18:32,21:53,3:21,루친스키,안우진,구장 : 창원
2022-05-24,NC,9,45,15,30,0,0.333,16.0,5승0무5패,1승,7-0-14,8-0-16,화,NC,KT,창원,1686,18:31,21:44,3:13,신민혁,엄상백,구장 : 창원
2022-05-25,NC,10,46,15,31,0,0.326,17.0,4승0무6패,1패,7-0-15,8-0-16,수,NC,KT,창원,2428,18:31,21:11,2:40,루친스키,고영표,구장 : 창원
2022-05-26,NC,10,47,15,32,0,0.319,18.0,4승0무6패,2패,7-0-16,8-0-16,목,NC,KT,창원,1728,18:31,21:53,3:22,이재학,소형준,구장 : 창원
2022-05-27,NC,10,48,15,33,0,0.313,19.0,3승0무7패,3패,7-0-17,8-0-16,금,NC,두산,창원,3328,18:29,21:37,3:08,김시훈,최원준,구장 : 창원
2022-05-28,NC,10,49,16,33,0,0.327,18.0,4승0무6패,1승,8-0-17,8-0-16,토,NC,두산,창원,7638,17:00,20:13,3:13,구창모,이영하,구장 : 창원
2022-05-29,NC,10,50,16,34,0,0.32,19.0,3승0무7패,1패,8-0-18,8-0-16,일,NC,두산,창원,3979,14:00,17:14,3:14,신민혁,곽빈,구장 : 창원
2022-06-03,NC,10,54,19,35,0,0.352,17.0,5승0무5패,2승,9-0-18,10-0-17,금,NC,롯데,창원,9544,18:31,20:53,2:22,구창모,반즈,구장 : 창원
2022-06-04,NC,10,55,19,36,0,0.345,17.0,4승0무6패,1패,9-0-19,10-0-17,토,NC,롯데,창원,11736,17:01,19:49,2:48,신민혁,스파크맨,구장 : 창원
2022-06-07,NC,10,56,20,36,0,0.357,16.5,5승0무5패,1승,10-0-19,10-0-17,화,NC,SSG,창원,2158,18:32,20:58,2:26,루친스키,김광현,구장 : 창원
2022-06-08,NC,10,57,20,36,1,0.357,16.5,5승1무4패,1승,10-1-19,10-0-17,수,NC,SSG,창원,2316,18:31,23:01,4:30,이용준,이태양,구장 : 창원
2022-06-09,NC,10,58,21,36,1,0.368,15.5,6승1무3패,2승,11-1-19,10-0-17,목,NC,SSG,창원,3010,18:30,21:42,3:12,이재학,김건우,구장 : 창원
2022-06-15,NC,9,62,24,37,1,0.393,15.0,7승1무2패,1승,12-1-19,12-0-18,수,NC,KIA,창원,3444,18:30,21:43,3:13,이재학,임기영,구장 : 창원
2022-06-16,NC,9,63,24,38,1,0.387,16.0,6승1무3패,1패,12-1-20,12-0-18,목,NC,KIA,창원,4547,18:30,21:35,3:05,구창모,이의리,구장 : 창원
2022-06-17,NC,9,64,24,38,2,0.387,16.5,5승2무3패,1패,12-2-20,12-0-18,금,NC,한화,창원,3678,18:29,22:34,4:05,송명기,김민우,구장 : 창원
2022-06-18,NC,9,65,25,38,2,0.397,16.5,6승2무2패,1승,13-2-20,12-0-18,토,NC,한화,창원,7205,17:00,20:07,3:07,루친스키,남지민,구장 : 창원
2022-06-19,NC,9,66,26,38,2,0.406,15.5,6승2무2패,2승,14-2-20,12-0-18,일,NC,한화,창원,4605,17:00,19:57,2:57,신민혁,김재영,구장 : 창원
2022-07-02,NC,9,73,28,43,2,0.394,19.5,4승1무5패,1승,15-2-20,13-0-23,토,NC,삼성,창원,9063,18:00,21:23,3:23,루친스키,허윤동,구장 : 창원
2022-07-03,NC,9,74,29,43,2,0.403,19.5,5승0무5패,2승,16-2-20,13-0-23,일,NC,삼성,창원,4725,17:01,20:54,3:53,송명기,수아레즈,구장 : 창원
2022-07-12,NC,9,81,31,48,2,0.392,23.5,4승0무6패,5패,16-2-21,15-0-27,화,NC,두산,창원,3522,18:30,22:42,4:12,신민혁,곽빈,구장 : 창원
2022-07-13,NC,9,82,32,48,2,0.4,23.0,5승0무5패,1승,17-2-21,15-0-27,수,NC,두산,창원,2880,18:30,21:30,3:00,이재학,스탁,구장 : 창원
2022-07-14,NC,9,83,32,49,2,0.395,24.0,4승0무6패,1패,17-2-22,15-0-27,목,NC,두산,창원,4659,18:30,21:35,3:05,루친스키,최원준,구장 : 창원
2022-07-22,NC,9,84,33,49,2,0.402,24.0,4승0무6패,1승,18-2-22,15-0-27,금,NC,LG,창원,5924,18:30,22:07,3:37,구창모,켈리,구장 : 창원
2022-07-23,NC,9,85,33,50,2,0.398,24.5,3승0무7패,1패,18-2-23,15-0-27,토,NC,LG,창원,7934,18:00,21:19,3:19,이용준,김윤식,구장 : 창원
