날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적,요일,홈팀,원정팀,장소,관중 수,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022-04-08,삼성,4,6,3,3,0,0.5,3.0,3승0무3패,2패,0-0-1,3-0-2,금,삼성,키움,대구,9244,18:30,21:07,2:37,뷰캐넌,안우진,대구
2022-04-09,삼성,5,7,3,4,0,0.429,4.0,3승0무4패,3패,0-0-2,3-0-2,토,삼성,키움,대구,13059,17:00,19:49,2:49,수아레즈,요키시,대구
2022-04-10,삼성,6,8,3,5,0,0.375,5.0,3승0무5패,4패,0-0-3,3-0-2,일,삼성,키움,대구,11610,14:00,16:51,2:51,백정현,애플러,대구
2022-04-12,삼성,5,9,4,5,0,0.444,5.0,4승0무5패,1승,1-0-3,3-0-2,화,삼성,한화,대구,4047,18:30,21:13,2:43,원태인,카펜터,대구
2022-04-13,삼성,5,10,5,5,0,0.5,5.0,5승0무5패,2승,2-0-3,3-0-2,수,삼성,한화,대구,2156,18:30,21:20,2:50,양창섭,김민우,대구
2022-04-14,삼성,5,11,6,5,0,0.545,4.0,6승0무4패,3승,3-0-3,3-0-2,목,삼성,한화,대구,2869,18:30,21:35,3:05,뷰캐넌,박윤철,대구
2022-04-22,삼성,8,18,7,11,0,0.389,8.0,4승0무6패,1패,3-0-4,4-0-7,금,삼성,롯데,대구,7951,18:31,21:34,3:03,백정현,반즈,대구
2022-04-23,삼성,8,19,7,12,0,0.368,8.0,3승0무7패,2패,3-0-5,4-0-7,토,삼성,롯데,대구,14983,17:00,19:59,2:59,황동재,스파크맨,대구
2022-04-24,삼성,8,20,7,13,0,0.35,9.0,2승0무8패,3패,3-0-6,4-0-7,일,삼성,롯데,대구,12782,14:01,17:07,3:06,양창섭,이인복,대구
2022-04-26,삼성,8,21,8,13,0,0.381,9.0,2승0무8패,1승,4-0-6,4-0-7,화,삼성,LG,대구,3920,18:30,21:32,3:02,뷰캐넌,플럿코,대구
2022-04-27,삼성,8,22,8,14,0,0.364,9.5,2승0무8패,1패,4-0-7,4-0-7,수,삼성,LG,대구,5063,18:30,21:32,3:02,수아레즈,이민호,대구
2022-04-28,삼성,8,23,8,15,0,0.348,9.5,2승0무8패,2패,4-0-8,4-0-7,목,삼성,LG,대구,5279,18:30,21:41,3:11,백정현,켈리,대구
2022-05-03,삼성,7,27,11,16,0,0.407,9.5,4승0무6패,1패,4-0-9,7-0-7,화,삼성,NC,대구,5728,18:31,22:30,3:59,수아레즈,파슨스,대구
2022-05-04,삼성,7,28,12,16,0,0.429,8.5,5승0무5패,1승,5-0-9,7-0-7,수,삼성,NC,대구,8712,18:30,21:59,3:29,백정현,김시훈,대구
2022-05-05,삼성,7,29,13,16,0,0.448,8.5,6승0무4패,2승,6-0-9,7-0-7,목,삼성,NC,대구,20938,14:01,17:10,3:09,황동재,송명기,대구
2022-05-10,삼성,7,33,16,17,0,0.485,8.5,8승0무2패,1패,6-0-10,10-0-7,화,삼성,SSG,대구,5088,18:30,21:33,3:03,백정현,이태양,대구
2022-05-11,삼성,5,34,17,17,0,0.5,7.5,8승0무2패,1승,7-0-10,10-0-7,수,삼성,SSG,대구,4786,18:30,22:40,4:10,황동재,노바,대구
2022-05-12,삼성,5,35,18,17,0,0.514,6.5,8승0무2패,2승,8-0-10,10-0-7,목,삼성,SSG,대구,5541,18:30,21:32,3:02,원태인,오원석,대구
2022-05-14,삼성,5,36,19,17,0,0.528,6.0,8승0무2패,3승,9-0-10,10-0-7,토,삼성,두산,대구,17161,17:01,19:27,2:26,뷰캐넌,스탁,대구
