날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적,요일,홈팀,원정팀,장소,관중 수,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022-04-08,SSG,1,6,6,0,0,1.0,0.0,6승0무0패,6승,1-0-0,5-0-0,금,SSG,KIA,문학,15615,18:31,21:12,2:41,폰트,양현종,문학
2022-04-09,SSG,1,7,7,0,0,1.0,0.0,7승0무0패,7승,2-0-0,5-0-0,토,SSG,KIA,문학,21005,17:00,19:35,2:35,김광현,이민우,문학
2022-04-10,SSG,1,8,8,0,0,1.0,0.0,8승0무0패,8승,3-0-0,5-0-0,일,SSG,KIA,문학,17849,14:00,16:57,2:57,노경은,로니,문학
2022-04-15,SSG,1,12,11,1,0,0.917,0.0,9승0무1패,1승,4-0-0,7-0-1,금,SSG,삼성,문학,9441,18:30,21:09,2:39,김광현,수아레즈,문학
2022-04-16,SSG,1,13,12,1,0,0.923,0.0,9승0무1패,2승,5-0-0,7-0-1,토,SSG,삼성,문학,16037,14:00,17:14,3:14,노경은,백정현,문학
2022-04-17,SSG,1,14,13,1,0,0.929,0.0,9승0무1패,3승,6-0-0,7-0-1,일,SSG,삼성,문학,15104,14:00,17:12,3:12,노바,원태인,문학
2022-04-19,SSG,1,15,13,2,0,0.867,0.0,8승0무2패,1패,6-0-1,7-0-1,화,SSG,키움,문학,5931,18:30,21:58,3:28,오원석,정찬헌,문학
2022-04-20,SSG,1,16,14,2,0,0.875,0.0,8승0무2패,1승,7-0-1,7-0-1,수,SSG,키움,문학,5061,18:31,20:59,2:28,폰트,안우진,문학
2022-04-21,SSG,1,17,15,2,0,0.882,0.0,8승0무2패,2승,8-0-1,7-0-1,목,SSG,키움,문학,8080,18:30,21:13,2:43,김광현,애플러,문학
2022-04-29,SSG,1,24,18,5,1,0.783,0.0,5승1무4패,1승,9-0-1,9-1-4,금,SSG,두산,문학,10306,18:30,23:21,4:51,노바,최승용,문학
2022-04-30,SSG,1,25,19,5,1,0.792,0.0,6승1무3패,2승,10-0-1,9-1-4,토,SSG,두산,문학,20094,17:01,20:15,3:14,오원석,곽빈,문학
2022-05-01,SSG,1,26,19,6,1,0.76,0.0,5승1무4패,1패,10-0-2,9-1-4,일,SSG,두산,문학,18130,14:00,16:45,2:45,폰트,스탁,문학
2022-05-03,SSG,1,27,20,6,1,0.769,0.0,5승1무4패,1승,11-0-2,9-1-4,화,SSG,한화,문학,9110,18:30,21:40,3:10,김광현,윤대경,문학
2022-05-04,SSG,1,28,20,7,1,0.741,0.0,5승1무4패,1패,11-0-3,9-1-4,수,SSG,한화,문학,11331,18:31,21:59,3:28,이태양,장민재,문학
2022-05-05,SSG,1,29,21,7,1,0.75,0.0,6승1무3패,1승,12-0-3,9-1-4,목,SSG,한화,문학,23000,14:00,17:08,3:08,노바,남지민,문학
2022-05-13,SSG,1,36,24,11,1,0.686,0.0,5승0무5패,3패,12-0-4,12-1-7,금,SSG,NC,문학,8121,18:30,21:27,2:57,폰트,루친스키,문학
2022-05-14,SSG,1,37,25,11,1,0.694,0.0,5승0무5패,1승,13-0-4,12-1-7,토,SSG,NC,문학,15131,17:00,20:08,3:08,김광현,파슨스,문학
2022-05-15,SSG,1,38,25,12,1,0.676,0.0,5승0무5패,1패,13-0-5,12-1-7,일,SSG,NC,문학,11414,14:00,17:45,3:45,이태양,김시훈,문학
2022-05-20,SSG,1,42,28,12,2,0.7,0.0,5승1무4패,3승,14-0-5,14-2-7,금,SSG,LG,문학,13904,18:30,21:44,3:14,김광현,플럿코,문학
2022-05-21,SSG,1,43,28,13,2,0.683,0.0,4승1무5패,1패,14-0-6,14-2-7,토,SSG,LG,문학,21315,17:01,20:31,3:30,이태양,이민호,문학
2022-05-22,SSG,1,44,29,13,2,0.69,0.0,5승1무4패,1승,15-0-6,14-2-7,일,SSG,LG,문학,18157,14:00,17:14,3:14,노바,켈리,문학
2022-05-24,SSG,1,45,30,13,2,0.698,0.0,6승1무3패,2승,16-0-6,14-2-7,화,SSG,롯데,문학,11996,18:30,21:24,2:54,오원석,반즈,문학
2022-05-25,SSG,1,46,31,13,2,0.705,0.0,7승1무2패,3승,17-0-6,14-2-7,수,SSG,롯데,문학,9890,18:32,21:09,2:03,폰트,이인복,문학
2022-05-26,SSG,1,47,32,13,2,0.711,0.0,7승1무2패,4승,18-0-6,14-2-7,목,SSG,롯데,문학,13672,18:29,21:57,3:28,김광현,나균안,문학
2022-05-31,SSG,1,51,34,15,2,0.694,0.0,7승0무3패,1패,18-0-7,16-2-8,화,SSG,KT,문학,7883,18:29,20:50,2:21,폰트,고영표,문학
2022-06-01,SSG,1,52,35,15,2,0.7,0.0,7승0무3패,1승,19-0-7,16-2-8,수,SSG,KT,문학,15288,16:59,19:46,2:47,김광현,소형준,문학
2022-06-02,SSG,1,53,35,16,2,0.686,0.0,7승0무3패,1패,19-0-8,16-2-8,목,SSG,KT,문학,5525,18:30,21:50,3:20,이태양,데스파이네,문학
2022-06-10,SSG,1,60,37,20,3,0.649,0.0,3승1무6패,1승,20-0-8,17-3-12,금,SSG,한화,문학,9958,18:30,21:18,2:48,오원석,장민재,문학
2022-06-11,SSG,1,61,38,20,3,0.655,0.0,4승1무5패,2승,21-0-8,17-3-12,토,SSG,한화,문학,20078,17:00,19:34,2:34,폰트,김민우,문학
2022-06-12,SSG,1,62,39,20,3,0.661,0.0,4승1무5패,3승,22-0-8,17-3-12,일,SSG,한화,문학,15128,17:00,21:15,4:15,전영준,남지민,문학
2022-06-21,SSG,1,69,42,24,3,0.636,0.0,6승0무4패,2패,22-0-9,20-3-15,화,SSG,두산,문학,8067,18:30,21:48,3:18,이건욱,이영하,문학
2022-06-22,SSG,1,70,43,24,3,0.642,0.0,6승0무4패,1승,23-0-9,20-3-15,수,SSG,두산,문학,9261,18:30,22:04,3:34,오원석,곽빈,문학
2022-06-24,SSG,1,71,44,24,3,0.647,0.0,6승0무4패,2승,24-0-9,20-3-15,금,SSG,NC,문학,11040,18:30,21:30,3:00,폰트,루친스키,문학
2022-06-25,SSG,1,72,45,24,3,0.652,0.0,6승0무4패,3승,25-0-9,20-3-15,토,SSG,NC,문학,17058,17:00,20:14,3:14,김광현,송명기,문학
2022-06-26,SSG,1,73,46,24,3,0.657,0.0,7승0무3패,4승,26-0-9,20-3-15,일,SSG,NC,문학,13149,17:00,20:26,3:26,이태양,신민혁,문학
2022-07-01,SSG,1,76,48,25,3,0.658,0.0,7승0무3패,2승,27-0-9,21-3-16,금,SSG,KIA,문학,14099,18:29,22:15,3:46,폰트,김도현,문학
2022-07-02,SSG,1,77,49,25,3,0.662,0.0,7승0무3패,3승,28-0-9,21-3-16,토,SSG,KIA,문학,23000,18:00,21:12,3:12,김광현,임기영,문학
2022-07-03,SSG,1,78,50,25,3,0.667,0.0,8승0무2패,4승,29-0-9,21-3-16,일,SSG,KIA,문학,18666,17:00,19:34,2:34,이태양,이의리,문학
2022-07-05,SSG,1,79,51,25,3,0.671,0.0,9승0무1패,5승,30-0-9,21-3-16,화,SSG,롯데,문학,7773,18:30,21:29,2:59,오원석,박세웅,문학
2022-07-06,SSG,1,80,51,26,3,0.662,0.0,8승0무2패,1패,30-0-10,21-3-16,수,SSG,롯데,문학,6859,18:30,22:48,3:09,노경은,이인복,문학
2022-07-07,SSG,1,81,52,26,3,0.667,0.0,8승0무2패,1승,31-0-10,21-3-16,목,SSG,롯데,문학,5866,18:30,21:20,2:50,폰트,김진욱,문학
2022-07-12,SSG,1,85,56,26,3,0.683,0.0,9승0무1패,5승,32-0-10,24-3-16,화,SSG,키움,문학,10985,18:30,22:10,3:40,노경은,요키시,문학
2022-07-14,SSG,1,86,57,26,3,0.687,0.0,9승0무1패,6승,33-0-10,24-3-16,목,SSG,키움,문학,12969,18:30,21:03,2:33,폰트,정찬헌,문학
2022-07-26,SSG,1,89,59,27,3,0.686,0.0,8승0무2패,1패,33-0-11,26-3-16,화,SSG,LG,문학,11063,18:30,21:10,2:40,오원석,플럿코,문학
2022-07-27,SSG,1,90,60,27,3,0.69,0.0,9승0무1패,1승,34-0-11,26-3-16,수,SSG,LG,문학,10070,18:30,21:30,3:00,모리만도,임찬규,문학
2022-07-28,SSG,1,91,61,27,3,0.693,0.0,9승0무1패,2승,35-0-11,26-3-16,목,SSG,LG,문학,15059,18:30,21:11,2:41,김광현,켈리,문학
2022-08-05,SSG,1,98,65,30,3,0.684,0.0,6승0무4패,1패,35-0-12,30-3-18,금,SSG,삼성,문학,11962,18:31,21:41,3:10,폰트,황동재,문학
2022-08-06,SSG,1,99,66,30,3,0.688,0.0,7승0무3패,1승,36-0-12,30-3-18,토,SSG,삼성,문학,18640,18:00,22:44,4:44,박종훈,허윤동,문학
