날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.04.02(토),14:02,17:27,3:25,스탁,김민우,잠실
2022.04.03(일),14:01,16:29,2:28,최원준,킹험,잠실
2022.04.05(화),18:29,21:57,3:28,로니,윤대경,광주
2022.04.06(수),18:30,22:20,3:50,이의리,카펜터,광주
2022.04.07(목),18:29,21:40,3:11,한승혁,박윤철,광주
2022.04.08(금),18:30,22:06,3:36,김민우,쿠에바스,대전
2022.04.09(토),16:59,19:59,3:00,킹험,배제성,대전
2022.04.10(일),13:59,17:10,3:11,한승주,데스파이네,대전
2022.04.12(화),18:30,21:13,2:43,원태인,카펜터,대구
2022.04.13(수),18:30,21:20,2:50,양창섭,김민우,대구
2022.04.14(목),18:30,21:35,3:05,뷰캐넌,박윤철,대구
2022.04.15(금),18:30,21:42,3:12,윤대경,이민호,대전
2022.04.16(토),17:00,20:26,3:26,킹험,켈리,대전
2022.04.17(일),14:00,18:08,4:08,카펜터,임찬규,대전
2022.04.19(화),18:29,22:02,3:33,이인복,김민우,사직
2022.04.20(수),18:30,21:16,2:46,박세웅,박윤철,사직
2022.04.21(목),18:30,22:20,3:50,김진욱,윤대경,사직
2022.04.22(금),18:30,21:37,3:07,장민재,노경은,대전
2022.04.23(토),16:59,19:58,2:59,남지민,노바,대전
2022.04.24(일),13:59,17:28,3:29,김민우,오원석,대전
2022.04.26(화),18:29,21:21,2:52,박윤철,안우진,대전
2022.04.27(수),18:29,21:30,3:01,윤대경,요키시,대전
2022.04.28(목),18:29,21:29,3:00,장민재,애플러,대전
2022.04.29(금),18:30,21:56,3:26,송명기,남지민,창원
2022.04.30(토),17:00,20:31,3:31,이재학,김민우,창원
2022.05.01(일),14:00,17:13,3:13,루친스키,박윤철,창원
2022.05.03(화),18:30,21:40,3:10,김광현,윤대경,문학
2022.05.04(수),18:31,21:59,3:28,이태양,장민재,문학
2022.05.05(목),14:00,17:08,3:08,노바,남지민,문학
2022.05.06(금),18:29,21:25,2:56,김민우,한승혁,대전
2022.05.07(토),17:00,20:13,3:13,박윤철,양현종,대전
2022.05.08(일),14:00,17:19,3:19,윤대경,놀린,대전
2022.05.10(화),18:30,21:41,3:11,이민호,장민재,잠실
2022.05.11(수),18:30,22:13,3:43,켈리,남지민,잠실
2022.05.12(목),18:30,22:14,3:44,배재준,김민우,잠실
2022.05.13(금),18:29,21:29,3:00,박윤철,반즈,대전
2022.05.14(토),17:00,20:25,3:25,윤대경,김진욱,대전
2022.05.15(일),14:00,17:01,3:01,장민재,박세웅,대전
2022.05.17(화),18:29,21:32,3:03,이민우,백정현,대전
