날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.04.02(토),14:00,16:49,2:49,양현종,플럿코,광주
2022.04.03(일),14:00,17:26,3:26,놀린,이민호,광주
2022.04.05(화),18:29,21:57,3:28,로니,윤대경,광주
2022.04.06(수),18:30,22:20,3:50,이의리,카펜터,광주
2022.04.07(목),18:29,21:40,3:11,한승혁,박윤철,광주
2022.04.08(금),18:31,21:12,2:41,폰트,양현종,문학
2022.04.09(토),17:00,19:35,2:35,김광현,이민우,문학
2022.04.10(일),14:00,16:57,2:57,노경은,로니,문학
2022.04.12(화),18:32,21:44,3:12,이의리,반즈,광주
2022.04.14(목),18:30,22:00,3:30,양현종,박세웅,광주
2022.04.15(금),18:29,21:32,3:03,파슨스,놀린,창원
2022.04.16(토),17:00,19:57,2:57,신민혁,로니,창원
2022.04.17(일),13:59,17:28,3:29,송명기,이의리,창원
2022.04.19(화),18:29,22:10,3:41,한승혁,곽빈,광주
2022.04.20(수),18:30,21:56,3:26,양현종,스탁,광주
2022.04.21(목),18:30,21:18,2:48,놀린,최원준,광주
2022.04.22(금),18:30,21:47,3:17,요키시,로니,고척
2022.04.23(토),14:00,16:49,2:49,최원태,이의리,고척
2022.04.24(일),14:00,16:55,2:55,한현희,한승혁,고척
2022.04.26(화),18:31,21:49,3:18,데스파이네,양현종,수원
2022.04.27(수),18:30,21:06,2:36,소형준,놀린,수원
2022.04.28(목),18:31,21:14,2:43,배제성,임기영,수원
2022.04.29(금),18:31,22:06,3:35,이의리,황동재,광주
2022.04.30(토),14:00,17:27,3:27,한승혁,원태인,광주
2022.05.01(일),14:00,16:57,2:57,양현종,뷰캐넌,광주
2022.05.03(화),18:30,20:58,2:28,놀린,요키시,광주
2022.05.04(수),18:30,22:14,3:44,임기영,애플러,광주
2022.05.05(목),14:00,16:46,2:46,이의리,김선기,광주
2022.05.06(금),18:29,21:25,2:56,김민우,한승혁,대전
2022.05.07(토),17:00,20:13,3:13,박윤철,양현종,대전
2022.05.08(일),14:00,17:19,3:19,윤대경,놀린,대전
2022.05.10(화),18:30,21:10,2:40,임기영,배제성,광주
2022.05.11(수),18:30,21:46,3:16,이의리,엄상백,광주
2022.05.12(목),18:30,21:35,3:05,한승혁,데스파이네,광주
2022.05.13(금),18:30,22:11,3:41,임찬규,양현종,잠실
2022.05.14(토),17:00,19:48,2:48,플럿코,놀린,잠실
2022.05.15(일),14:02,17:10,3:08,이민호,임기영,잠실
2022.05.17(화),18:30,21:35,3:05,스파크맨,이의리,사직
2022.05.18(수),18:31,22:29,3:58,반즈,한승혁,사직
2022.05.19(목),18:30,21:15,2:45,이인복,양현종,사직
2022.05.20(금),18:30,21:18,2:48,놀린,이재학,광주
2022.05.21(토),17:00,20:31,3:31,임기영,김시훈,광주
2022.05.22(일),14:00,16:55,2:55,이의리,송명기,광주
2022.05.24(화),18:31,21:30,2:59,황동재,한승혁,대구
2022.05.25(수),18:31,22:01,3:30,원태인,양현종,대구
