날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.04.02(토),14:00,17:12,3:12,안우진,반즈,고척
2022.04.03(일),14:00,17:55,3:55,요키시,박세웅,고척
2022.04.05(화),18:30,21:34,3:04,애플러,임찬규,고척
2022.04.06(수),18:30,22:13,3:43,최원태,손주영,고척
2022.04.07(목),18:30,21:01,2:31,정찬헌,김윤식,고척
2022.04.08(금),18:30,21:07,2:37,뷰캐넌,안우진,대구
2022.04.09(토),17:00,19:49,2:49,수아레즈,요키시,대구
2022.04.10(일),14:00,16:51,2:51,백정현,애플러,대구
2022.04.12(화),18:29,21:16,2:47,최원태,송명기,고척
2022.04.13(수),18:30,23:16,4:46,정찬헌,이재학,고척
2022.04.14(목),18:30,21:17,2:47,안우진,루친스키,고척
2022.04.15(금),18:30,21:28,2:58,최원준,애플러,잠실
2022.04.16(토),17:01,20:11,3:10,이영하,요키시,잠실
2022.04.17(일),14:01,17:41,3:40,미란다,최원태,잠실
2022.04.19(화),18:30,21:58,3:28,오원석,정찬헌,문학
2022.04.20(수),18:31,20:59,2:28,폰트,안우진,문학
2022.04.21(목),18:30,21:13,2:43,김광현,애플러,문학
2022.04.22(금),18:30,21:47,3:17,요키시,로니,고척
2022.04.23(토),14:00,16:49,2:49,최원태,이의리,고척
2022.04.24(일),14:00,16:55,2:55,한현희,한승혁,고척
2022.04.26(화),18:29,21:21,2:52,박윤철,안우진,대전
2022.04.27(수),18:29,21:30,3:01,윤대경,요키시,대전
2022.04.28(목),18:29,21:29,3:00,장민재,애플러,대전
2022.04.29(금),18:29,21:46,3:17,최원태,엄상백,고척
2022.04.30(토),17:00,19:57,2:57,정찬헌,고영표,고척
2022.05.01(일),14:00,17:26,3:26,안우진,데스파이네,고척
2022.05.03(화),18:30,20:58,2:28,놀린,요키시,광주
2022.05.04(수),18:30,22:14,3:44,임기영,애플러,광주
2022.05.05(목),14:00,16:46,2:46,이의리,김선기,광주
2022.05.06(금),18:30,21:24,2:54,정찬헌,오원석,고척
2022.05.07(토),17:00,19:45,2:45,안우진,폰트,고척
2022.05.08(일),14:00,17:01,3:01,요키시,김광현,고척
2022.05.10(화),18:30,21:53,3:23,애플러,이영하,고척
2022.05.11(수),18:30,21:30,3:00,최원태,최승용,고척
2022.05.12(목),18:30,21:47,3:17,정찬헌,박신지,고척
2022.05.13(금),18:30,21:42,3:12,고영표,안우진,수원
2022.05.14(토),17:00,19:33,2:33,소형준,요키시,수원
2022.05.15(일),14:00,18:23,4:23,배제성,애플러,수원
2022.05.17(화),18:31,22:10,3:39,송명기,최원태,창원
2022.05.18(수),18:31,22:05,3:34,신민혁,정찬헌,창원
2022.05.19(목),18:32,21:53,3:21,루친스키,안우진,창원
2022.05.20(금),18:30,21:04,2:34,요키시,윤대경,고척
2022.05.21(토),17:01,19:52,2:51,애플러,장민재,고척
2022.05.22(일),13:59,17:14,3:15,최원태,이민우,고척
2022.05.24(화),18:30,21:49,3:19,김윤식,정찬헌,잠실
2022.05.25(수),18:30,21:39,3:09,임찬규,안우진,잠실
2022.05.26(목),18:30,21:42,3:12,플럿코,요키시,잠실
2022.05.27(금),18:31,21:12,2:41,박세웅,애플러,사직
2022.05.28(토),14:00,17:13,3:13,스파크맨,최원태,사직
2022.05.29(일),14:00,16:30,2:30,반즈,한현희,사직
2022.05.31(화),18:30,21:24,2:54,안우진,원태인,고척
2022.06.01(수),17:00,20:05,3:05,요키시,뷰캐넌,고척
2022.06.02(목),18:30,22:14,3:44,애플러,수아레즈,고척
2022.06.03(금),18:29,21:45,3:16,이민우,최원태,대전
2022.06.04(토),16:59,20:43,3:44,김민우,정찬헌,대전
2022.06.07(화),18:30,21:46,3:16,한현희,심재민,고척
2022.06.08(수),18:30,22:41,4:11,요키시,소형준,고척
2022.06.09(목),18:33,21:20,2:47,애플러,벤자민,고척
2022.06.10(금),18:30,22:27,3:57,이의리,최원태,광주
2022.06.11(토),16:59,19:44,2:45,양현종,안우진,광주
2022.06.12(일),17:00,20:39,3:39,한승혁,정찬헌,광주
2022.06.14(화),18:30,21:28,2:58,요키시,박신지,고척
2022.06.15(수),18:30,21:42,3:12,애플러,이영하,고척
2022.06.16(목),18:29,22:07,3:38,최원태,곽빈,고척
2022.06.17(금),18:30,22:21,3:51,안우진,김윤식,고척
2022.06.18(토),14:00,16:53,2:53,한현희,임찬규,고척
2022.06.19(일),14:01,17:10,3:09,요키시,플럿코,고척
2022.06.21(화),18:30,21:57,3:27,허윤동,애플러,대구
2022.06.22(수),18:31,21:37,3:06,백정현,최원태,대구
2022.06.23(목),18:31,21:07,2:36,원태인,안우진,대구
2022.06.24(금),18:30,21:40,3:10,이인복,한현희,사직
2022.06.25(토),17:01,20:47,3:46,김진욱,정찬헌,사직
2022.06.26(일),17:00,20:44,3:44,반즈,애플러,사직
2022.06.28(화),18:30,21:29,2:59,최원태,이의리,고척
2022.06.29(수),18:30,21:22,2:52,안우진,양현종,고척
2022.06.30(목),18:30,21:44,3:14,요키시,한승혁,고척
2022.07.01(금),18:30,21:53,3:23,한현희,장민재,고척
2022.07.02(토),14:00,16:39,2:39,정찬헌,김민우,고척
2022.07.03(일),14:00,16:55,2:55,최원태,페냐,고척
2022.07.05(화),18:31,21:54,3:23,이영하,안우진,잠실
2022.07.06(수),18:31,21:28,2:57,곽빈,요키시,잠실
2022.07.07(목),18:30,21:56,3:26,스탁,애플러,잠실
2022.07.08(금),18:30,21:26,2:56,한현희,루친스키,고척
2022.07.09(토),14:00,17:11,3:11,최원태,송명기,고척
2022.07.10(일),14:00,16:37,2:37,안우진,구창모,고척
2022.07.12(화),18:30,22:10,3:40,노경은,요키시,문학
2022.07.14(목),18:30,21:03,2:33,폰트,정찬헌,문학
2022.07.22(금),18:30,22:17,3:47,안우진,원태인,고척
2022.07.23(토),14:00,16:47,2:47,요키시,뷰캐넌,고척
2022.07.24(일),14:00,17:11,3:11,애플러,허윤동,고척
2022.07.26(화),18:30,22:26,3:56,데스파이네,한현희,수원
2022.07.27(수),18:30,21:51,3:21,엄상백,정찬헌,수원
2022.07.28(목),18:30,21:05,2:35,벤자민,안우진,수원
2022.07.29(금),18:30,21:39,3:09,송명기,요키시,창원
2022.07.30(토),18:00,22:41,4:41,루친스키,최원태,창원
2022.08.02(화),18:30,21:52,3:22,정찬헌,모리만도,고척
2022.08.03(수),18:30,21:17,2:47,안우진,김광현,고척
2022.08.04(목),18:30,22:10,3:40,요키시,이태양,고척
2022.08.05(금),18:31,22:25,3:54,켈리,최원태,잠실
2022.08.06(토),18:00,21:25,3:25,이민호,한현희,잠실
2022.08.07(일),17:00,20:05,3:05,플럿코,애플러,잠실
2022.08.10(수),18:30,21:24,2:54,안우진,스트레일리,고척
2022.08.11(목),18:30,21:13,2:43,요키시,반즈,고척
2022.08.12(금),18:30,21:39,3:09,최원태,박세웅,고척
2022.08.13(토),18:00,21:41,3:41,남지민,애플러,대전
2022.08.14(일),17:00,21:14,4:14,페냐,정찬헌,대전
2022.08.16(화),18:31,21:36,3:05,데스파이네,안우진,수원
2022.08.17(수),18:30,21:33,3:03,벤자민,요키시,수원
2022.08.18(목),18:29,21:30,3:01,브랜든,최원태,잠실
2022.08.20(토),14:00,17:52,3:52,정찬헌,박종훈,고척
2022.08.21(일),14:00,16:58,2:58,안우진,모리만도,고척
2022.08.23(화),18:31,21:47,3:16,요키시,파노니,고척
2022.08.24(수),18:30,22:32,4:02,윤정현,양현종,고척
2022.08.25(목),18:30,22:53,4:23,송명기,애플러,창원
2022.08.26(금),18:30,21:39,3:09,더모디,김선기,창원
2022.08.27(토),18:00,20:51,2:51,임찬규,안우진,잠실
2022.08.28(일),17:00,19:56,2:56,플럿코,요키시,잠실
2022.08.30(화),18:30,21:54,3:24,윤정현,반즈,고척
2022.08.31(수),18:30,21:51,3:21,애플러,박세웅,고척
2022.09.01(목),18:30,21:27,2:57,안우진,장민재,고척
2022.09.02(금),18:30,21:43,3:13,요키시,페냐,고척
2022.09.03(토),17:00,19:54,2:54,오원석,한현희,문학
2022.09.06(화),18:30,21:38,3:08,뷰캐넌,애플러,대구
2022.09.07(수),18:29,21:17,2:48,수아레즈,주승우,대구
2022.09.08(목),18:30,21:20,2:50,요키시,임찬규,고척
2022.09.09(금),14:00,17:34,3:34,한현희,김윤식,고척
2022.09.10(토),17:00,20:13,3:13,정찬헌,벤자민,고척
2022.09.11(일),14:00,16:50,2:50,애플러,고영표,고척
2022.09.13(화),18:34,21:43,3:09,이의리,안우진,광주
2022.09.14(수),18:31,20:42,2:11,놀린,요키시,광주
2022.09.15(목),18:30,21:31,3:01,이인복,한현희,사직
2022.09.16(금),18:30,22:38,4:08,반즈,정찬헌,사직
2022.09.17(토),17:00,20:21,3:21,애플러,루친스키,고척
2022.09.18(일),14:00,16:53,2:53,안우진,김태경,고척
2022.09.20(화),18:30,21:47,3:17,요키시,원태인,고척
2022.09.21(수),18:30,21:57,3:27,한현희,백정현,고척
2022.09.22(목),18:30,22:12,3:42,정찬헌,최승용,고척
2022.09.23(금),18:30,21:46,3:16,애플러,브랜든,고척
2022.09.24(토),17:00,20:21,3:21,안우진,박세웅,고척
2022.09.27(화),18:29,22:17,3:48,신민혁,요키시,창원
2022.09.29(목),18:30,22:58,4:28,김광현,한현희,문학
2022.09.30(금),18:29,22:57,4:28,폰트,안우진,문학
2022.10.06(목),18:30,22:43,4:13,김민우,요키시,대전
2022.10.08(토),17:01,19:54,2:53,최원준,안우진,잠실
2023.04.01(토),14:01,17:56,3:55,안우진,스미스,고척
2023.04.02(일),14:00,17:36,3:36,요키시,김민우,고척
2023.04.04(화),18:30,21:33,3:03,후라도,플럿코,고척
2023.04.05(수),18:30,21:40,3:10,최원태,이민호,고척
2023.04.06(목),18:31,21:45,3:14,장재영,강효종,고척
2023.04.07(금),18:30,20:49,2:19,페디,안우진,창원
2023.04.08(토),17:00,20:41,3:41,구창모,요키시,창원
2023.04.09(일),13:59,16:53,2:54,송명기,후라도,창원
2023.04.11(화),18:30,21:46,3:16,최승용,최원태,잠실
2023.04.13(목),18:31,22:06,3:35,김동주,안우진,잠실
2023.04.14(금),18:31,21:22,2:51,요키시,메디나,고척
2023.04.15(토),17:00,19:56,2:56,후라도,윤영철,고척
2023.04.16(일),14:00,16:48,2:48,최원태,양현종,고척
2023.04.18(화),18:30,21:22,2:52,장재영,백정현,고척
2023.04.19(수),18:30,22:50,4:20,안우진,이재희,고척
