날짜,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적,요일,원정팀,관중 수,시작시간,종료시간,경기시간,휴일유무
2022-04-02,6,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-1,0-0-0,토,롯데,8257,14:00,17:12,3:12,휴일
2022-04-03,4,2,1,1,0,0.5,1.0,1승0무1패,1승,1-0-1,0-0-0,일,롯데,6115,14:00,17:55,3:55,휴일
2022-04-05,6,3,1,2,0,0.333,2.0,1승0무2패,1패,1-0-2,0-0-0,화,LG,2298,18:30,21:34,3:04,평일
2022-04-06,7,4,1,3,0,0.25,3.0,1승0무3패,2패,1-0-3,0-0-0,수,LG,2304,18:30,22:13,3:43,평일
2022-04-07,7,5,1,4,0,0.2,4.0,1승0무4패,3패,1-0-4,0-0-0,목,LG,2055,18:30,21:01,2:31,평일
2022-04-12,4,9,5,4,0,0.556,4.0,5승0무4패,4승,2-0-4,3-0-0,화,NC,774,18:30,21:16,2:47,평일
2022-04-13,4,10,6,4,0,0.6,4.0,6승0무4패,5승,3-0-4,3-0-0,수,NC,893,18:30,23:16,4:46,평일
2022-04-14,4,11,7,4,0,0.636,3.0,7승0무3패,6승,4-0-4,3-0-0,목,NC,1020,18:30,21:17,2:47,평일
2022-04-22,4,18,10,8,0,0.556,5.0,6승0무4패,3패,4-0-5,6-0-3,금,KIA,4289,18:30,21:47,3:17,평일
2022-04-23,3,19,11,8,0,0.579,4.0,6승0무4패,1승,5-0-5,6-0-3,토,KIA,8338,14:00,16:49,2:49,휴일
2022-04-24,5,20,11,9,0,0.55,5.0,5승0무5패,1패,5-0-6,6-0-3,일,KIA,7406,14:00,16:55,2:55,휴일
2022-04-29,5,24,13,11,0,0.542,5.5,4승0무6패,1패,5-0-7,8-0-4,금,KT,1770,18:30,21:46,3:17,평일
2022-04-30,3,25,14,11,0,0.56,5.5,4승0무6패,1승,6-0-7,8-0-4,토,KT,4075,17:00,19:57,2:57,휴일
2022-05-01,3,26,15,11,0,0.577,4.5,5승0무5패,2승,7-0-7,8-0-4,일,KT,3213,14:00,17:26,3:26,휴일
2022-05-06,3,30,17,13,0,0.567,4.5,6승0무4패,1승,8-0-7,9-0-6,금,SSG,4627,18:30,21:24,2:54,평일
2022-05-07,4,31,17,14,0,0.548,5.5,6승0무4패,1패,8-0-8,9-0-6,토,SSG,5637,17:00,19:45,2:45,휴일
2022-05-08,5,32,17,15,0,0.531,6.5,5승0무5패,2패,8-0-9,9-0-6,일,SSG,4765,14:00,17:01,3:01,휴일
2022-05-10,5,33,17,16,0,0.515,7.5,4승0무6패,3패,8-0-10,9-0-6,화,두산,3564,18:30,21:53,3:23,평일
2022-05-11,5,34,17,17,0,0.5,7.5,4승0무6패,4패,8-0-11,9-0-6,수,두산,2641,18:30,21:30,3:00,평일
2022-05-12,7,35,17,18,0,0.486,7.5,3승0무7패,5패,8-0-12,9-0-6,목,두산,2649,18:30,21:47,3:17,평일
2022-05-20,3,42,23,19,0,0.548,6.0,6승0무4패,2승,9-0-12,14-0-7,금,한화,3080,18:30,21:04,2:34,평일
2022-05-21,3,43,24,19,0,0.558,5.0,7승0무3패,3승,10-0-12,14-0-7,토,한화,6689,17:00,19:52,2:51,휴일
2022-05-22,3,44,24,20,0,0.545,6.0,7승0무3패,1패,10-0-13,14-0-7,일,한화,5330,14:00,17:14,3:15,휴일
2022-05-31,2,51,31,20,0,0.608,4.0,9승0무1패,7승,11-0-13,20-0-7,화,삼성,4100,18:30,21:24,2:54,평일
2022-06-01,2,52,31,21,0,0.596,5.0,8승0무2패,1패,11-0-14,20-0-7,수,삼성,7181,17:00,20:05,3:05,휴일
2022-06-02,2,53,32,21,0,0.604,4.0,8승0무2패,1승,12-0-14,20-0-7,목,삼성,2477,18:30,22:14,3:44,평일
2022-06-07,2,56,34,22,0,0.607,2.5,8승0무2패,2승,13-0-14,21-0-8,화,KT,1904,18:30,21:46,3:16,평일
2022-06-08,2,57,34,22,1,0.607,2.5,7승1무2패,2승,13-1-14,21-0-8,수,KT,1342,18:30,22:41,4:11,평일
2022-06-09,2,58,34,23,1,0.596,2.5,6승1무3패,1패,13-1-15,21-0-8,목,KT,1414,18:30,21:20,2:47,평일
2022-06-14,2,62,37,24,1,0.607,2.5,6승1무3패,2승,14-1-15,23-0-9,화,두산,2536,18:30,21:28,2:58,평일
2022-06-15,2,63,37,25,1,0.597,2.5,5승1무4패,1패,14-1-16,23-0-9,수,두산,2062,18:30,21:42,3:12,평일
2022-06-16,2,64,38,25,1,0.603,2.5,6승1무3패,1승,15-1-16,23-0-9,목,두산,2349,18:30,22:07,3:38,평일
2022-06-17,2,65,38,26,1,0.594,3.5,5승1무4패,1패,15-1-17,23-0-9,금,LG,4608,18:30,22:21,3:51,평일
2022-06-18,2,66,39,26,1,0.6,3.5,5승1무4패,1승,16-1-17,23-0-9,토,LG,8705,14:00,16:53,2:53,휴일
2022-06-19,2,67,39,27,1,0.591,3.5,5승0무5패,1패,16-1-18,23-0-9,일,LG,7849,14:00,17:10,3:09,휴일
2022-06-28,2,74,45,28,1,0.616,2.0,7승0무3패,3승,17-1-18,28-0-10,화,KIA,7388,18:30,21:29,2:59,평일
2022-06-29,2,75,46,28,1,0.622,2.0,8승0무2패,4승,18-1-18,28-0-10,수,KIA,7941,18:30,21:22,2:52,평일
2022-06-30,2,76,47,28,1,0.627,1.5,8승0무2패,5승,19-1-18,28-0-10,목,KIA,7165,18:30,21:44,3:14,평일
2022-07-01,2,77,48,28,1,0.632,1.5,9승0무1패,6승,20-1-18,28-0-10,금,한화,3238,18:30,21:53,3:23,평일
2022-07-02,2,78,49,28,1,0.636,1.5,9승0무1패,7승,21-1-18,28-0-10,토,한화,6692,14:00,16:39,2:39,휴일
2022-07-03,2,79,50,28,1,0.641,1.5,9승0무1패,8승,22-1-18,28-0-10,일,한화,5952,14:00,16:55,2:55,휴일
