,날짜,요일,홈팀,원정팀,장소,관중 수,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
0,2022-04-02,토,키움,롯데,고척,8257,14:00,17:12,3:12,안우진,반즈,고척
1,2022-04-03,일,키움,롯데,고척,6115,14:00,17:55,3:55,요키시,박세웅,고척
2,2022-04-05,화,키움,LG,고척,2298,18:30,21:34,3:04,애플러,임찬규,고척
3,2022-04-06,수,키움,LG,고척,2304,18:30,22:13,3:43,최원태,손주영,고척
4,2022-04-07,목,키움,LG,고척,2055,18:30,21:01,2:31,정찬헌,김윤식,고척
5,2022-04-12,화,키움,NC,고척,774,18:29,21:16,2:47,최원태,송명기,고척
6,2022-04-13,수,키움,NC,고척,893,18:30,23:16,4:46,정찬헌,이재학,고척
7,2022-04-14,목,키움,NC,고척,1020,18:30,21:17,2:47,안우진,루친스키,고척
8,2022-04-22,금,키움,KIA,고척,4289,18:30,21:47,3:17,요키시,로니,고척
9,2022-04-23,토,키움,KIA,고척,8338,14:00,16:49,2:49,최원태,이의리,고척
10,2022-04-24,일,키움,KIA,고척,7406,14:00,16:55,2:55,한현희,한승혁,고척
11,2022-04-29,금,키움,KT,고척,1770,18:29,21:46,3:17,최원태,엄상백,고척
12,2022-04-30,토,키움,KT,고척,4075,17:00,19:57,2:57,정찬헌,고영표,고척
13,2022-05-01,일,키움,KT,고척,3213,14:00,17:26,3:26,안우진,데스파이네,고척
14,2022-05-06,금,키움,SSG,고척,4627,18:30,21:24,2:54,정찬헌,오원석,고척
15,2022-05-07,토,키움,SSG,고척,5637,17:00,19:45,2:45,안우진,폰트,고척
16,2022-05-08,일,키움,SSG,고척,4765,14:00,17:01,3:01,요키시,김광현,고척
17,2022-05-10,화,키움,두산,고척,3564,18:30,21:53,3:23,애플러,이영하,고척
18,2022-05-11,수,키움,두산,고척,2641,18:30,21:30,3:00,최원태,최승용,고척
19,2022-05-12,목,키움,두산,고척,2649,18:30,21:47,3:17,정찬헌,박신지,고척
20,2022-05-20,금,키움,한화,고척,3080,18:30,21:04,2:34,요키시,윤대경,고척
21,2022-05-21,토,키움,한화,고척,6689,17:01,19:52,2:51,애플러,장민재,고척
22,2022-05-22,일,키움,한화,고척,5330,13:59,17:14,3:15,최원태,이민우,고척
23,2022-05-31,화,키움,삼성,고척,4100,18:30,21:24,2:54,안우진,원태인,고척
24,2022-06-01,수,키움,삼성,고척,7181,17:00,20:05,3:05,요키시,뷰캐넌,고척
25,2022-06-02,목,키움,삼성,고척,2477,18:30,22:14,3:44,애플러,수아레즈,고척
26,2022-06-07,화,키움,KT,고척,1904,18:30,21:46,3:16,한현희,심재민,고척
27,2022-06-08,수,키움,KT,고척,1342,18:30,22:41,4:11,요키시,소형준,고척
28,2022-06-09,목,키움,KT,고척,1414,18:33,21:20,2:47,애플러,벤자민,고척
29,2022-06-14,화,키움,두산,고척,2536,18:30,21:28,2:58,요키시,박신지,고척
30,2022-06-15,수,키움,두산,고척,2062,18:30,21:42,3:12,애플러,이영하,고척
31,2022-06-16,목,키움,두산,고척,2349,18:29,22:07,3:38,최원태,곽빈,고척
32,2022-06-17,금,키움,LG,고척,4608,18:30,22:21,3:51,안우진,김윤식,고척
33,2022-06-18,토,키움,LG,고척,8705,14:00,16:53,2:53,한현희,임찬규,고척
34,2022-06-19,일,키움,LG,고척,7849,14:01,17:10,3:09,요키시,플럿코,고척
35,2022-06-28,화,키움,KIA,고척,7388,18:30,21:29,2:59,최원태,이의리,고척
36,2022-06-29,수,키움,KIA,고척,7941,18:30,21:22,2:52,안우진,양현종,고척
37,2022-06-30,목,키움,KIA,고척,7165,18:30,21:44,3:14,요키시,한승혁,고척
38,2022-07-01,금,키움,한화,고척,3238,18:30,21:53,3:23,한현희,장민재,고척
39,2022-07-02,토,키움,한화,고척,6692,14:00,16:39,2:39,정찬헌,김민우,고척
40,2022-07-03,일,키움,한화,고척,5952,14:00,16:55,2:55,최원태,페냐,고척
41,2022-07-08,금,키움,NC,고척,2500,18:30,21:26,2:56,한현희,루친스키,고척
42,2022-07-09,토,키움,NC,고척,4459,14:00,17:11,3:11,최원태,송명기,고척
43,2022-07-10,일,키움,NC,고척,4419,14:00,16:37,2:37,안우진,구창모,고척
44,2022-07-22,금,키움,삼성,고척,4776,18:30,22:17,3:47,안우진,원태인,고척
45,2022-07-23,토,키움,삼성,고척,7057,14:00,16:47,2:47,요키시,뷰캐넌,고척
46,2022-07-24,일,키움,삼성,고척,6897,14:00,17:11,3:11,애플러,허윤동,고척
47,2022-08-02,화,키움,SSG,고척,6941,18:30,21:52,3:22,정찬헌,모리만도,고척
48,2022-08-03,수,키움,SSG,고척,7573,18:30,21:17,2:47,안우진,김광현,고척
49,2022-08-04,목,키움,SSG,고척,6064,18:30,22:10,3:40,요키시,이태양,고척
50,2022-08-10,수,키움,롯데,고척,4352,18:30,21:24,2:54,안우진,스트레일리,고척
