날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적,요일,홈팀,원정팀,장소,관중 수,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022-04-02,키움,6,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-1,0-0-0,토,키움,롯데,고척,8257,14:00,17:12,3:12,안우진,반즈,고척
2022-04-03,키움,4,2,1,1,0,0.5,1.0,1승0무1패,1승,1-0-1,0-0-0,일,키움,롯데,고척,6115,14:00,17:55,3:55,요키시,박세웅,고척
2022-04-05,키움,6,3,1,2,0,0.333,2.0,1승0무2패,1패,1-0-2,0-0-0,화,키움,LG,고척,2298,18:30,21:34,3:04,애플러,임찬규,고척
2022-04-06,키움,7,4,1,3,0,0.25,3.0,1승0무3패,2패,1-0-3,0-0-0,수,키움,LG,고척,2304,18:30,22:13,3:43,최원태,손주영,고척
2022-04-07,키움,7,5,1,4,0,0.2,4.0,1승0무4패,3패,1-0-4,0-0-0,목,키움,LG,고척,2055,18:30,21:01,2:31,정찬헌,김윤식,고척
2022-04-12,키움,4,9,5,4,0,0.556,4.0,5승0무4패,4승,2-0-4,3-0-0,화,키움,NC,고척,774,18:29,21:16,2:47,최원태,송명기,고척
2022-04-13,키움,4,10,6,4,0,0.6,4.0,6승0무4패,5승,3-0-4,3-0-0,수,키움,NC,고척,893,18:30,23:16,4:46,정찬헌,이재학,고척
2022-04-14,키움,4,11,7,4,0,0.636,3.0,7승0무3패,6승,4-0-4,3-0-0,목,키움,NC,고척,1020,18:30,21:17,2:47,안우진,루친스키,고척
2022-04-22,키움,4,18,10,8,0,0.556,5.0,6승0무4패,3패,4-0-5,6-0-3,금,키움,KIA,고척,4289,18:30,21:47,3:17,요키시,로니,고척
2022-04-23,키움,3,19,11,8,0,0.579,4.0,6승0무4패,1승,5-0-5,6-0-3,토,키움,KIA,고척,8338,14:00,16:49,2:49,최원태,이의리,고척
2022-04-24,키움,5,20,11,9,0,0.55,5.0,5승0무5패,1패,5-0-6,6-0-3,일,키움,KIA,고척,7406,14:00,16:55,2:55,한현희,한승혁,고척
2022-04-29,키움,5,24,13,11,0,0.542,5.5,4승0무6패,1패,5-0-7,8-0-4,금,키움,KT,고척,1770,18:29,21:46,3:17,최원태,엄상백,고척
2022-04-30,키움,3,25,14,11,0,0.56,5.5,4승0무6패,1승,6-0-7,8-0-4,토,키움,KT,고척,4075,17:00,19:57,2:57,정찬헌,고영표,고척
