날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.04.02(토),13:59,16:40,2:41,쿠에바스,뷰캐넌,구장 : 수원
2022.04.03(일),13:59,17:20,3:21,배제성,수아레즈,구장 : 수원
2022.04.05(화),18:31,21:29,2:58,데스파이네,노바,구장 : 수원
2022.04.06(수),18:30,20:52,2:22,고영표,오원석,구장 : 수원
2022.04.07(목),18:31,21:19,2:48,소형준,이태양,구장 : 수원
2022.04.08(금),18:30,22:06,3:36,김민우,쿠에바스,구장 : 대전
2022.04.09(토),16:59,19:59,3:00,킹험,배제성,구장 : 대전
2022.04.10(일),13:59,17:10,3:11,한승주,데스파이네,구장 : 대전
2022.04.12(화),18:31,21:42,3:11,고영표,곽빈,구장 : 수원
2022.04.14(목),18:30,22:06,3:36,소형준,스탁,구장 : 수원
2022.04.15(금),18:30,22:02,3:32,김진욱,배제성,구장 : 사직
2022.04.16(토),17:00,20:02,3:02,스파크맨,데스파이네,구장 : 사직
2022.04.17(일),14:00,16:36,2:36,반즈,엄상백,구장 : 사직
2022.04.19(화),18:30,21:19,2:49,김윤식,고영표,구장 : 잠실
2022.04.20(수),18:30,21:25,2:55,플럿코,소형준,구장 : 잠실
2022.04.21(목),18:30,21:56,3:26,손주영,데스파이네,구장 : 잠실
2022.04.22(금),18:30,21:39,3:09,배제성,신민혁,구장 : 수원
2022.04.23(토),17:00,19:36,2:36,엄상백,송명기,구장 : 수원
2022.04.24(일),13:59,17:38,3:39,고영표,김태경,구장 : 수원
2022.04.26(화),18:31,21:49,3:18,데스파이네,양현종,구장 : 수원
2022.04.27(수),18:30,21:06,2:36,소형준,놀린,구장 : 수원
2022.04.28(목),18:31,21:14,2:43,배제성,임기영,구장 : 수원
2022.04.29(금),18:29,21:46,3:17,최원태,엄상백,구장 : 고척
2022.04.30(토),17:00,19:57,2:57,정찬헌,고영표,구장 : 고척
2022.05.01(일),14:00,17:26,3:26,안우진,데스파이네,구장 : 고척
2022.05.03(화),18:30,21:56,3:26,소형준,반즈,구장 : 수원
2022.05.04(수),18:30,21:19,2:49,배제성,박세웅,구장 : 수원
2022.05.05(목),14:00,17:12,3:12,엄상백,스파크맨,구장 : 수원
2022.05.06(금),18:30,21:25,2:55,곽빈,고영표,구장 : 잠실
2022.05.07(토),17:01,21:17,4:16,스탁,데스파이네,구장 : 잠실
2022.05.08(일),14:00,17:21,3:21,최원준,소형준,구장 : 잠실
2022.05.10(화),18:30,21:10,2:40,임기영,배제성,구장 : 광주
2022.05.11(수),18:30,21:46,3:16,이의리,엄상백,구장 : 광주
2022.05.12(목),18:30,21:35,3:05,한승혁,데스파이네,구장 : 광주
2022.05.13(금),18:30,21:42,3:12,고영표,안우진,구장 : 수원
2022.05.14(토),17:00,19:33,2:33,소형준,요키시,구장 : 수원
2022.05.15(일),14:00,18:23,4:23,배제성,애플러,구장 : 수원
2022.05.17(화),18:30,21:41,3:11,데스파이네,켈리,구장 : 수원
2022.05.18(수),18:30,21:55,3:25,엄상백,김윤식,구장 : 수원
2022.05.19(목),18:30,21:52,3:22,고영표,임찬규,구장 : 수원
2022.05.20(금),18:30,21:08,2:38,뷰캐넌,소형준,구장 : 대구
2022.05.21(토),17:01,21:26,4:25,수아레즈,배제성,구장 : 대구
2022.05.22(일),14:00,17:05,3:05,백정현,데스파이네,구장 : 대구
2022.05.24(화),18:31,21:44,3:13,신민혁,엄상백,구장 : 창원
2022.05.25(수),18:31,21:11,2:40,루친스키,고영표,구장 : 창원
2022.05.26(목),18:31,21:53,3:22,이재학,소형준,구장 : 창원
