날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.04.02(토),14:00,16:49,2:49,양현종,플럿코,구장 : 광주
2022.04.03(일),14:00,17:26,3:26,놀린,이민호,구장 : 광주
2022.04.05(화),18:30,21:34,3:04,애플러,임찬규,구장 : 고척
2022.04.06(수),18:30,22:13,3:43,최원태,손주영,구장 : 고척
2022.04.07(목),18:30,21:01,2:31,정찬헌,김윤식,구장 : 고척
2022.04.08(금),18:30,21:23,2:53,플럿코,루친스키,구장 : 잠실
2022.04.09(토),17:01,20:10,3:09,이민호,파슨스,구장 : 잠실
2022.04.10(일),13:59,17:15,3:16,켈리,신민혁,구장 : 잠실
2022.04.12(화),18:30,20:58,2:28,임찬규,노바,구장 : 잠실
2022.04.13(수),18:30,22:11,3:41,손주영,오원석,구장 : 잠실
2022.04.14(목),18:30,21:20,2:50,플럿코,폰트,구장 : 잠실
2022.04.15(금),18:30,21:42,3:12,윤대경,이민호,구장 : 대전
2022.04.16(토),17:00,20:26,3:26,킹험,켈리,구장 : 대전
2022.04.17(일),14:00,18:08,4:08,카펜터,임찬규,구장 : 대전
2022.04.19(화),18:30,21:19,2:49,김윤식,고영표,구장 : 잠실
2022.04.20(수),18:30,21:25,2:55,플럿코,소형준,구장 : 잠실
2022.04.21(목),18:30,21:56,3:26,손주영,데스파이네,구장 : 잠실
2022.04.22(금),18:30,22:02,3:32,이영하,켈리,구장 : 잠실
2022.04.23(토),17:01,20:02,3:01,미란다,임준형,구장 : 잠실
2022.04.24(일),14:01,17:28,3:27,곽빈,임찬규,구장 : 잠실
2022.04.26(화),18:30,21:32,3:02,뷰캐넌,플럿코,구장 : 대구
2022.04.27(수),18:30,21:32,3:02,수아레즈,이민호,구장 : 대구
2022.04.28(목),18:30,21:41,3:11,백정현,켈리,구장 : 대구
2022.04.29(금),18:30,22:16,3:46,임준형,스파크맨,구장 : 잠실
2022.04.30(토),17:00,19:47,2:47,김윤식,이인복,구장 : 잠실
2022.05.01(일),14:00,16:55,2:55,임찬규,김진욱,구장 : 잠실
2022.05.03(화),18:30,21:38,3:08,플럿코,최원준,구장 : 잠실
2022.05.04(수),18:30,21:45,3:15,이민호,이영하,구장 : 잠실
2022.05.05(목),14:01,17:22,3:21,켈리,최승용,구장 : 잠실
2022.05.06(금),18:30,22:19,3:49,이재학,김윤식,구장 : 창원
2022.05.07(토),17:00,20:09,3:09,루친스키,배재준,구장 : 창원
2022.05.08(일),14:01,17:56,3:55,파슨스,플럿코,구장 : 창원
2022.05.10(화),18:30,21:41,3:11,이민호,장민재,구장 : 잠실
2022.05.11(수),18:30,22:13,3:43,켈리,남지민,구장 : 잠실
2022.05.12(목),18:30,22:14,3:44,배재준,김민우,구장 : 잠실
2022.05.13(금),18:30,22:11,3:41,임찬규,양현종,구장 : 잠실
2022.05.14(토),17:00,19:48,2:48,플럿코,놀린,구장 : 잠실
2022.05.15(일),14:02,17:10,3:08,이민호,임기영,구장 : 잠실
2022.05.17(화),18:30,21:41,3:11,데스파이네,켈리,구장 : 수원
2022.05.18(수),18:30,21:55,3:25,엄상백,김윤식,구장 : 수원
2022.05.19(목),18:30,21:52,3:22,고영표,임찬규,구장 : 수원
2022.05.20(금),18:30,21:44,3:14,김광현,플럿코,구장 : 문학
2022.05.21(토),17:01,20:31,3:30,이태양,이민호,구장 : 문학
2022.05.22(일),14:00,17:14,3:14,노바,켈리,구장 : 문학
2022.05.24(화),18:30,21:49,3:19,김윤식,정찬헌,구장 : 잠실
2022.05.25(수),18:30,21:39,3:09,임찬규,안우진,구장 : 잠실
2022.05.26(목),18:30,21:42,3:12,플럿코,요키시,구장 : 잠실
2022.05.27(금),18:30,21:43,3:13,이민호,수아레즈,구장 : 잠실
2022.05.28(토),17:00,19:56,2:56,켈리,백정현,구장 : 잠실
2022.05.29(일),14:00,17:35,3:35,김윤식,황동재,구장 : 잠실
2022.05.31(화),18:30,21:27,2:57,이인복,임준형,구장 : 사직
2022.06.01(수),17:00,20:33,3:33,나균안,플럿코,구장 : 사직
2022.06.02(목),18:30,22:38,4:08,박세웅,이민호,구장 : 사직
2022.06.03(금),18:30,21:17,2:47,켈리,노바,구장 : 잠실
2022.06.04(토),17:01,20:28,3:27,김윤식,오원석,구장 : 잠실
2022.06.05(일),17:00,19:41,2:41,임준형,폰트,구장 : 잠실
2022.06.08(수),18:30,21:57,3:27,로니,플럿코,구장 : 광주
2022.06.09(목),18:30,21:12,2:42,임기영,이민호,구장 : 광주
2022.06.10(금),18:30,21:48,3:18,켈리,곽빈,구장 : 잠실
2022.06.11(토),17:01,20:37,3:36,김윤식,최승용,구장 : 잠실
2022.06.12(일),17:00,20:57,3:57,임준형,스탁,구장 : 잠실
2022.06.14(화),18:30,21:19,2:49,플럿코,수아레즈,구장 : 잠실
2022.06.15(수),18:30,21:36,3:06,이민호,허윤동,구장 : 잠실
2022.06.16(목),18:30,21:16,2:46,켈리,백정현,구장 : 잠실
2022.06.17(금),18:30,22:21,3:51,안우진,김윤식,구장 : 고척
