날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.04.02(토),14:00,17:12,3:12,안우진,반즈,고척
2022.04.03(일),14:00,17:55,3:55,요키시,박세웅,고척
2022.04.05(화),18:30,21:24,2:54,신민혁,김진욱,창원
2022.04.06(수),18:29,21:12,2:43,송명기,이인복,창원
2022.04.07(목),18:29,21:21,2:52,이재학,반즈,창원
2022.04.08(금),18:30,21:45,3:15,이승헌,스탁,사직
2022.04.09(토),17:00,20:03,3:03,박세웅,최원준,사직
2022.04.10(일),14:02,18:07,4:05,스파크맨,이영하,사직
2022.04.12(화),18:32,21:44,3:12,이의리,반즈,광주
2022.04.14(목),18:30,22:00,3:30,양현종,박세웅,광주
2022.04.15(금),18:30,22:02,3:32,김진욱,배제성,사직
2022.04.16(토),17:00,20:02,3:02,스파크맨,데스파이네,사직
2022.04.17(일),14:00,16:36,2:36,반즈,엄상백,사직
2022.04.19(화),18:29,22:02,3:33,이인복,김민우,사직
2022.04.20(수),18:30,21:16,2:46,박세웅,박윤철,사직
2022.04.21(목),18:30,22:20,3:50,김진욱,윤대경,사직
2022.04.22(금),18:31,21:34,3:03,백정현,반즈,대구
2022.04.23(토),17:00,19:59,2:59,황동재,스파크맨,대구
2022.04.24(일),14:01,17:07,3:06,양창섭,이인복,대구
2022.04.26(화),18:59,22:09,3:10,김진욱,폰트,사직
2022.04.27(수),18:30,22:26,3:56,박세웅,김광현,사직
2022.04.28(목),18:30,21:07,2:37,반즈,노경은,사직
2022.04.29(금),18:30,22:16,3:46,임준형,스파크맨,잠실
2022.04.30(토),17:00,19:47,2:47,김윤식,이인복,잠실
2022.05.01(일),14:00,16:55,2:55,임찬규,김진욱,잠실
2022.05.03(화),18:30,21:56,3:26,소형준,반즈,수원
2022.05.04(수),18:30,21:19,2:49,배제성,박세웅,수원
2022.05.05(목),14:00,17:12,3:12,엄상백,스파크맨,수원
2022.05.06(금),18:30,21:10,2:40,이인복,원태인,사직
2022.05.07(토),17:00,19:50,2:50,김진욱,뷰캐넌,사직
2022.05.08(일),14:00,17:32,3:32,반즈,수아레즈,사직
2022.05.10(화),18:30,21:06,2:36,박세웅,김시훈,사직
2022.05.11(수),18:31,22:53,4:22,스파크맨,송명기,사직
2022.05.12(목),18:30,21:37,3:07,이인복,신민혁,사직
2022.05.13(금),18:29,21:29,3:00,박윤철,반즈,대전
2022.05.14(토),17:00,20:25,3:25,윤대경,김진욱,대전
2022.05.15(일),14:00,17:01,3:01,장민재,박세웅,대전
2022.05.17(화),18:30,21:35,3:05,스파크맨,이의리,사직
2022.05.18(수),18:31,22:29,3:58,반즈,한승혁,사직
2022.05.19(목),18:30,21:15,2:45,이인복,양현종,사직
2022.05.20(금),18:30,21:27,2:57,스탁,나균안,잠실
2022.05.21(토),14:00,17:04,3:04,최원준,박세웅,잠실
2022.05.22(일),14:01,17:57,3:56,이영하,스파크맨,잠실
2022.05.24(화),18:30,21:24,2:54,오원석,반즈,문학
2022.05.25(수),18:32,21:09,2:03,폰트,이인복,문학
2022.05.26(목),18:29,21:57,3:28,김광현,나균안,문학
2022.05.27(금),18:31,21:12,2:41,박세웅,애플러,사직
2022.05.28(토),14:00,17:13,3:13,스파크맨,최원태,사직
2022.05.29(일),14:00,16:30,2:30,반즈,한현희,사직
2022.05.31(화),18:30,21:27,2:57,이인복,임준형,사직
2022.06.01(수),17:00,20:33,3:33,나균안,플럿코,사직
2022.06.02(목),18:30,22:38,4:08,박세웅,이민호,사직
2022.06.03(금),18:31,20:53,2:22,구창모,반즈,창원
2022.06.04(토),17:01,19:49,2:48,신민혁,스파크맨,창원
2022.06.07(화),18:31,22:37,4:06,이인복,뷰캐넌,사직
2022.06.08(수),18:30,21:26,2:56,반즈,수아레즈,사직
2022.06.09(목),18:30,22:56,4:26,스파크맨,허윤동,사직
2022.06.10(금),18:30,21:41,3:11,박세웅,배제성,사직
2022.06.11(토),17:00,19:33,2:33,나균안,고영표,사직
2022.06.12(일),16:59,20:13,3:14,이인복,데스파이네,사직
2022.06.15(수),18:30,21:48,3:18,윤대경,반즈,대전
2022.06.16(목),18:30,21:30,3:00,장민재,스파크맨,대전
2022.06.17(금),18:30,21:11,2:41,박세웅,폰트,사직
2022.06.18(토),17:00,20:31,3:31,이인복,김광현,사직
2022.06.19(일),17:00,20:19,3:19,김진욱,이태양,사직
2022.06.21(화),18:30,21:41,3:11,임기영,반즈,광주
2022.06.22(수),18:30,22:29,3:59,이의리,스파크맨,광주
2022.06.23(목),18:30,21:32,3:02,양현종,박세웅,광주
2022.06.24(금),18:30,21:40,3:10,이인복,한현희,사직
2022.06.25(토),17:01,20:47,3:46,김진욱,정찬헌,사직
2022.06.26(일),17:00,20:44,3:44,반즈,애플러,사직
2022.06.28(화),18:30,21:25,2:23,스파크맨,이영하,사직
2022.06.30(목),18:30,21:26,2:56,이인복,곽빈,사직
2022.07.01(금),18:30,21:48,3:18,김윤식,김진욱,잠실
2022.07.02(토),18:00,20:53,2:53,플럿코,반즈,잠실
2022.07.03(일),17:01,19:53,2:52,임찬규,스파크맨,잠실
2022.07.05(화),18:30,21:29,2:59,오원석,박세웅,문학
2022.07.06(수),18:30,22:48,3:09,노경은,이인복,문학
2022.07.07(목),18:30,21:20,2:50,폰트,김진욱,문학
2022.07.08(금),18:30,20:58,2:28,벤자민,반즈,수원
2022.07.09(토),17:59,20:47,2:48,소형준,스파크맨,수원
2022.07.10(일),17:00,19:58,2:58,배제성,박세웅,수원
2022.07.12(화),18:30,21:44,3:14,이인복,장민재,사직
2022.07.13(수),18:30,21:08,2:38,반즈,남지민,사직
2022.07.14(목),18:30,22:06,3:36,스파크맨,페냐,사직
2022.07.22(금),18:30,21:12,2:42,반즈,파노니,사직
2022.07.23(토),18:00,21:31,3:31,박세웅,양현종,사직
2022.07.24(일),17:00,20:03,3:03,스파크맨,이의리,사직
2022.07.26(화),18:30,21:19,2:49,최원준,김진욱,잠실
2022.07.27(수),18:31,22:16,3:45,이영하,이인복,잠실
2022.07.28(목),18:30,21:45,3:15,스탁,반즈,잠실
2022.07.29(금),18:31,22:19,3:48,황동재,스파크맨,대구
2022.07.30(토),18:00,21:50,3:50,허윤동,박세웅,대구
2022.07.31(일),16:59,21:25,4:26,최하늘,이민석,대구
2022.08.02(화),18:30,21:14,2:44,이인복,플럿코,사직
2022.08.03(수),18:30,21:30,3:00,반즈,임찬규,사직
2022.08.04(목),18:30,21:51,3:21,박세웅,김윤식,사직
2022.08.05(금),18:30,21:42,3:12,나균안,신민혁,사직
2022.08.06(토),18:01,21:23,3:22,최설우,루친스키,사직
2022.08.07(일),17:00,20:28,3:28,이인복,김태경,사직
2022.08.10(수),18:30,21:24,2:54,안우진,스트레일리,고척
2022.08.11(목),18:30,21:13,2:43,요키시,반즈,고척
2022.08.12(금),18:30,21:39,3:09,최원태,박세웅,고척
2022.08.13(토),18:00,20:50,2:50,이의리,나균안,광주
2022.08.14(일),17:00,20:03,3:03,놀린,서준원,광주
2022.08.17(수),18:31,21:39,3:08,반즈,최원준,사직
2022.08.18(목),18:30,21:30,3:00,스트레일리,배제성,사직
2022.08.19(금),18:30,22:15,3:45,박세웅,엄상백,사직
2022.08.20(토),18:00,21:29,3:29,나균안,페냐,사직
2022.08.21(일),17:00,20:19,3:19,서준원,남지민,사직
2022.08.23(화),18:31,21:47,3:16,신민혁,스트레일리,창원
2022.08.24(수),18:30,21:23,2:53,루친스키,반즈,창원
2022.08.25(목),18:30,21:42,3:12,박세웅,원태인,사직
2022.08.26(금),18:30,21:23,2:53,나균안,최하늘,사직
2022.08.27(토),18:00,21:03,3:03,모리만도,서준원,문학
2022.08.28(일),17:00,20:09,3:09,김광현,스트레일리,문학
2022.08.30(화),18:30,21:54,3:24,윤정현,반즈,고척
2022.08.31(수),18:30,21:51,3:21,애플러,박세웅,고척
2022.09.01(목),18:29,21:15,2:46,스탁,나균안,잠실
2022.09.02(금),18:30,22:23,3:53,박신지,스트레일리,잠실
2022.09.04(일),14:00,17:05,3:05,반즈,플럿코,사직
2022.09.06(화),18:31,21:46,3:15,박세웅,양현종,울산
2022.09.07(수),18:30,21:56,3:26,스트레일리,한승혁,울산
2022.09.08(목),18:30,21:37,3:07,원태인,나균안,대구
2022.09.09(금),14:00,17:04,3:04,백정현,이인복,대구
2022.09.10(토),17:00,20:08,3:08,반즈,신민혁,사직
2022.09.11(일),14:00,17:48,3:48,박세웅,루친스키,사직
2022.09.13(화),18:30,21:49,3:19,스트레일리,폰트,사직
2022.09.14(수),18:31,21:26,2:55,나균안,모리만도,사직
2022.09.15(목),18:30,21:31,3:01,이인복,한현희,사직
2022.09.16(금),18:30,22:38,4:08,반즈,정찬헌,사직
2022.09.17(토),17:00,20:13,3:13,고영표,박세웅,수원
2022.09.18(일),14:00,17:18,3:18,엄상백,스트레일리,수원
2022.09.20(화),18:30,22:11,3:41,페냐,나균안,대전
2022.09.21(수),18:30,21:30,3:00,문동주,이인복,대전
2022.09.22(목),18:30,21:22,2:52,임찬규,반즈,잠실
2022.09.23(금),18:30,21:37,3:07,이민호,스트레일리,잠실
2022.09.24(토),17:00,20:21,3:21,안우진,박세웅,고척
2022.09.29(목),18:30,21:47,3:17,파노니,스트레일리,광주
2022.09.30(금),18:30,22:45,4:15,장민재,이인복,대전
2022.10.02(일),14:00,17:13,3:13,박세웅,최원준,사직
2022.10.03(월),14:00,17:47,3:47,나균안,최승용,사직
2022.10.05(수),18:32,21:39,3:07,구창모,서준원,창원
2022.10.08(토),17:00,19:58,2:58,스트레일리,김영준,사직
2023.04.01(토),14:02,18:45,4:43,알칸타라,스트레일리,잠실
2023.04.02(일),14:00,17:00,3:00,최원준,나균안,잠실
2023.04.04(화),18:30,21:45,2:43,오원석,박세웅,문학
2023.04.07(금),18:30,21:35,3:05,한현희,고영표,사직
2023.04.08(토),16:59,20:05,3:06,스트레일리,벤자민,사직
2023.04.09(일),13:59,16:47,2:48,나균안,배제성,사직
2023.04.11(화),18:30,22:14,3:44,반즈,박명근,사직
2023.04.12(수),18:29,22:32,4:03,박세웅,강효종,사직
2023.04.13(목),18:30,21:54,3:24,한현희,켈리,사직
2023.04.14(금),18:31,21:58,3:27,뷰캐넌,스트레일리,대구
2023.04.15(토),17:11,21:05,3:54,수아레즈,나균안,대구
2023.04.16(일),14:01,16:44,2:43,원태인,반즈,대구
2023.04.18(화),18:30,22:16,3:46,박세웅,앤더슨,사직
