날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.04.02(토),14:03,16:56,2:53,루친스키,폰트,구장 : 창원
2022.04.03(일),13:59,17:02,3:03,파슨스,노경은,구장 : 창원
2022.04.05(화),18:30,21:24,2:54,신민혁,김진욱,구장 : 창원
2022.04.06(수),18:29,21:12,2:43,송명기,이인복,구장 : 창원
2022.04.07(목),18:29,21:21,2:52,이재학,반즈,구장 : 창원
2022.04.08(금),18:30,21:23,2:53,플럿코,루친스키,구장 : 잠실
2022.04.09(토),17:01,20:10,3:09,이민호,파슨스,구장 : 잠실
2022.04.10(일),13:59,17:15,3:16,켈리,신민혁,구장 : 잠실
2022.04.12(화),18:29,21:16,2:47,최원태,송명기,구장 : 고척
2022.04.13(수),18:30,23:16,4:46,정찬헌,이재학,구장 : 고척
2022.04.14(목),18:30,21:17,2:47,안우진,루친스키,구장 : 고척
2022.04.15(금),18:29,21:32,3:03,파슨스,놀린,구장 : 창원
2022.04.16(토),17:00,19:57,2:57,신민혁,로니,구장 : 창원
2022.04.17(일),13:59,17:28,3:29,송명기,이의리,구장 : 창원
2022.04.19(화),18:30,22:11,3:41,이재학,양창섭,구장 : 창원
2022.04.20(수),18:32,21:18,2:46,루친스키,뷰캐넌,구장 : 창원
2022.04.21(목),18:32,22:01,3:29,파슨스,수아레즈,구장 : 창원
2022.04.22(금),18:30,21:39,3:09,배제성,신민혁,구장 : 수원
2022.04.23(토),17:00,19:36,2:36,엄상백,송명기,구장 : 수원
2022.04.24(일),13:59,17:38,3:39,고영표,김태경,구장 : 수원
2022.04.26(화),18:30,21:42,3:12,스탁,루친스키,구장 : 잠실
2022.04.27(수),18:30,21:48,3:18,최원준,파슨스,구장 : 잠실
2022.04.28(목),18:30,22:03,3:33,이영하,김시훈,구장 : 잠실
2022.04.29(금),18:30,21:56,3:26,송명기,남지민,구장 : 창원
2022.04.30(토),17:00,20:31,3:31,이재학,김민우,구장 : 창원
2022.05.01(일),14:00,17:13,3:13,루친스키,박윤철,구장 : 창원
2022.05.03(화),18:31,22:30,3:59,수아레즈,파슨스,구장 : 대구
2022.05.04(수),18:30,21:59,3:29,백정현,김시훈,구장 : 대구
2022.05.05(목),14:01,17:10,3:09,황동재,송명기,구장 : 대구
2022.05.06(금),18:30,22:19,3:49,이재학,김윤식,구장 : 창원
2022.05.07(토),17:00,20:09,3:09,루친스키,배재준,구장 : 창원
2022.05.08(일),14:01,17:56,3:55,파슨스,플럿코,구장 : 창원
2022.05.10(화),18:30,21:06,2:36,박세웅,김시훈,구장 : 사직
2022.05.11(수),18:31,22:53,4:22,스파크맨,송명기,구장 : 사직
2022.05.12(목),18:30,21:37,3:07,이인복,신민혁,구장 : 사직
2022.05.13(금),18:30,21:27,2:57,폰트,루친스키,구장 : 문학
2022.05.14(토),17:00,20:08,3:08,김광현,파슨스,구장 : 문학
2022.05.15(일),14:00,17:45,3:45,이태양,김시훈,구장 : 문학
2022.05.17(화),18:31,22:10,3:39,송명기,최원태,구장 : 창원
2022.05.18(수),18:31,22:05,3:34,신민혁,정찬헌,구장 : 창원
2022.05.19(목),18:32,21:53,3:21,루친스키,안우진,구장 : 창원
2022.05.20(금),18:30,21:18,2:48,놀린,이재학,구장 : 광주
2022.05.21(토),17:00,20:31,3:31,임기영,김시훈,구장 : 광주
2022.05.22(일),14:00,16:55,2:55,이의리,송명기,구장 : 광주
2022.05.24(화),18:31,21:44,3:13,신민혁,엄상백,구장 : 창원
2022.05.25(수),18:31,21:11,2:40,루친스키,고영표,구장 : 창원
2022.05.26(목),18:31,21:53,3:22,이재학,소형준,구장 : 창원
2022.05.27(금),18:29,21:37,3:08,김시훈,최원준,구장 : 창원
2022.05.28(토),17:00,20:13,3:13,구창모,이영하,구장 : 창원
2022.05.29(일),14:00,17:14,3:14,신민혁,곽빈,구장 : 창원
2022.05.31(화),18:29,21:52,3:23,남지민,루친스키,구장 : 대전
2022.06.01(수),16:59,19:49,2:50,윤대경,이재학,구장 : 대전
2022.06.02(목),18:30,22:39,4:09,장민재,김시훈,구장 : 대전
2022.06.03(금),18:31,20:53,2:22,구창모,반즈,구장 : 창원
2022.06.04(토),17:01,19:49,2:48,신민혁,스파크맨,구장 : 창원
2022.06.07(화),18:32,20:58,2:26,루친스키,김광현,구장 : 창원
2022.06.08(수),18:31,23:01,4:30,이용준,이태양,구장 : 창원
2022.06.09(목),18:30,21:42,3:12,이재학,김건우,구장 : 창원
2022.06.10(금),18:30,21:39,3:09,황동재,구창모,구장 : 대구
2022.06.11(토),17:01,20:30,3:29,원태인,신민혁,구장 : 대구
2022.06.12(일),17:00,20:02,3:02,뷰캐넌,루친스키,구장 : 대구
2022.06.15(수),18:30,21:43,3:13,이재학,임기영,구장 : 창원
2022.06.16(목),18:30,21:35,3:05,구창모,이의리,구장 : 창원
2022.06.17(금),18:29,22:34,4:05,송명기,김민우,구장 : 창원
2022.06.18(토),17:00,20:07,3:07,루친스키,남지민,구장 : 창원
2022.06.19(일),17:00,19:57,2:57,신민혁,김재영,구장 : 창원
2022.06.21(화),18:31,21:36,3:05,엄상백,이재학,구장 : 수원
2022.06.22(수),18:30,21:16,2:46,배제성,구창모,구장 : 수원
2022.06.24(금),18:30,21:30,3:00,폰트,루친스키,구장 : 문학
2022.06.25(토),17:00,20:14,3:14,김광현,송명기,구장 : 문학
2022.06.26(일),17:00,20:26,3:26,이태양,신민혁,구장 : 문학
2022.06.28(화),18:30,21:25,2:55,켈리,구창모,구장 : 잠실
2022.07.02(토),18:00,21:23,3:23,루친스키,허윤동,구장 : 창원
2022.07.03(일),17:01,20:54,3:53,송명기,수아레즈,구장 : 창원
2022.07.05(화),18:30,21:38,3:08,라미레즈,구창모,구장 : 대전
2022.07.06(수),18:31,22:47,3:45,남지민,신민혁,구장 : 대전
2022.07.07(목),18:29,22:50,4:21,장민재,이재학,구장 : 대전
2022.07.08(금),18:30,21:26,2:56,한현희,루친스키,구장 : 고척
2022.07.09(토),14:00,17:11,3:11,최원태,송명기,구장 : 고척
2022.07.10(일),14:00,16:37,2:37,안우진,구창모,구장 : 고척
2022.07.12(화),18:30,22:42,4:12,신민혁,곽빈,구장 : 창원
2022.07.13(수),18:30,21:30,3:00,이재학,스탁,구장 : 창원
2022.07.14(목),18:30,21:35,3:05,루친스키,최원준,구장 : 창원
2022.07.22(금),18:30,22:07,3:37,구창모,켈리,구장 : 창원
2022.07.23(토),18:00,21:19,3:19,이용준,김윤식,구장 : 창원
2022.07.24(일),17:00,19:57,2:57,루친스키,배재준,구장 : 창원
2022.07.26(화),18:31,21:59,3:28,임기영,신민혁,구장 : 광주
2022.07.27(수),18:30,21:54,3:24,놀린,이재학,구장 : 광주
2022.07.28(목),18:30,22:06,3:36,파노니,구창모,구장 : 광주
2022.07.29(금),18:30,21:39,3:09,송명기,요키시,구장 : 창원
2022.07.30(토),18:00,22:41,4:41,루친스키,최원태,구장 : 창원
2022.08.03(수),18:30,21:58,3:28,구창모,데스파이네,구장 : 창원
2022.08.04(목),18:31,21:33,3:02,송명기,벤자민,구장 : 창원
2022.08.05(금),18:30,21:42,3:12,나균안,신민혁,구장 : 사직
2022.08.06(토),18:01,21:23,3:22,최설우,루친스키,구장 : 사직
2022.08.07(일),17:00,20:28,3:28,이인복,김태경,구장 : 사직
2022.08.10(수),18:30,21:41,3:11,최원준,이재학,구장 : 잠실
2022.08.11(목),18:30,22:03,3:33,브랜든,신민혁,구장 : 잠실
2022.08.12(금),18:31,21:52,3:21,스탁,루친스키,구장 : 잠실
2022.08.14(일),17:00,20:17,3:17,김태경,임찬규,구장 : 창원
2022.08.17(수),18:30,21:22,2:52,이재학,김민우,구장 : 창원
2022.08.18(목),18:30,22:53,4:23,양현종,루친스키,구장 : 광주
2022.08.19(금),18:30,22:25,3:55,이의리,송명기,구장 : 광주
2022.08.21(일),17:00,20:16,3:16,백정현,구창모,구장 : 대구
2022.08.23(화),18:31,21:47,3:16,신민혁,스트레일리,구장 : 창원
2022.08.24(수),18:30,21:23,2:53,루친스키,반즈,구장 : 창원
2022.08.25(목),18:30,22:53,4:23,송명기,애플러,구장 : 창원
2022.08.26(금),18:30,21:39,3:09,더모디,김선기,구장 : 창원
2022.08.27(토),18:00,20:59,2:59,구창모,데스파이네,구장 : 창원
2022.08.28(일),17:00,19:48,2:48,신민혁,벤자민,구장 : 창원
2022.08.31(수),18:30,21:48,3:18,이민호,루친스키,구장 : 잠실
2022.09.01(목),18:30,21:22,2:52,박종훈,송명기,구장 : 문학
2022.09.02(금),18:30,21:15,2:45,모리만도,더모디,구장 : 문학
2022.09.03(토),17:00,20:16,3:16,남지민,구창모,구장 : 대전
2022.09.04(일),14:00,17:09,3:09,김민우,신민혁,구장 : 대전
2022.09.06(화),18:31,21:14,2:43,루친스키,브랜든,구장 : 창원
2022.09.07(수),18:30,22:06,3:36,송명기,스탁,구장 : 창원
2022.09.08(목),18:30,21:37,3:07,소형준,더모디,구장 : 수원
2022.09.09(금),14:01,16:50,2:49,데스파이네,구창모,구장 : 수원
2022.09.10(토),17:00,20:08,3:08,반즈,신민혁,구장 : 사직
2022.09.11(일),14:00,17:48,3:48,박세웅,루친스키,구장 : 사직
2022.09.13(화),18:30,21:02,2:32,송명기,수아레즈,구장 : 창원
2022.09.14(수),18:30,21:06,2:36,더모디,원태인,구장 : 창원
2022.09.15(목),18:30,21:20,2:50,구창모,오원석,구장 : 창원
2022.09.16(금),18:30,21:29,2:59,신민혁,박종훈,구장 : 창원
2022.09.17(토),17:00,20:21,3:21,애플러,루친스키,구장 : 고척
2022.09.18(일),14:00,16:53,2:53,안우진,김태경,구장 : 고척
2022.09.20(화),18:30,22:02,3:32,곽빈,더모디,구장 : 잠실
2022.09.21(수),18:30,21:53,3:23,최원준,송명기,구장 : 잠실
2022.09.22(목),18:31,21:25,2:54,구창모,양현종,구장 : 창원
2022.09.23(금),18:30,22:02,3:32,루친스키,임기영,구장 : 창원
2022.09.24(토),17:00,20:16,3:16,김태경,이의리,구장 : 창원
2022.09.25(일),13:59,17:00,3:01,더모디,엄상백,구장 : 창원
2022.09.27(화),18:29,22:17,3:48,신민혁,요키시,구장 : 창원
2022.09.28(수),18:28,21:13,2:45,구창모,원태인,구장 : 창원
2022.09.29(목),18:31,20:51,2:20,뷰캐넌,루친스키,구장 : 대구
2022.09.30(금),18:31,21:21,2:50,켈리,송명기,구장 : 잠실
