팀 이름,등번호,이름,투타유형,생년월일,키,몸무게
KIA 타이거즈,13,윤영철,좌투좌타,2004-04-20,187cm,87kg
KIA 타이거즈,17,임기영,우언우타,1993-04-16,184cm,86kg
KIA 타이거즈,20,이준영,좌투좌타,1992-08-10,177cm,85kg
KIA 타이거즈,21,김사윤,좌투좌타,1994-06-08,182cm,90kg
KIA 타이거즈,39,최지민,좌투좌타,2003-09-10,185cm,100kg
KIA 타이거즈,40,네일,우투우타,1993-02-08,193cm,83kg
KIA 타이거즈,41,황동하,우투우타,2002-07-30,183cm,96kg
KIA 타이거즈,43,김건국,우투우타,1988-02-02,183cm,86kg
KIA 타이거즈,50,장현식,우투우타,1995-02-24,181cm,91kg
KIA 타이거즈,51,전상현,우투우타,1996-04-18,182cm,84kg
KIA 타이거즈,54,양현종,좌투좌타,1988-03-01,183cm,91kg
KIA 타이거즈,60,김도현,우투우타,2000-09-15,183cm,87kg
KIA 타이거즈,62,정해영,우투우타,2001-08-23,189cm,98kg
KIA 타이거즈,69,김대유,좌투좌타,1991-05-08,187cm,92kg
LG 트윈스,0,김유영,좌투좌타,1994-05-02,180cm,83kg
LG 트윈스,3,켈리,우투우타,1989-10-04,191cm,98kg
LG 트윈스,12,김대현,우투우타,1997-03-08,188cm,100kg
LG 트윈스,13,최동환,우투우타,1989-09-19,184cm,83kg
LG 트윈스,18,백승현,우투우타,1995-05-26,183cm,90kg
LG 트윈스,20,최원태,우투우타,1997-01-07,184cm,104kg
LG 트윈스,29,손주영,좌투좌타,1998-12-02,191cm,95kg
LG 트윈스,34,엔스,좌투좌타,1991-05-16,185cm,95kg
LG 트윈스,37,이믿음,우투우타,2000-07-18,188cm,80kg
LG 트윈스,39,박명근,우언우타,2004-03-27,174cm,75kg
LG 트윈스,42,김진성,우투우타,1985-03-07,186cm,90kg
LG 트윈스,49,정지헌,우언우타,2003-12-11,180cm,85kg
LG 트윈스,54,유영찬,우투우타,1997-03-07,185cm,90kg
삼성 라이온즈,17,김대우,우언우타,1988-11-21,183cm,85kg
삼성 라이온즈,18,원태인,우투우타,2000-04-06,183cm,92kg
삼성 라이온즈,20,이승현,우투우타,1991-11-20,181cm,92kg
삼성 라이온즈,21,오승환,우투우타,1982-07-15,178cm,93kg
삼성 라이온즈,27,김태훈,우투우타,1992-03-02,187cm,101kg
삼성 라이온즈,35,이승민,좌투좌타,2000-08-26,174cm,79kg
삼성 라이온즈,37,최하늘,우언우타,1999-03-26,190cm,99kg
삼성 라이온즈,40,최지광,우투우타,1998-03-13,173cm,85kg
삼성 라이온즈,43,레예스,우투우타,1996-11-02,198cm,113kg
삼성 라이온즈,45,임창민,우투우타,1985-08-25,183cm,94kg
삼성 라이온즈,52,코너,우투우타,1996-01-24,188cm,95kg
삼성 라이온즈,55,이호성,우투우타,2004-08-14,184cm,87kg
삼성 라이온즈,57,이승현,좌투좌타,2002-05-19,183cm,102kg
삼성 라이온즈,62,김재윤,우투우타,1990-09-16,185cm,91kg
두산 베어스,17,홍건희,우투우타,1992-09-29,187cm,97kg
두산 베어스,27,김강률,우투우타,1988-08-28,187cm,95kg
두산 베어스,29,이병헌,좌투좌타,2003-06-04,183cm,95kg
두산 베어스,42,최지강,우투좌타,2001-07-23,180cm,88kg
두산 베어스,43,알칸타라,우투우타,1992-12-04,193cm,100kg
두산 베어스,46,김명신,우투우타,1993-11-29,178cm,90kg
두산 베어스,47,곽빈,우투우타,1999-05-28,187cm,95kg
두산 베어스,48,브랜든,좌투좌타,1994-06-03,190cm,81kg
두산 베어스,50,이영하,우투우타,1997-11-01,192cm,91kg
두산 베어스,59,최준호,우투우타,2004-06-03,188cm,90kg
두산 베어스,62,김유성,우투우타,2002-01-01,190cm,98kg
두산 베어스,63,김택연,우투우타,2005-06-03,181cm,88kg
SSG 랜더스,19,조병현,우투우타,2002-05-08,182cm,90kg
SSG 랜더스,28,송영진,우투양타,2004-05-28,185cm,90kg
SSG 랜더스,33,앤더슨,우투우타,1994-03-22,190cm,92kg
SSG 랜더스,34,한두솔,좌투좌타,1997-01-15,177cm,86kg
SSG 랜더스,38,노경은,우투우타,1984-03-11,187cm,100kg
SSG 랜더스,41,박민호,우언우타,1992-02-25,185cm,95kg
SSG 랜더스,42,문승원,우투우타,1989-11-28,180cm,88kg
SSG 랜더스,43,시라카와,우투우타,2001-06-04,0cm,0kg
SSG 랜더스,47,오원석,좌투좌타,2001-04-23,182cm,80kg
SSG 랜더스,50,박종훈,우언우타,1991-08-13,186cm,90kg
SSG 랜더스,67,최민준,우투우타,1999-06-11,178cm,83kg
SSG 랜더스,92,이로운,우투우타,2004-09-11,185cm,105kg
NC 다이노스,11,송명기,우투우타,2000-08-09,191cm,93kg
NC 다이노스,17,김영규,좌투좌타,2000-02-10,188cm,86kg
NC 다이노스,20,카스타노,좌투좌타,1994-09-17,190cm,104kg
NC 다이노스,21,김시훈,우투우타,1999-02-24,188cm,95kg
NC 다이노스,22,이용찬,우투우타,1989-01-02,185cm,85kg
NC 다이노스,30,하트,좌투좌타,1992-11-23,196cm,90kg
NC 다이노스,32,김재열,우투우타,1996-01-02,183cm,97kg
NC 다이노스,41,류진욱,우투우타,1996-10-10,189cm,88kg
NC 다이노스,53,신민혁,우투우타,1999-02-04,184cm,95kg
NC 다이노스,55,한재승,우투우타,2001-11-21,180cm,90kg
NC 다이노스,57,전사민,우투우타,1999-07-06,194cm,85kg
NC 다이노스,61,배재환,우투우타,1995-02-24,186cm,95kg
KT 위즈,11,김민,우투우타,1999-04-14,185cm,88kg
KT 위즈,18,엄상백,우언우타,1996-10-04,187cm,72kg
KT 위즈,21,우규민,우언우타,1985-01-21,184cm,75kg
KT 위즈,26,김민수,우투우타,1992-07-24,188cm,80kg
KT 위즈,32,쿠에바스,우투양타,1990-10-14,188cm,98kg
KT 위즈,37,이상동,우투우타,1995-11-24,181cm,88kg
KT 위즈,38,주권,우투우타,1995-05-31,181cm,82kg
KT 위즈,41,손동현,우투우타,2001-01-23,183cm,88kg
KT 위즈,46,박시영,우투우타,1989-03-10,180cm,88kg
KT 위즈,59,한차현,우투우타,1998-11-30,180cm,80kg
KT 위즈,60,박영현,우투우타,2003-10-11,183cm,91kg
KT 위즈,64,육청명,우투우타,2005-07-18,186cm,90kg
한화 이글스,1,문동주,우투우타,2003-12-23,188cm,97kg
한화 이글스,15,김기중,좌투좌타,2002-11-16,186cm,96kg
