날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적
2022-04-02,KIA,6,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-1,0-0-0
2022-04-03,KIA,8,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-2,0-0-0
2022-04-05,KIA,6,3,1,2,0,0.333,2.0,1승0무2패,1승,1-0-2,0-0-0
2022-04-06,KIA,4,4,2,2,0,0.5,2.0,2승0무2패,2승,2-0-2,0-0-0
2022-04-07,KIA,3,5,3,2,0,0.6,2.0,3승0무2패,3승,3-0-2,0-0-0
2022-04-08,KIA,4,6,3,3,0,0.5,3.0,3승0무3패,1패,3-0-2,0-0-1
2022-04-09,KIA,5,7,3,4,0,0.429,4.0,3승0무4패,2패,3-0-2,0-0-2
2022-04-10,KIA,6,8,3,5,0,0.375,5.0,3승0무5패,3패,3-0-2,0-0-3
2022-04-12,KIA,5,9,4,5,0,0.444,5.0,4승0무5패,1승,4-0-2,0-0-3
2022-04-13,KIA,6,9,4,5,0,0.444,5.5,4승0무5패,1승,4-0-2,0-0-3
2022-04-14,KIA,7,10,4,6,0,0.4,5.5,4승0무6패,1패,4-0-3,0-0-3
2022-04-15,KIA,7,11,4,7,0,0.364,6.5,4승0무6패,2패,4-0-3,0-0-4
2022-04-16,KIA,7,12,5,7,0,0.417,6.5,5승0무5패,1승,4-0-3,1-0-4
2022-04-17,KIA,6,13,6,7,0,0.462,6.5,5승0무5패,2승,4-0-3,2-0-4
2022-04-19,KIA,5,14,7,7,0,0.5,5.5,5승0무5패,3승,5-0-3,2-0-4
2022-04-20,KIA,6,15,7,8,0,0.467,6.5,4승0무6패,1패,5-0-4,2-0-4
2022-04-21,KIA,6,16,7,9,0,0.438,7.5,4승0무6패,2패,5-0-5,2-0-4
2022-04-22,KIA,6,17,8,9,0,0.471,6.5,5승0무5패,1승,5-0-5,3-0-4
2022-04-23,KIA,6,18,8,10,0,0.444,6.5,5승0무5패,1패,5-0-5,3-0-5
2022-04-24,KIA,6,19,9,10,0,0.474,6.5,5승0무5패,1승,5-0-5,4-0-5
2022-04-26,KIA,6,20,10,10,0,0.5,6.5,6승0무4패,2승,5-0-5,5-0-5
2022-04-27,KIA,6,21,10,11,0,0.476,7.0,6승0무4패,1패,5-0-5,5-0-6
2022-04-28,KIA,6,22,10,12,0,0.455,7.0,5승0무5패,2패,5-0-5,5-0-7
2022-04-29,KIA,7,23,10,13,0,0.435,8.0,4승0무6패,3패,5-0-6,5-0-7
2022-04-30,KIA,7,24,10,14,0,0.417,9.0,3승0무7패,4패,5-0-7,5-0-7
2022-05-01,KIA,8,25,10,15,0,0.4,9.0,3승0무7패,5패,5-0-8,5-0-7
2022-05-03,KIA,8,26,10,16,0,0.385,10.0,3승0무7패,6패,5-0-9,5-0-7
2022-05-04,KIA,8,27,11,16,0,0.407,9.0,3승0무7패,1승,6-0-9,5-0-7
2022-05-05,KIA,8,28,12,16,0,0.429,9.0,4승0무6패,2승,7-0-9,5-0-7
2022-05-06,KIA,8,29,13,16,0,0.448,8.0,4승0무6패,3승,7-0-9,6-0-7
2022-05-07,KIA,7,30,14,16,0,0.467,8.0,4승0무6패,4승,7-0-9,7-0-7
2022-05-08,KIA,7,31,15,16,0,0.484,8.0,5승0무5패,5승,7-0-9,8-0-7
2022-05-10,KIA,6,32,16,16,0,0.5,8.0,6승0무4패,6승,8-0-9,8-0-7
2022-05-11,KIA,7,33,16,17,0,0.485,8.0,6승0무4패,1패,8-0-10,8-0-7
2022-05-12,KIA,6,34,17,17,0,0.5,7.0,7승0무3패,1승,9-0-10,8-0-7
2022-05-13,KIA,5,35,18,17,0,0.514,6.0,8승0무2패,2승,9-0-10,9-0-7
2022-05-14,KIA,7,36,18,18,0,0.5,7.0,8승0무2패,1패,9-0-10,9-0-8
2022-05-15,KIA,7,37,18,19,0,0.486,7.0,7승0무3패,2패,9-0-10,9-0-9
2022-05-17,KIA,7,38,19,19,0,0.5,6.5,7승0무3패,1승,9-0-10,10-0-9
2022-05-18,KIA,7,39,20,19,0,0.513,6.5,7승0무3패,2승,9-0-10,11-0-9
2022-05-19,KIA,6,40,21,19,0,0.525,6.5,7승0무3패,3승,9-0-10,12-0-9
2022-05-20,KIA,4,41,22,19,0,0.537,6.5,7승0무3패,4승,10-0-10,12-0-9
2022-05-21,KIA,5,42,22,20,0,0.524,6.5,6승0무4패,1패,10-0-11,12-0-9
2022-05-22,KIA,4,43,23,20,0,0.535,6.5,7승0무3패,1승,11-0-11,12-0-9
2022-05-24,KIA,4,44,24,20,0,0.545,6.5,7승0무3패,2승,11-0-11,13-0-9
2022-05-25,KIA,4,45,25,20,0,0.556,6.5,7승0무3패,3승,11-0-11,14-0-9
2022-05-26,KIA,3,46,26,20,0,0.565,6.5,8승0무2패,4승,11-0-11,15-0-9
2022-05-27,KIA,4,47,26,21,0,0.553,7.5,8승0무2패,1패,11-0-12,15-0-9
2022-05-28,KIA,4,48,27,21,0,0.563,6.5,8승0무2패,1승,12-0-12,15-0-9
2022-05-29,KIA,4,49,27,22,0,0.551,7.5,7승0무3패,1패,12-0-13,15-0-9
2022-05-31,KIA,3,50,28,22,0,0.56,6.5,7승0무3패,1승,12-0-13,16-0-9
2022-06-01,KIA,3,51,29,22,0,0.569,6.5,7승0무3패,2승,12-0-13,17-0-9
2022-06-02,KIA,3,52,30,22,0,0.577,5.5,8승0무2패,3승,12-0-13,18-0-9
2022-06-03,KIA,3,53,30,23,0,0.566,5.5,7승0무3패,1패,12-0-13,18-0-10
2022-06-04,KIA,4,54,30,24,0,0.556,5.5,6승0무4패,2패,12-0-13,18-0-11
2022-06-05,KIA,4,55,30,24,1,0.556,6.0,5승1무4패,2패,12-0-13,18-1-11
2022-06-07,KIA,4,55,30,24,1,0.556,5.5,5승1무4패,2패,12-0-13,18-1-11
2022-06-08,KIA,4,56,30,25,1,0.545,6.0,4승1무5패,3패,12-0-14,18-1-11
2022-06-09,KIA,4,57,31,25,1,0.554,5.0,5승1무4패,1승,13-0-14,18-1-11
2022-06-10,KIA,4,58,31,26,1,0.544,6.0,4승1무5패,1패,13-0-15,18-1-11
2022-06-11,KIA,4,59,32,26,1,0.552,6.0,5승1무4패,1승,14-0-15,18-1-11
2022-06-12,KIA,4,60,32,27,1,0.542,7.0,4승1무5패,1패,14-0-16,18-1-11
2022-06-14,KIA,4,60,32,27,1,0.542,6.5,4승1무5패,1패,14-0-16,18-1-11
2022-06-15,KIA,4,61,32,28,1,0.533,6.5,3승1무6패,2패,14-0-16,18-1-12
2022-06-16,KIA,4,62,33,28,1,0.541,6.5,3승1무6패,1승,14-0-16,19-1-12
2022-06-17,KIA,4,63,34,28,1,0.548,6.5,4승1무5패,2승,15-0-16,19-1-12
2022-06-18,KIA,4,64,34,29,1,0.54,7.5,4승1무5패,1패,15-0-17,19-1-12
2022-06-19,KIA,4,65,34,30,1,0.531,7.5,4승0무6패,2패,15-0-18,19-1-12
2022-06-21,KIA,4,66,35,30,1,0.538,6.5,5승0무5패,1승,16-0-18,19-1-12
2022-06-22,KIA,4,67,35,31,1,0.53,7.5,4승0무6패,1패,16-0-19,19-1-12
2022-06-23,KIA,4,68,36,31,1,0.537,7.0,5승0무5패,1승,17-0-19,19-1-12
2022-06-24,KIA,4,69,37,31,1,0.544,7.0,5승0무5패,2승,17-0-19,20-1-12
2022-06-25,KIA,4,70,38,31,1,0.551,7.0,6승0무4패,3승,17-0-19,21-1-12
2022-06-26,KIA,4,71,38,32,1,0.543,8.0,6승0무4패,1패,17-0-19,21-1-13
2022-06-28,KIA,4,72,38,33,1,0.535,8.0,5승0무5패,2패,17-0-19,21-1-14
2022-06-29,KIA,4,73,38,34,1,0.528,9.0,4승0무6패,3패,17-0-19,21-1-15
2022-06-30,KIA,4,74,38,35,1,0.521,9.5,4승0무6패,4패,17-0-19,21-1-16
2022-07-01,KIA,4,75,38,36,1,0.514,10.5,4승0무6패,5패,17-0-19,21-1-17
2022-07-02,KIA,4,76,38,37,1,0.507,11.5,3승0무7패,6패,17-0-19,21-1-18
2022-07-03,KIA,5,77,38,38,1,0.5,12.5,3승0무7패,7패,17-0-19,21-1-19
2022-07-05,KIA,5,77,38,38,1,0.5,13.0,3승0무7패,7패,17-0-19,21-1-19
2022-07-06,KIA,5,78,38,39,1,0.494,13.0,2승0무8패,8패,17-0-20,21-1-19
2022-07-07,KIA,5,78,38,39,1,0.494,13.5,2승0무8패,8패,17-0-20,21-1-19
2022-07-08,KIA,5,79,39,39,1,0.5,13.5,2승0무8패,1승,18-0-20,21-1-19
2022-07-09,KIA,5,80,40,39,1,0.506,13.5,2승0무8패,2승,19-0-20,21-1-19
2022-07-10,KIA,5,81,41,39,1,0.513,13.5,3승0무7패,3승,20-0-20,21-1-19
2022-07-12,KIA,5,82,42,39,1,0.519,13.5,4승0무6패,4승,20-0-20,22-1-19
2022-07-13,KIA,5,82,42,39,1,0.519,13.5,4승0무6패,4승,20-0-20,22-1-19
2022-07-14,KIA,5,83,42,40,1,0.512,14.5,4승0무6패,1패,20-0-20,22-1-20
2022-07-22,KIA,5,84,43,40,1,0.518,14.5,5승0무5패,1승,20-0-20,23-1-20
2022-07-23,KIA,5,85,44,40,1,0.524,14.0,6승0무4패,2승,20-0-20,24-1-20
2022-07-24,KIA,5,86,45,40,1,0.529,14.0,7승0무3패,3승,20-0-20,25-1-20
2022-07-26,KIA,5,87,45,41,1,0.523,14.0,7승0무3패,1패,20-0-21,25-1-20
2022-07-27,KIA,5,88,46,41,1,0.529,14.0,8승0무2패,1승,21-0-21,25-1-20
2022-07-28,KIA,5,89,46,42,1,0.523,15.0,7승0무3패,1패,21-0-22,25-1-20
2022-07-29,KIA,5,90,47,42,1,0.528,14.0,7승0무3패,1승,22-0-22,25-1-20
2022-07-30,KIA,5,91,47,43,1,0.522,15.0,6승0무4패,1패,22-0-23,25-1-20
2022-07-31,KIA,5,92,47,44,1,0.516,16.0,5승0무5패,2패,22-0-24,25-1-20
2022-08-02,KIA,5,93,47,45,1,0.511,17.0,5승0무5패,3패,22-0-24,25-1-21
2022-08-03,KIA,5,94,48,45,1,0.516,16.0,5승0무5패,1승,22-0-24,26-1-21
2022-08-04,KIA,5,95,48,46,1,0.511,17.0,4승0무6패,1패,22-0-24,26-1-22
2022-08-05,KIA,5,96,48,47,1,0.505,17.0,3승0무7패,2패,22-0-25,26-1-22
2022-08-06,KIA,5,97,48,48,1,0.5,18.0,3승0무7패,3패,22-0-26,26-1-22
2022-08-07,KIA,5,98,49,48,1,0.505,18.0,3승0무7패,1승,23-0-26,26-1-22
2022-08-10,KIA,5,99,49,49,1,0.5,19.0,3승0무7패,1패,23-0-26,26-1-23
2022-08-11,KIA,5,99,49,49,1,0.5,19.5,3승0무7패,1패,23-0-26,26-1-23
2022-08-12,KIA,5,100,49,50,1,0.495,19.5,2승0무8패,2패,23-0-26,26-1-24
2022-08-13,KIA,5,101,50,50,1,0.5,19.5,3승0무7패,1승,24-0-26,26-1-24
2022-08-14,KIA,5,102,50,51,1,0.495,20.5,3승0무7패,1패,24-0-27,26-1-24
2022-08-16,KIA,5,102,50,51,1,0.495,20.5,3승0무7패,1패,24-0-27,26-1-24
2022-08-17,KIA,5,103,51,51,1,0.5,19.5,4승0무6패,1승,25-0-27,26-1-24
