날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적
2022-04-02,KT,1,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0
2022-04-03,KT,4,2,1,1,0,0.5,1.0,1승0무1패,1패,1-0-1,0-0-0
2022-04-05,KT,6,3,1,2,0,0.333,2.0,1승0무2패,2패,1-0-2,0-0-0
2022-04-06,KT,7,4,1,3,0,0.25,3.0,1승0무3패,3패,1-0-3,0-0-0
2022-04-07,KT,7,5,1,4,0,0.2,4.0,1승0무4패,4패,1-0-4,0-0-0
2022-04-08,KT,7,6,2,4,0,0.333,4.0,2승0무4패,1승,1-0-4,1-0-0
2022-04-09,KT,8,7,2,5,0,0.286,5.0,2승0무5패,1패,1-0-4,1-0-1
2022-04-10,KT,8,8,2,6,0,0.25,6.0,2승0무6패,2패,1-0-4,1-0-2
2022-04-12,KT,8,9,2,7,0,0.222,7.0,2승0무7패,3패,1-0-5,1-0-2
2022-04-13,KT,8,9,2,7,0,0.222,7.5,2승0무7패,3패,1-0-5,1-0-2
2022-04-14,KT,8,10,2,8,0,0.2,7.5,2승0무8패,4패,1-0-6,1-0-2
2022-04-15,KT,10,11,2,9,0,0.182,8.5,1승0무9패,5패,1-0-6,1-0-3
2022-04-16,KT,8,12,3,9,0,0.25,8.5,2승0무8패,1승,1-0-6,2-0-3
2022-04-17,KT,8,13,3,10,0,0.231,9.5,2승0무8패,1패,1-0-6,2-0-4
2022-04-19,KT,8,14,4,10,0,0.286,8.5,3승0무7패,1승,1-0-6,3-0-4
2022-04-20,KT,8,15,5,10,0,0.333,8.5,4승0무6패,2승,1-0-6,4-0-4
2022-04-21,KT,8,16,6,10,0,0.375,8.5,4승0무6패,3승,1-0-6,5-0-4
2022-04-22,KT,7,17,7,10,0,0.412,7.5,5승0무5패,4승,2-0-6,5-0-4
2022-04-23,KT,6,18,8,10,0,0.444,6.5,6승0무4패,5승,3-0-6,5-0-4
2022-04-24,KT,7,19,8,11,0,0.421,7.5,6승0무4패,1패,3-0-7,5-0-4
2022-04-26,KT,7,20,8,12,0,0.4,8.5,6승0무4패,2패,3-0-8,5-0-4
2022-04-27,KT,7,21,9,12,0,0.429,8.0,7승0무3패,1승,4-0-8,5-0-4
2022-04-28,KT,6,22,10,12,0,0.455,7.0,7승0무3패,2승,5-0-8,5-0-4
2022-04-29,KT,6,23,11,12,0,0.478,7.0,8승0무2패,3승,5-0-8,6-0-4
2022-04-30,KT,6,24,11,13,0,0.458,8.0,7승0무3패,1패,5-0-8,6-0-5
2022-05-01,KT,6,25,11,14,0,0.44,8.0,6승0무4패,2패,5-0-8,6-0-6
2022-05-03,KT,6,26,12,14,0,0.462,8.0,6승0무4패,1승,6-0-8,6-0-6
2022-05-04,KT,6,27,12,15,0,0.444,8.0,5승0무5패,1패,6-0-9,6-0-6
2022-05-05,KT,6,28,13,15,0,0.464,8.0,5승0무5패,1승,7-0-9,6-0-6
2022-05-06,KT,6,29,14,15,0,0.483,7.0,6승0무4패,2승,7-0-9,7-0-6
2022-05-07,KT,7,30,14,16,0,0.467,8.0,6승0무4패,1패,7-0-9,7-0-7
2022-05-08,KT,7,31,15,16,0,0.484,8.0,6승0무4패,1승,7-0-9,8-0-7
2022-05-10,KT,8,32,15,17,0,0.469,9.0,5승0무5패,1패,7-0-9,8-0-8
2022-05-11,KT,7,33,16,17,0,0.485,8.0,5승0무5패,1승,7-0-9,9-0-8
2022-05-12,KT,8,34,16,18,0,0.471,8.0,5승0무5패,1패,7-0-9,9-0-9
2022-05-13,KT,8,35,16,19,0,0.457,8.0,5승0무5패,2패,7-0-10,9-0-9
2022-05-14,KT,8,36,16,20,0,0.444,9.0,4승0무6패,3패,7-0-11,9-0-9
2022-05-15,KT,8,37,16,21,0,0.432,9.0,4승0무6패,4패,7-0-12,9-0-9
2022-05-17,KT,8,38,17,21,0,0.447,8.5,4승0무6패,1승,8-0-12,9-0-9
2022-05-18,KT,8,39,17,22,0,0.436,9.5,3승0무7패,1패,8-0-13,9-0-9
2022-05-19,KT,8,40,17,23,0,0.425,10.5,3승0무7패,2패,8-0-14,9-0-9
2022-05-20,KT,8,41,18,23,0,0.439,10.5,3승0무7패,1승,8-0-14,10-0-9
2022-05-21,KT,8,42,19,23,0,0.452,9.5,4승0무6패,2승,8-0-14,11-0-9
2022-05-22,KT,8,43,19,24,0,0.442,10.5,3승0무7패,1패,8-0-14,11-0-10
2022-05-24,KT,8,44,19,25,0,0.432,11.5,3승0무7패,2패,8-0-14,11-0-11
2022-05-25,KT,8,45,20,25,0,0.444,11.5,4승0무6패,1승,8-0-14,12-0-11
2022-05-26,KT,8,46,21,25,0,0.457,11.5,5승0무5패,2승,8-0-14,13-0-11
2022-05-27,KT,8,47,21,26,0,0.447,12.5,5승0무5패,1패,8-0-15,13-0-11
2022-05-28,KT,8,48,21,27,0,0.438,12.5,4승0무6패,2패,8-0-16,13-0-11
2022-05-29,KT,8,49,21,28,0,0.429,13.5,4승0무6패,3패,8-0-17,13-0-11
2022-05-31,KT,8,50,22,28,0,0.44,12.5,5승0무5패,1승,8-0-17,14-0-11
2022-06-01,KT,8,51,22,29,0,0.431,13.5,4승0무6패,1패,8-0-17,14-0-12
2022-06-02,KT,8,52,23,29,0,0.442,12.5,4승0무6패,1승,8-0-17,15-0-12
2022-06-03,KT,7,53,24,29,0,0.453,11.5,5승0무5패,2승,9-0-17,15-0-12
2022-06-04,KT,7,54,25,29,0,0.463,10.5,6승0무4패,3승,10-0-17,15-0-12
2022-06-05,KT,7,55,25,29,1,0.463,11.0,5승1무4패,3승,10-1-17,15-0-12
2022-06-07,KT,7,56,25,30,1,0.455,11.0,4승1무5패,1패,10-1-17,15-0-13
2022-06-08,KT,7,57,25,30,2,0.455,11.0,4승2무4패,1패,10-1-17,15-1-13
2022-06-09,KT,7,58,26,30,2,0.464,10.0,5승2무3패,1승,10-1-17,16-1-13
2022-06-10,KT,7,59,27,30,2,0.474,10.0,6승2무2패,2승,10-1-17,17-1-13
2022-06-11,KT,6,60,28,30,2,0.483,10.0,6승2무2패,3승,10-1-17,18-1-13
2022-06-12,KT,7,61,28,31,2,0.475,11.0,6승2무2패,1패,10-1-17,18-1-14
2022-06-14,KT,5,62,29,31,2,0.483,10.0,6승2무2패,1승,11-1-17,18-1-14
2022-06-15,KT,5,63,30,31,2,0.492,9.0,6승2무2패,2승,12-1-17,18-1-14
2022-06-16,KT,5,64,30,32,2,0.484,10.0,5승2무3패,1패,12-1-18,18-1-14
2022-06-17,KT,5,65,31,32,2,0.492,10.0,6승1무3패,1승,12-1-18,19-1-14
2022-06-18,KT,5,66,31,33,2,0.484,11.0,6승1무3패,1패,12-1-18,19-1-15
2022-06-19,KT,5,67,32,33,2,0.492,10.0,7승0무3패,1승,12-1-18,20-1-15
2022-06-21,KT,5,68,33,33,2,0.5,9.0,7승0무3패,2승,13-1-18,20-1-15
2022-06-22,KT,5,69,33,34,2,0.493,10.0,6승0무4패,1패,13-1-19,20-1-15
2022-06-23,KT,5,69,33,34,2,0.493,10.0,6승0무4패,1패,13-1-19,20-1-15
2022-06-24,KT,5,70,34,34,2,0.5,10.0,6승0무4패,1승,14-1-19,20-1-15
2022-06-25,KT,5,71,34,35,2,0.493,11.0,6승0무4패,1패,14-1-20,20-1-15
2022-06-26,KT,5,72,34,36,2,0.486,12.0,5승0무5패,2패,14-1-21,20-1-15
2022-06-28,KT,5,73,35,36,2,0.493,11.0,5승0무5패,1승,14-1-21,21-1-15
2022-06-29,KT,5,74,35,37,2,0.486,12.0,5승0무5패,1패,14-1-21,21-1-16
2022-06-30,KT,5,75,36,37,2,0.493,11.5,5승0무5패,1승,14-1-21,22-1-16
