날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적
2022-04-02,LG,1,1,1,0,0,1.0,0.0,1승0무0패,1승,0-0-0,1-0-0
2022-04-03,LG,1,2,2,0,0,1.0,0.0,2승0무0패,2승,0-0-0,2-0-0
2022-04-05,LG,1,3,3,0,0,1.0,0.0,3승0무0패,3승,0-0-0,3-0-0
2022-04-06,LG,1,4,4,0,0,1.0,0.0,4승0무0패,4승,0-0-0,4-0-0
2022-04-07,LG,1,5,5,0,0,1.0,0.0,5승0무0패,5승,0-0-0,5-0-0
2022-04-08,LG,2,6,5,1,0,0.833,1.0,5승0무1패,1패,0-0-1,5-0-0
2022-04-09,LG,2,7,6,1,0,0.857,1.0,6승0무1패,1승,1-0-1,5-0-0
2022-04-10,LG,2,8,7,1,0,0.875,1.0,7승0무1패,2승,2-0-1,5-0-0
2022-04-12,LG,2,9,7,2,0,0.778,2.0,7승0무2패,1패,2-0-2,5-0-0
2022-04-13,LG,2,10,7,3,0,0.7,3.0,7승0무3패,2패,2-0-3,5-0-0
2022-04-14,LG,2,11,8,3,0,0.727,2.0,7승0무3패,1승,3-0-3,5-0-0
2022-04-15,LG,2,12,8,4,0,0.667,3.0,6승0무4패,1패,3-0-3,5-0-1
2022-04-16,LG,2,13,9,4,0,0.692,3.0,6승0무4패,1승,3-0-3,6-0-1
2022-04-17,LG,2,14,10,4,0,0.714,3.0,6승0무4패,2승,3-0-3,7-0-1
2022-04-19,LG,2,15,10,5,0,0.667,3.0,5승0무5패,1패,3-0-4,7-0-1
2022-04-20,LG,2,16,10,6,0,0.625,4.0,5승0무5패,2패,3-0-5,7-0-1
2022-04-21,LG,3,17,10,7,0,0.588,5.0,4승0무6패,3패,3-0-6,7-0-1
2022-04-22,LG,2,18,11,7,0,0.611,4.0,4승0무6패,1승,3-0-6,8-0-1
2022-04-23,LG,3,19,11,8,0,0.579,4.0,4승0무6패,1패,3-0-6,8-0-2
2022-04-24,LG,2,20,12,8,0,0.6,4.0,5승0무5패,1승,3-0-6,9-0-2
2022-04-26,LG,3,21,12,9,0,0.571,5.0,4승0무6패,1패,3-0-6,9-0-3
2022-04-27,LG,3,22,13,9,0,0.591,4.5,5승0무5패,1승,3-0-6,10-0-3
2022-04-28,LG,2,23,14,9,0,0.609,3.5,5승0무5패,2승,3-0-6,11-0-3
2022-04-29,LG,3,24,14,10,0,0.583,4.5,4승0무6패,1패,3-0-7,11-0-3
2022-04-30,LG,3,25,14,11,0,0.56,5.5,4승0무6패,2패,3-0-8,11-0-3
2022-05-01,LG,5,26,14,12,0,0.538,5.5,4승0무6패,3패,3-0-9,11-0-3
2022-05-03,LG,4,27,15,12,0,0.556,5.5,5승0무5패,1승,4-0-9,11-0-3
2022-05-04,LG,5,28,15,13,0,0.536,5.5,4승0무6패,1패,4-0-10,11-0-3
2022-05-05,LG,5,29,15,14,0,0.517,6.5,4승0무6패,2패,4-0-11,11-0-3
2022-05-06,LG,5,30,16,14,0,0.533,5.5,4승0무6패,1승,4-0-11,12-0-3
2022-05-07,LG,4,31,17,14,0,0.548,5.5,5승0무5패,2승,4-0-11,13-0-3
2022-05-08,LG,2,32,18,14,0,0.563,5.5,5승0무5패,3승,4-0-11,14-0-3
2022-05-10,LG,2,33,19,14,0,0.576,5.5,5승0무5패,4승,5-0-11,14-0-3
2022-05-11,LG,2,34,20,14,0,0.588,4.5,6승0무4패,5승,6-0-11,14-0-3
2022-05-12,LG,2,35,21,14,0,0.6,3.5,7승0무3패,6승,7-0-11,14-0-3
2022-05-13,LG,3,36,21,15,0,0.583,3.5,7승0무3패,1패,7-0-12,14-0-3
2022-05-14,LG,2,37,22,15,0,0.595,3.5,7승0무3패,1승,8-0-12,14-0-3
2022-05-15,LG,2,38,23,15,0,0.605,2.5,8승0무2패,2승,9-0-12,14-0-3
2022-05-17,LG,2,39,23,16,0,0.59,3.0,8승0무2패,1패,9-0-12,14-0-4
2022-05-18,LG,2,40,24,16,0,0.6,3.0,8승0무2패,1승,9-0-12,15-0-4
2022-05-19,LG,2,41,25,16,0,0.61,3.0,8승0무2패,2승,9-0-12,16-0-4
2022-05-20,LG,2,42,25,17,0,0.595,4.0,7승0무3패,1패,9-0-12,16-0-5
2022-05-21,LG,2,43,26,17,0,0.605,3.0,7승0무3패,1승,9-0-12,17-0-5
2022-05-22,LG,2,44,26,18,0,0.591,4.0,6승0무4패,1패,9-0-12,17-0-6
2022-05-24,LG,2,45,26,19,0,0.578,5.0,5승0무5패,2패,9-0-13,17-0-6
2022-05-25,LG,2,46,26,20,0,0.565,6.0,5승0무5패,3패,9-0-14,17-0-6
2022-05-26,LG,4,47,26,21,0,0.553,7.0,4승0무6패,4패,9-0-15,17-0-6
2022-05-27,LG,3,48,27,21,0,0.563,7.0,4승0무6패,1승,10-0-15,17-0-6
2022-05-28,LG,3,49,28,21,0,0.571,6.0,5승0무5패,2승,11-0-15,17-0-6
2022-05-29,LG,3,50,28,22,0,0.56,7.0,4승0무6패,1패,11-0-16,17-0-6
2022-05-31,LG,4,51,28,23,0,0.549,7.0,3승0무7패,2패,11-0-16,17-0-7
2022-06-01,LG,4,52,29,23,0,0.558,7.0,4승0무6패,1승,11-0-16,18-0-7
2022-06-02,LG,4,53,29,23,1,0.558,6.5,3승1무6패,1승,11-0-16,18-1-7
2022-06-03,LG,3,54,30,23,1,0.566,5.5,4승1무5패,2승,12-0-16,18-1-7
2022-06-04,LG,3,55,31,23,1,0.574,4.5,5승1무4패,3승,13-0-16,18-1-7
2022-06-05,LG,3,56,31,24,1,0.564,5.5,5승1무4패,1패,13-0-17,18-1-7
2022-06-07,LG,3,56,31,24,1,0.564,5.0,5승1무4패,1패,13-0-17,18-1-7
2022-06-08,LG,3,57,32,24,1,0.571,4.5,6승1무3패,1승,13-0-17,19-1-7
2022-06-09,LG,3,58,32,25,1,0.561,4.5,5승1무4패,1패,13-0-17,19-1-8
2022-06-10,LG,3,59,33,25,1,0.569,4.5,5승1무4패,1승,14-0-17,19-1-8
2022-06-11,LG,3,60,33,26,1,0.559,5.5,5승1무4패,1패,14-0-18,19-1-8
2022-06-12,LG,3,61,34,26,1,0.567,5.5,6승1무3패,1승,15-0-18,19-1-8
2022-06-14,LG,3,62,35,26,1,0.574,4.5,6승1무3패,2승,16-0-18,19-1-8
2022-06-15,LG,3,63,35,27,1,0.565,4.5,6승0무4패,1패,16-0-19,19-1-8
2022-06-16,LG,3,64,36,27,1,0.571,4.5,6승0무4패,1승,17-0-19,19-1-8
2022-06-17,LG,3,65,37,27,1,0.578,4.5,6승0무4패,2승,17-0-19,20-1-8
2022-06-18,LG,3,66,37,28,1,0.569,5.5,6승0무4패,1패,17-0-19,20-1-9
2022-06-19,LG,3,67,38,28,1,0.576,4.5,6승0무4패,1승,17-0-19,21-1-9
2022-06-21,LG,3,68,39,28,1,0.582,3.5,7승0무3패,2승,18-0-19,21-1-9
2022-06-22,LG,3,69,40,28,1,0.588,3.5,7승0무3패,3승,19-0-19,21-1-9
2022-06-23,LG,3,69,40,28,1,0.588,3.5,7승0무3패,3승,19-0-19,21-1-9
2022-06-24,LG,3,70,40,29,1,0.58,4.5,7승0무3패,1패,19-0-19,21-1-10
2022-06-25,LG,3,71,41,29,1,0.586,4.5,7승0무3패,1승,19-0-19,22-1-10
2022-06-26,LG,3,72,42,29,1,0.592,4.5,7승0무3패,2승,19-0-19,23-1-10
2022-06-28,LG,3,73,43,29,1,0.597,3.5,8승0무2패,3승,20-0-19,23-1-10
2022-06-29,LG,3,73,43,29,1,0.597,4.0,8승0무2패,3승,20-0-19,23-1-10
2022-06-30,LG,3,73,43,29,1,0.597,4.0,8승0무2패,3승,20-0-19,23-1-10
2022-07-01,LG,3,74,44,29,1,0.603,4.0,8승0무2패,4승,21-0-19,23-1-10
2022-07-02,LG,3,75,44,30,1,0.595,5.0,7승0무3패,1패,21-0-20,23-1-10
2022-07-03,LG,3,76,45,30,1,0.6,5.0,8승0무2패,1승,22-0-20,23-1-10
2022-07-05,LG,3,77,46,30,1,0.605,5.0,8승0무2패,2승,22-0-20,24-1-10
2022-07-06,LG,3,78,47,30,1,0.61,4.0,8승0무2패,3승,22-0-20,25-1-10
2022-07-07,LG,3,79,48,30,1,0.615,4.0,8승0무2패,4승,22-0-20,26-1-10
2022-07-08,LG,3,80,49,30,1,0.62,4.0,9승0무1패,5승,22-0-20,27-1-10
2022-07-09,LG,3,81,50,30,1,0.625,4.0,9승0무1패,6승,22-0-20,28-1-10
2022-07-10,LG,3,82,51,30,1,0.63,4.0,9승0무1패,7승,22-0-20,29-1-10
2022-07-12,LG,3,83,51,31,1,0.622,5.0,8승0무2패,1패,22-0-21,29-1-10
2022-07-13,LG,3,83,51,31,1,0.622,5.0,8승0무2패,1패,22-0-21,29-1-10
2022-07-14,LG,3,84,52,31,1,0.627,5.0,8승0무2패,1승,23-0-21,29-1-10
2022-07-22,LG,3,85,52,32,1,0.619,6.0,8승0무2패,1패,23-0-21,29-1-11
2022-07-23,LG,3,86,53,32,1,0.624,5.5,8승0무2패,1승,23-0-21,30-1-11
2022-07-24,LG,3,87,53,33,1,0.616,6.5,7승0무3패,1패,23-0-21,30-1-12
2022-07-26,LG,3,88,54,33,1,0.621,5.5,7승0무3패,1승,23-0-21,31-1-12
2022-07-27,LG,3,89,54,34,1,0.614,6.5,6승0무4패,1패,23-0-21,31-1-13
2022-07-28,LG,3,90,54,35,1,0.607,7.5,5승0무5패,2패,23-0-21,31-1-14
2022-07-29,LG,3,91,54,36,1,0.6,7.5,4승0무6패,3패,23-0-22,31-1-14
2022-07-30,LG,3,92,55,36,1,0.604,7.5,4승0무6패,1승,24-0-22,31-1-14
2022-07-31,LG,3,92,55,36,1,0.604,8.0,4승0무6패,1승,24-0-22,31-1-14
2022-08-02,LG,3,93,55,37,1,0.598,9.0,4승0무6패,1패,24-0-22,31-1-15
2022-08-03,LG,3,94,56,37,1,0.602,8.0,4승0무6패,1승,24-0-22,32-1-15
2022-08-04,LG,2,95,57,37,1,0.606,8.0,5승0무5패,2승,24-0-22,33-1-15
2022-08-05,LG,3,96,57,38,1,0.6,8.0,4승0무6패,1패,24-0-23,33-1-15
2022-08-06,LG,2,97,58,38,1,0.604,8.0,5승0무5패,1승,25-0-23,33-1-15
2022-08-07,LG,2,98,59,38,1,0.608,8.0,5승0무5패,2승,26-0-23,33-1-15
2022-08-10,LG,2,98,59,38,1,0.608,8.5,5승0무5패,2승,26-0-23,33-1-15
2022-08-11,LG,2,98,59,38,1,0.608,9.0,5승0무5패,2승,26-0-23,33-1-15
2022-08-12,LG,2,99,60,38,1,0.612,8.0,6승0무4패,3승,26-0-23,34-1-15
2022-08-13,LG,2,99,60,38,1,0.612,8.5,6승0무4패,3승,26-0-23,34-1-15
2022-08-14,LG,2,100,60,39,1,0.606,9.5,6승0무4패,1패,26-0-23,34-1-16
2022-08-16,LG,2,101,61,39,1,0.61,9.0,7승0무3패,1승,27-0-23,34-1-16
2022-08-17,LG,2,102,62,39,1,0.614,8.0,7승0무3패,2승,28-0-23,34-1-16
2022-08-18,LG,2,103,63,39,1,0.618,7.0,8승0무2패,3승,28-0-23,35-1-16
2022-08-19,LG,2,103,63,39,1,0.618,7.0,8승0무2패,3승,28-0-23,35-1-16
2022-08-20,LG,2,104,64,39,1,0.621,7.0,8승0무2패,4승,29-0-23,35-1-16
2022-08-21,LG,2,105,64,40,1,0.615,8.0,7승0무3패,1패,29-0-24,35-1-16
2022-08-23,LG,2,106,64,41,1,0.61,9.0,7승0무3패,2패,29-0-24,35-1-17
2022-08-24,LG,2,107,65,41,1,0.613,9.0,7승0무3패,1승,29-0-24,36-1-17
2022-08-25,LG,2,108,65,42,1,0.607,9.0,6승0무4패,1패,29-0-25,36-1-17
2022-08-26,LG,2,109,66,42,1,0.611,8.0,6승0무4패,1승,30-0-25,36-1-17
2022-08-27,LG,2,110,67,42,1,0.615,8.0,7승0무3패,2승,31-0-25,36-1-17
2022-08-28,LG,2,111,68,42,1,0.618,7.0,7승0무3패,3승,32-0-25,36-1-17
