날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적
2022-04-02,NC,6,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-1,0-0-0
2022-04-03,NC,8,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-2,0-0-0
2022-04-05,NC,9,3,0,3,0,0.0,3.0,0승0무3패,3패,0-0-3,0-0-0
2022-04-06,NC,7,4,1,3,0,0.25,3.0,1승0무3패,1승,1-0-3,0-0-0
2022-04-07,NC,7,5,1,4,0,0.2,4.0,1승0무4패,1패,1-0-4,0-0-0
2022-04-08,NC,7,6,2,4,0,0.333,4.0,2승0무4패,1승,1-0-4,1-0-0
2022-04-09,NC,8,7,2,5,0,0.286,5.0,2승0무5패,1패,1-0-4,1-0-1
2022-04-10,NC,8,8,2,6,0,0.25,6.0,2승0무6패,2패,1-0-4,1-0-2
2022-04-12,NC,8,9,2,7,0,0.222,7.0,2승0무7패,3패,1-0-4,1-0-3
2022-04-13,NC,9,10,2,8,0,0.2,8.0,2승0무8패,4패,1-0-4,1-0-4
2022-04-14,NC,9,11,2,9,0,0.182,8.0,2승0무8패,5패,1-0-4,1-0-5
2022-04-15,NC,8,12,3,9,0,0.25,8.0,3승0무7패,1승,2-0-4,1-0-5
2022-04-16,NC,9,13,3,10,0,0.231,9.0,3승0무7패,1패,2-0-5,1-0-5
2022-04-17,NC,9,14,3,11,0,0.214,10.0,2승0무8패,2패,2-0-6,1-0-5
2022-04-19,NC,9,15,4,11,0,0.267,9.0,3승0무7패,1승,3-0-6,1-0-5
2022-04-20,NC,9,16,5,11,0,0.313,9.0,3승0무7패,2승,4-0-6,1-0-5
2022-04-21,NC,9,17,5,12,0,0.294,10.0,3승0무7패,1패,4-0-7,1-0-5
2022-04-22,NC,10,18,5,13,0,0.278,10.0,3승0무7패,2패,4-0-7,1-0-6
2022-04-23,NC,10,19,5,14,0,0.263,10.0,3승0무7패,3패,4-0-7,1-0-7
2022-04-24,NC,10,20,6,14,0,0.3,10.0,4승0무6패,1승,4-0-7,2-0-7
2022-04-26,NC,10,21,6,15,0,0.286,11.0,4승0무6패,1패,4-0-7,2-0-8
2022-04-27,NC,10,22,6,16,0,0.273,11.5,3승0무7패,2패,4-0-7,2-0-9
2022-04-28,NC,10,23,7,16,0,0.304,10.5,4승0무6패,1승,4-0-7,3-0-9
2022-04-29,NC,9,24,8,16,0,0.333,10.5,5승0무5패,2승,5-0-7,3-0-9
2022-04-30,NC,10,25,8,17,0,0.32,11.5,4승0무6패,1패,5-0-8,3-0-9
2022-05-01,NC,10,26,8,18,0,0.308,11.5,3승0무7패,2패,5-0-9,3-0-9
2022-05-03,NC,10,27,9,18,0,0.333,11.5,4승0무6패,1승,5-0-9,4-0-9
2022-05-04,NC,10,28,9,19,0,0.321,11.5,4승0무6패,1패,5-0-9,4-0-10
2022-05-05,NC,10,29,9,20,0,0.31,12.5,4승0무6패,2패,5-0-9,4-0-11
2022-05-06,NC,10,30,9,21,0,0.3,12.5,3승0무7패,3패,5-0-10,4-0-11
2022-05-07,NC,10,31,9,22,0,0.29,13.5,3승0무7패,4패,5-0-11,4-0-11
2022-05-08,NC,10,32,9,23,0,0.281,14.5,3승0무7패,5패,5-0-12,4-0-11
2022-05-10,NC,10,33,9,24,0,0.273,15.5,2승0무8패,6패,5-0-12,4-0-12
2022-05-11,NC,10,34,9,25,0,0.265,15.5,1승0무9패,7패,5-0-12,4-0-13
2022-05-12,NC,10,35,10,25,0,0.286,14.5,2승0무8패,1승,5-0-12,5-0-13
2022-05-13,NC,9,36,11,25,0,0.306,13.5,3승0무7패,2승,5-0-12,6-0-13
2022-05-14,NC,9,37,11,26,0,0.297,14.5,2승0무8패,1패,5-0-12,6-0-14
2022-05-15,NC,9,38,12,26,0,0.316,13.5,3승0무7패,1승,5-0-12,7-0-14
2022-05-17,NC,10,39,12,27,0,0.308,14.0,3승0무7패,1패,5-0-13,7-0-14
2022-05-18,NC,9,40,13,27,0,0.325,14.0,4승0무6패,1승,6-0-13,7-0-14
2022-05-19,NC,9,41,13,28,0,0.317,15.0,4승0무6패,1패,6-0-14,7-0-14
2022-05-20,NC,9,42,13,29,0,0.31,16.0,4승0무6패,2패,6-0-14,7-0-15
2022-05-21,NC,9,43,14,29,0,0.326,15.0,5승0무5패,1승,6-0-14,8-0-15
2022-05-22,NC,9,44,14,30,0,0.318,16.0,5승0무5패,1패,6-0-14,8-0-16
2022-05-24,NC,9,45,15,30,0,0.333,16.0,5승0무5패,1승,7-0-14,8-0-16
2022-05-25,NC,10,46,15,31,0,0.326,17.0,4승0무6패,1패,7-0-15,8-0-16
2022-05-26,NC,10,47,15,32,0,0.319,18.0,4승0무6패,2패,7-0-16,8-0-16
2022-05-27,NC,10,48,15,33,0,0.313,19.0,3승0무7패,3패,7-0-17,8-0-16
2022-05-28,NC,10,49,16,33,0,0.327,18.0,4승0무6패,1승,8-0-17,8-0-16
