날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적
2022-04-02,SSG,1,1,1,0,0,1.0,0.0,1승0무0패,1승,0-0-0,1-0-0
2022-04-03,SSG,1,2,2,0,0,1.0,0.0,2승0무0패,2승,0-0-0,2-0-0
2022-04-05,SSG,1,3,3,0,0,1.0,0.0,3승0무0패,3승,0-0-0,3-0-0
2022-04-06,SSG,1,4,4,0,0,1.0,0.0,4승0무0패,4승,0-0-0,4-0-0
2022-04-07,SSG,1,5,5,0,0,1.0,0.0,5승0무0패,5승,0-0-0,5-0-0
2022-04-08,SSG,1,6,6,0,0,1.0,0.0,6승0무0패,6승,1-0-0,5-0-0
2022-04-09,SSG,1,7,7,0,0,1.0,0.0,7승0무0패,7승,2-0-0,5-0-0
2022-04-10,SSG,1,8,8,0,0,1.0,0.0,8승0무0패,8승,3-0-0,5-0-0
2022-04-12,SSG,1,9,9,0,0,1.0,0.0,9승0무0패,9승,3-0-0,6-0-0
2022-04-13,SSG,1,10,10,0,0,1.0,0.0,10승0무0패,10승,3-0-0,7-0-0
2022-04-14,SSG,1,11,10,1,0,0.909,0.0,9승0무1패,1패,3-0-0,7-0-1
2022-04-15,SSG,1,12,11,1,0,0.917,0.0,9승0무1패,1승,4-0-0,7-0-1
2022-04-16,SSG,1,13,12,1,0,0.923,0.0,9승0무1패,2승,5-0-0,7-0-1
2022-04-17,SSG,1,14,13,1,0,0.929,0.0,9승0무1패,3승,6-0-0,7-0-1
2022-04-19,SSG,1,15,13,2,0,0.867,0.0,8승0무2패,1패,6-0-1,7-0-1
2022-04-20,SSG,1,16,14,2,0,0.875,0.0,8승0무2패,1승,7-0-1,7-0-1
2022-04-21,SSG,1,17,15,2,0,0.882,0.0,8승0무2패,2승,8-0-1,7-0-1
2022-04-22,SSG,1,18,15,3,0,0.833,0.0,7승0무3패,1패,8-0-1,7-0-2
2022-04-23,SSG,1,19,15,4,0,0.789,0.0,6승0무4패,2패,8-0-1,7-0-3
2022-04-24,SSG,1,20,16,4,0,0.8,0.0,6승0무4패,1승,8-0-1,8-0-3
2022-04-26,SSG,1,21,17,4,0,0.81,0.0,7승0무3패,2승,8-0-1,9-0-3
2022-04-27,SSG,1,22,17,4,1,0.81,0.0,6승1무3패,2승,8-0-1,9-1-3
2022-04-28,SSG,1,23,17,5,1,0.773,0.0,5승1무4패,1패,8-0-1,9-1-4
2022-04-29,SSG,1,24,18,5,1,0.783,0.0,5승1무4패,1승,9-0-1,9-1-4
2022-04-30,SSG,1,25,19,5,1,0.792,0.0,6승1무3패,2승,10-0-1,9-1-4
2022-05-01,SSG,1,26,19,6,1,0.76,0.0,5승1무4패,1패,10-0-2,9-1-4
2022-05-03,SSG,1,27,20,6,1,0.769,0.0,5승1무4패,1승,11-0-2,9-1-4
2022-05-04,SSG,1,28,20,7,1,0.741,0.0,5승1무4패,1패,11-0-3,9-1-4
2022-05-05,SSG,1,29,21,7,1,0.75,0.0,6승1무3패,1승,12-0-3,9-1-4
2022-05-06,SSG,1,30,21,8,1,0.724,0.0,5승1무4패,1패,12-0-3,9-1-5
2022-05-07,SSG,1,31,22,8,1,0.733,0.0,5승1무4패,1승,12-0-3,10-1-5
2022-05-08,SSG,1,32,23,8,1,0.742,0.0,6승0무4패,2승,12-0-3,11-1-5
2022-05-10,SSG,1,33,24,8,1,0.75,0.0,7승0무3패,3승,12-0-3,12-1-5
2022-05-11,SSG,1,34,24,9,1,0.727,0.0,6승0무4패,1패,12-0-3,12-1-6
2022-05-12,SSG,1,35,24,10,1,0.706,0.0,5승0무5패,2패,12-0-3,12-1-7
2022-05-13,SSG,1,36,24,11,1,0.686,0.0,5승0무5패,3패,12-0-4,12-1-7
2022-05-14,SSG,1,37,25,11,1,0.694,0.0,5승0무5패,1승,13-0-4,12-1-7
2022-05-15,SSG,1,38,25,12,1,0.676,0.0,5승0무5패,1패,13-0-5,12-1-7
2022-05-17,SSG,1,39,25,12,2,0.676,0.0,4승1무5패,1패,13-0-5,12-2-7
2022-05-18,SSG,1,40,26,12,2,0.684,0.0,5승1무4패,1승,13-0-5,13-2-7
2022-05-19,SSG,1,41,27,12,2,0.692,0.0,5승1무4패,2승,13-0-5,14-2-7
2022-05-20,SSG,1,42,28,12,2,0.7,0.0,5승1무4패,3승,14-0-5,14-2-7
2022-05-21,SSG,1,43,28,13,2,0.683,0.0,4승1무5패,1패,14-0-6,14-2-7
2022-05-22,SSG,1,44,29,13,2,0.69,0.0,5승1무4패,1승,15-0-6,14-2-7
2022-05-24,SSG,1,45,30,13,2,0.698,0.0,6승1무3패,2승,16-0-6,14-2-7
2022-05-25,SSG,1,46,31,13,2,0.705,0.0,7승1무2패,3승,17-0-6,14-2-7
2022-05-26,SSG,1,47,32,13,2,0.711,0.0,7승1무2패,4승,18-0-6,14-2-7
2022-05-27,SSG,1,48,33,13,2,0.717,0.0,8승1무1패,5승,18-0-6,15-2-7
2022-05-28,SSG,1,49,33,14,2,0.702,0.0,8승0무2패,1패,18-0-6,15-2-8
2022-05-29,SSG,1,50,34,14,2,0.708,0.0,8승0무2패,1승,18-0-6,16-2-8
2022-05-31,SSG,1,51,34,15,2,0.694,0.0,7승0무3패,1패,18-0-7,16-2-8
2022-06-01,SSG,1,52,35,15,2,0.7,0.0,7승0무3패,1승,19-0-7,16-2-8
2022-06-02,SSG,1,53,35,16,2,0.686,0.0,7승0무3패,1패,19-0-8,16-2-8
2022-06-03,SSG,1,54,35,17,2,0.673,0.0,6승0무4패,2패,19-0-8,16-2-9
2022-06-04,SSG,1,55,35,18,2,0.66,0.0,5승0무5패,3패,19-0-8,16-2-10
2022-06-05,SSG,1,56,36,18,2,0.667,0.0,5승0무5패,1승,19-0-8,17-2-10
2022-06-07,SSG,1,57,36,19,2,0.655,0.0,4승0무6패,1패,19-0-8,17-2-11
2022-06-08,SSG,1,58,36,19,3,0.655,0.0,3승1무6패,1패,19-0-8,17-3-11
2022-06-09,SSG,1,59,36,20,3,0.643,0.0,3승1무6패,2패,19-0-8,17-3-12
2022-06-10,SSG,1,60,37,20,3,0.649,0.0,3승1무6패,1승,20-0-8,17-3-12
2022-06-11,SSG,1,61,38,20,3,0.655,0.0,4승1무5패,2승,21-0-8,17-3-12
2022-06-12,SSG,1,62,39,20,3,0.661,0.0,4승1무5패,3승,22-0-8,17-3-12
2022-06-14,SSG,1,63,39,21,3,0.65,0.0,4승1무5패,1패,22-0-8,17-3-13
2022-06-15,SSG,1,64,39,22,3,0.639,0.0,4승1무5패,2패,22-0-8,17-3-14
2022-06-16,SSG,1,65,40,22,3,0.645,0.0,5승1무4패,1승,22-0-8,18-3-14
2022-06-17,SSG,1,66,41,22,3,0.651,0.0,5승1무4패,2승,22-0-8,19-3-14
2022-06-18,SSG,1,67,42,22,3,0.656,0.0,6승1무3패,3승,22-0-8,20-3-14
2022-06-19,SSG,1,68,42,23,3,0.646,0.0,6승0무4패,1패,22-0-8,20-3-15
2022-06-21,SSG,1,69,42,24,3,0.636,0.0,6승0무4패,2패,22-0-9,20-3-15
2022-06-22,SSG,1,70,43,24,3,0.642,0.0,6승0무4패,1승,23-0-9,20-3-15
2022-06-23,SSG,1,70,43,24,3,0.642,0.0,6승0무4패,1승,23-0-9,20-3-15
2022-06-24,SSG,1,71,44,24,3,0.647,0.0,6승0무4패,2승,24-0-9,20-3-15
2022-06-25,SSG,1,72,45,24,3,0.652,0.0,6승0무4패,3승,25-0-9,20-3-15
2022-06-26,SSG,1,73,46,24,3,0.657,0.0,7승0무3패,4승,26-0-9,20-3-15
2022-06-28,SSG,1,74,46,25,3,0.648,0.0,7승0무3패,1패,26-0-9,20-3-16
2022-06-29,SSG,1,75,47,25,3,0.653,0.0,7승0무3패,1승,26-0-9,21-3-16
2022-06-30,SSG,1,75,47,25,3,0.653,0.0,7승0무3패,1승,26-0-9,21-3-16
2022-07-01,SSG,1,76,48,25,3,0.658,0.0,7승0무3패,2승,27-0-9,21-3-16
2022-07-02,SSG,1,77,49,25,3,0.662,0.0,7승0무3패,3승,28-0-9,21-3-16
2022-07-03,SSG,1,78,50,25,3,0.667,0.0,8승0무2패,4승,29-0-9,21-3-16
