날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적
2022-04-02,두산,1,1,1,0,0,1.0,0.0,1승0무0패,1승,1-0-0,0-0-0
2022-04-03,두산,1,2,2,0,0,1.0,0.0,2승0무0패,2승,2-0-0,0-0-0
2022-04-05,두산,3,3,2,1,0,0.667,1.0,2승0무1패,1패,2-0-1,0-0-0
2022-04-06,두산,4,4,2,2,0,0.5,2.0,2승0무2패,2패,2-0-2,0-0-0
2022-04-07,두산,3,5,3,2,0,0.6,2.0,3승0무2패,1승,3-0-2,0-0-0
2022-04-08,두산,3,6,4,2,0,0.667,2.0,4승0무2패,2승,3-0-2,1-0-0
2022-04-09,두산,3,7,4,3,0,0.571,3.0,4승0무3패,1패,3-0-2,1-0-1
2022-04-10,두산,3,8,5,3,0,0.625,3.0,5승0무3패,1승,3-0-2,2-0-1
2022-04-12,두산,3,9,6,3,0,0.667,3.0,6승0무3패,2승,3-0-2,3-0-1
2022-04-13,두산,3,9,6,3,0,0.667,3.5,6승0무3패,2승,3-0-2,3-0-1
2022-04-14,두산,3,10,7,3,0,0.7,2.5,7승0무3패,3승,3-0-2,4-0-1
2022-04-15,두산,4,11,7,4,0,0.636,3.5,6승0무4패,1패,3-0-3,4-0-1
2022-04-16,두산,3,12,8,4,0,0.667,3.5,6승0무4패,1승,4-0-3,4-0-1
2022-04-17,두산,4,13,8,5,0,0.615,4.5,6승0무4패,1패,4-0-4,4-0-1
2022-04-19,두산,4,14,8,6,0,0.571,4.5,6승0무4패,2패,4-0-4,4-0-2
2022-04-20,두산,4,15,9,6,0,0.6,4.5,6승0무4패,1승,4-0-4,5-0-2
2022-04-21,두산,2,16,10,6,0,0.625,4.5,6승0무4패,2승,4-0-4,6-0-2
2022-04-22,두산,3,17,10,7,0,0.588,4.5,6승0무4패,1패,4-0-5,6-0-2
2022-04-23,두산,2,18,11,7,0,0.611,3.5,6승0무4패,1승,5-0-5,6-0-2
2022-04-24,두산,3,19,11,8,0,0.579,4.5,5승0무5패,1패,5-0-6,6-0-2
2022-04-26,두산,2,20,12,8,0,0.6,4.5,5승0무5패,1승,6-0-6,6-0-2
2022-04-27,두산,2,21,13,8,0,0.619,4.0,6승0무4패,2승,7-0-6,6-0-2
2022-04-28,두산,3,22,13,9,0,0.591,4.0,5승0무5패,1패,7-0-7,6-0-2
2022-04-29,두산,4,23,13,10,0,0.565,5.0,5승0무5패,2패,7-0-7,6-0-3
2022-04-30,두산,5,24,13,11,0,0.542,6.0,5승0무5패,3패,7-0-7,6-0-4
2022-05-01,두산,4,25,14,11,0,0.56,5.0,5승0무5패,1승,7-0-7,7-0-4
2022-05-03,두산,5,26,14,12,0,0.538,6.0,4승0무6패,1패,7-0-7,7-0-5
2022-05-04,두산,4,27,15,12,0,0.556,5.0,5승0무5패,1승,7-0-7,8-0-5
2022-05-05,두산,3,28,16,12,0,0.571,5.0,5승0무5패,2승,7-0-7,9-0-5
2022-05-06,두산,4,29,16,13,0,0.552,5.0,5승0무5패,1패,7-0-8,9-0-5
2022-05-07,두산,2,30,17,13,0,0.567,5.0,5승0무5패,1승,8-0-8,9-0-5
2022-05-08,두산,3,31,17,14,0,0.548,6.0,4승0무6패,1패,8-0-9,9-0-5
2022-05-10,두산,3,32,18,14,0,0.563,6.0,5승0무5패,1승,8-0-9,10-0-5
2022-05-11,두산,3,33,19,14,0,0.576,5.0,6승0무4패,2승,8-0-9,11-0-5
2022-05-12,두산,3,34,20,14,0,0.588,4.0,7승0무3패,3승,8-0-9,12-0-5
2022-05-13,두산,2,34,20,14,0,0.588,3.5,7승0무3패,3승,8-0-9,12-0-5
2022-05-14,두산,3,35,20,15,0,0.571,4.5,6승0무4패,1패,8-0-9,12-0-6
2022-05-15,두산,3,36,20,16,0,0.556,4.5,6승0무4패,2패,8-0-9,12-0-7
2022-05-17,두산,3,37,20,16,1,0.556,4.5,5승1무4패,2패,8-1-9,12-0-7
2022-05-18,두산,3,38,20,17,1,0.541,5.5,4승1무5패,3패,8-1-10,12-0-7
2022-05-19,두산,5,39,20,18,1,0.526,6.5,4승1무5패,4패,8-1-11,12-0-7
2022-05-20,두산,7,40,20,19,1,0.513,7.5,3승1무6패,5패,8-1-12,12-0-7
2022-05-21,두산,4,41,21,19,1,0.525,6.5,4승1무5패,1승,9-1-12,12-0-7
2022-05-22,두산,7,42,21,20,1,0.512,7.5,3승1무6패,1패,9-1-13,12-0-7
2022-05-24,두산,7,43,21,21,1,0.5,8.5,2승1무7패,2패,9-1-13,12-0-8
2022-05-25,두산,7,44,21,22,1,0.488,9.5,1승1무8패,3패,9-1-13,12-0-9
2022-05-26,두산,5,45,22,22,1,0.5,9.5,2승1무7패,1승,9-1-13,13-0-9
2022-05-27,두산,5,46,23,22,1,0.511,9.5,3승1무6패,2승,9-1-13,14-0-9
2022-05-28,두산,5,47,23,23,1,0.5,9.5,3승0무7패,1패,9-1-13,14-0-10
2022-05-29,두산,5,48,24,23,1,0.511,9.5,4승0무6패,1승,9-1-13,15-0-10
2022-05-31,두산,5,49,24,24,1,0.5,9.5,4승0무6패,1패,9-1-14,15-0-10
2022-06-01,두산,6,50,24,25,1,0.49,10.5,4승0무6패,2패,9-1-15,15-0-10
2022-06-02,두산,6,51,24,26,1,0.48,10.5,3승0무7패,3패,9-1-16,15-0-10
2022-06-03,두산,6,52,24,27,1,0.471,10.5,3승0무7패,4패,9-1-16,15-0-11
2022-06-04,두산,6,53,25,27,1,0.481,9.5,4승0무6패,1승,9-1-16,16-0-11
2022-06-05,두산,6,53,25,27,1,0.481,10.0,4승0무6패,1승,9-1-16,16-0-11
2022-06-07,두산,6,54,26,27,1,0.491,9.0,5승0무5패,2승,10-1-16,16-0-11
2022-06-08,두산,6,55,26,28,1,0.481,9.5,4승0무6패,1패,10-1-17,16-0-11
2022-06-09,두산,6,56,27,28,1,0.491,8.5,4승0무6패,1승,11-1-17,16-0-11
2022-06-10,두산,6,57,27,29,1,0.482,9.5,4승0무6패,1패,11-1-17,16-0-12
2022-06-11,두산,5,58,28,29,1,0.491,9.5,4승0무6패,1승,11-1-17,17-0-12
2022-06-12,두산,6,59,28,30,1,0.483,10.5,4승0무6패,1패,11-1-17,17-0-13
2022-06-14,두산,7,60,28,31,1,0.475,10.5,4승0무6패,2패,11-1-17,17-0-14
