날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적
2022-04-02,삼성,6,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-0,0-0-1
2022-04-03,삼성,4,2,1,1,0,0.5,1.0,1승0무1패,1승,0-0-0,1-0-1
2022-04-05,삼성,3,3,2,1,0,0.667,1.0,2승0무1패,2승,0-0-0,2-0-1
2022-04-06,삼성,3,4,3,1,0,0.75,1.0,3승0무1패,3승,0-0-0,3-0-1
2022-04-07,삼성,3,5,3,2,0,0.6,2.0,3승0무2패,1패,0-0-0,3-0-2
2022-04-08,삼성,4,6,3,3,0,0.5,3.0,3승0무3패,2패,0-0-1,3-0-2
2022-04-09,삼성,5,7,3,4,0,0.429,4.0,3승0무4패,3패,0-0-2,3-0-2
2022-04-10,삼성,6,8,3,5,0,0.375,5.0,3승0무5패,4패,0-0-3,3-0-2
2022-04-12,삼성,5,9,4,5,0,0.444,5.0,4승0무5패,1승,1-0-3,3-0-2
2022-04-13,삼성,5,10,5,5,0,0.5,5.0,5승0무5패,2승,2-0-3,3-0-2
2022-04-14,삼성,5,11,6,5,0,0.545,4.0,6승0무4패,3승,3-0-3,3-0-2
2022-04-15,삼성,6,12,6,6,0,0.5,5.0,5승0무5패,1패,3-0-3,3-0-3
2022-04-16,삼성,6,13,6,7,0,0.462,6.0,4승0무6패,2패,3-0-3,3-0-4
2022-04-17,삼성,7,14,6,8,0,0.429,7.0,3승0무7패,3패,3-0-3,3-0-5
2022-04-19,삼성,7,15,6,9,0,0.4,7.0,3승0무7패,4패,3-0-3,3-0-6
2022-04-20,삼성,7,16,6,10,0,0.375,8.0,3승0무7패,5패,3-0-3,3-0-7
2022-04-21,삼성,7,17,7,10,0,0.412,8.0,4승0무6패,1승,3-0-3,4-0-7
2022-04-22,삼성,8,18,7,11,0,0.389,8.0,4승0무6패,1패,3-0-4,4-0-7
2022-04-23,삼성,8,19,7,12,0,0.368,8.0,3승0무7패,2패,3-0-5,4-0-7
2022-04-24,삼성,8,20,7,13,0,0.35,9.0,2승0무8패,3패,3-0-6,4-0-7
2022-04-26,삼성,8,21,8,13,0,0.381,9.0,2승0무8패,1승,4-0-6,4-0-7
2022-04-27,삼성,8,22,8,14,0,0.364,9.5,2승0무8패,1패,4-0-7,4-0-7
