날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적
2022-04-02,키움,6,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-1,0-0-0
2022-04-03,키움,4,2,1,1,0,0.5,1.0,1승0무1패,1승,1-0-1,0-0-0
2022-04-05,키움,6,3,1,2,0,0.333,2.0,1승0무2패,1패,1-0-2,0-0-0
2022-04-06,키움,7,4,1,3,0,0.25,3.0,1승0무3패,2패,1-0-3,0-0-0
2022-04-07,키움,7,5,1,4,0,0.2,4.0,1승0무4패,3패,1-0-4,0-0-0
2022-04-08,키움,7,6,2,4,0,0.333,4.0,2승0무4패,1승,1-0-4,1-0-0
2022-04-09,키움,5,7,3,4,0,0.429,4.0,3승0무4패,2승,1-0-4,2-0-0
2022-04-10,키움,4,8,4,4,0,0.5,4.0,4승0무4패,3승,1-0-4,3-0-0
2022-04-12,키움,4,9,5,4,0,0.556,4.0,5승0무4패,4승,2-0-4,3-0-0
2022-04-13,키움,4,10,6,4,0,0.6,4.0,6승0무4패,5승,3-0-4,3-0-0
2022-04-14,키움,4,11,7,4,0,0.636,3.0,7승0무3패,6승,4-0-4,3-0-0
2022-04-15,키움,2,12,8,4,0,0.667,3.0,7승0무3패,7승,4-0-4,4-0-0
2022-04-16,키움,4,13,8,5,0,0.615,4.0,7승0무3패,1패,4-0-4,4-0-1
2022-04-17,키움,3,14,9,5,0,0.643,4.0,8승0무2패,1승,4-0-4,5-0-1
2022-04-19,키움,2,15,10,5,0,0.667,3.0,9승0무1패,2승,4-0-4,6-0-1
2022-04-20,키움,2,16,10,6,0,0.625,4.0,8승0무2패,1패,4-0-4,6-0-2
2022-04-21,키움,3,17,10,7,0,0.588,5.0,7승0무3패,2패,4-0-4,6-0-3
2022-04-22,키움,4,18,10,8,0,0.556,5.0,6승0무4패,3패,4-0-5,6-0-3
2022-04-23,키움,3,19,11,8,0,0.579,4.0,6승0무4패,1승,5-0-5,6-0-3
2022-04-24,키움,5,20,11,9,0,0.55,5.0,5승0무5패,1패,5-0-6,6-0-3
2022-04-26,키움,5,21,11,10,0,0.524,6.0,4승0무6패,2패,5-0-6,6-0-4
2022-04-27,키움,5,22,12,10,0,0.545,5.5,4승0무6패,1승,5-0-6,7-0-4
2022-04-28,키움,5,23,13,10,0,0.565,4.5,5승0무5패,2승,5-0-6,8-0-4
2022-04-29,키움,5,24,13,11,0,0.542,5.5,4승0무6패,1패,5-0-7,8-0-4
2022-04-30,키움,3,25,14,11,0,0.56,5.5,4승0무6패,1승,6-0-7,8-0-4
2022-05-01,키움,3,26,15,11,0,0.577,4.5,5승0무5패,2승,7-0-7,8-0-4
2022-05-03,키움,3,27,16,11,0,0.593,4.5,6승0무4패,3승,7-0-7,9-0-4
2022-05-04,키움,3,28,16,12,0,0.571,4.5,6승0무4패,1패,7-0-7,9-0-5
2022-05-05,키움,4,29,16,13,0,0.552,5.5,5승0무5패,2패,7-0-7,9-0-6
2022-05-06,키움,3,30,17,13,0,0.567,4.5,6승0무4패,1승,8-0-7,9-0-6
2022-05-07,키움,4,31,17,14,0,0.548,5.5,6승0무4패,1패,8-0-8,9-0-6
2022-05-08,키움,5,32,17,15,0,0.531,6.5,5승0무5패,2패,8-0-9,9-0-6
2022-05-10,키움,5,33,17,16,0,0.515,7.5,4승0무6패,3패,8-0-10,9-0-6
2022-05-11,키움,5,34,17,17,0,0.5,7.5,4승0무6패,4패,8-0-11,9-0-6
2022-05-12,키움,7,35,17,18,0,0.486,7.5,3승0무7패,5패,8-0-12,9-0-6
2022-05-13,키움,7,36,18,18,0,0.5,6.5,3승0무7패,1승,8-0-12,10-0-6
2022-05-14,키움,6,37,19,18,0,0.514,6.5,3승0무7패,2승,8-0-12,11-0-6
2022-05-15,키움,6,38,20,18,0,0.526,5.5,4승0무6패,3승,8-0-12,12-0-6
2022-05-17,키움,5,39,21,18,0,0.538,5.0,5승0무5패,4승,8-0-12,13-0-6
2022-05-18,키움,6,40,21,19,0,0.525,6.0,4승0무6패,1패,8-0-12,13-0-7
2022-05-19,키움,4,41,22,19,0,0.537,6.0,5승0무5패,1승,8-0-12,14-0-7
2022-05-20,키움,3,42,23,19,0,0.548,6.0,6승0무4패,2승,9-0-12,14-0-7
2022-05-21,키움,3,43,24,19,0,0.558,5.0,7승0무3패,3승,10-0-12,14-0-7
2022-05-22,키움,3,44,24,20,0,0.545,6.0,7승0무3패,1패,10-0-13,14-0-7
2022-05-24,키움,3,45,25,20,0,0.556,6.0,8승0무2패,1승,10-0-13,15-0-7
2022-05-25,키움,2,46,26,20,0,0.565,6.0,8승0무2패,2승,10-0-13,16-0-7
2022-05-26,키움,2,47,27,20,0,0.574,6.0,8승0무2패,3승,10-0-13,17-0-7
2022-05-27,키움,2,48,28,20,0,0.583,6.0,8승0무2패,4승,10-0-13,18-0-7
2022-05-28,키움,2,49,29,20,0,0.592,5.0,8승0무2패,5승,10-0-13,19-0-7
2022-05-29,키움,2,50,30,20,0,0.6,5.0,9승0무1패,6승,10-0-13,20-0-7
2022-05-31,키움,2,51,31,20,0,0.608,4.0,9승0무1패,7승,11-0-13,20-0-7
2022-06-01,키움,2,52,31,21,0,0.596,5.0,8승0무2패,1패,11-0-14,20-0-7
