날짜,팀명,순위,총 경기수,승리,패배,무승부,승률,게임차,최근 10경기 전적,연속 승패 현황,홈 경기 전적,원정 경기 전적
2022-04-02,한화,6,1,0,1,0,0.0,1.0,0승0무1패,1패,0-0-0,0-0-1
2022-04-03,한화,8,2,0,2,0,0.0,2.0,0승0무2패,2패,0-0-0,0-0-2
2022-04-05,한화,9,3,0,3,0,0.0,3.0,0승0무3패,3패,0-0-0,0-0-3
2022-04-06,한화,10,4,0,4,0,0.0,4.0,0승0무4패,4패,0-0-0,0-0-4
2022-04-07,한화,10,5,0,5,0,0.0,5.0,0승0무5패,5패,0-0-0,0-0-5
2022-04-08,한화,10,6,0,6,0,0.0,6.0,0승0무6패,6패,0-0-1,0-0-5
2022-04-09,한화,10,7,1,6,0,0.143,6.0,1승0무6패,1승,1-0-1,0-0-5
2022-04-10,한화,8,8,2,6,0,0.25,6.0,2승0무6패,2승,2-0-1,0-0-5
2022-04-12,한화,8,9,2,7,0,0.222,7.0,2승0무7패,1패,2-0-1,0-0-6
2022-04-13,한화,9,10,2,8,0,0.2,8.0,2승0무8패,2패,2-0-1,0-0-7
2022-04-14,한화,9,11,2,9,0,0.182,8.0,2승0무8패,3패,2-0-1,0-0-8
2022-04-15,한화,8,12,3,9,0,0.25,8.0,3승0무7패,1승,3-0-1,0-0-8
2022-04-16,한화,9,13,3,10,0,0.231,9.0,3승0무7패,1패,3-0-2,0-0-8
2022-04-17,한화,9,14,3,11,0,0.214,10.0,3승0무7패,2패,3-0-3,0-0-8
2022-04-19,한화,9,15,4,11,0,0.267,9.0,4승0무6패,1승,3-0-3,1-0-8
2022-04-20,한화,10,16,4,12,0,0.25,10.0,4승0무6패,1패,3-0-3,1-0-9
2022-04-21,한화,9,17,5,12,0,0.294,10.0,4승0무6패,1승,3-0-3,2-0-9
2022-04-22,한화,9,18,6,12,0,0.333,9.0,4승0무6패,2승,4-0-3,2-0-9
2022-04-23,한화,8,19,7,12,0,0.368,8.0,5승0무5패,3승,5-0-3,2-0-9
2022-04-24,한화,8,20,7,13,0,0.35,9.0,5승0무5패,1패,5-0-4,2-0-9
2022-04-26,한화,8,21,8,13,0,0.381,9.0,6승0무4패,1승,6-0-4,2-0-9
2022-04-27,한화,8,22,8,14,0,0.364,9.5,5승0무5패,1패,6-0-5,2-0-9
2022-04-28,한화,8,23,8,15,0,0.348,9.5,5승0무5패,2패,6-0-6,2-0-9
2022-04-29,한화,9,24,8,16,0,0.333,10.5,5승0무5패,3패,6-0-6,2-0-10
2022-04-30,한화,9,25,9,16,0,0.36,10.5,5승0무5패,1승,6-0-6,3-0-10
2022-05-01,한화,9,26,10,16,0,0.385,9.5,6승0무4패,2승,6-0-6,4-0-10
2022-05-03,한화,9,27,10,17,0,0.37,10.5,5승0무5패,1패,6-0-6,4-0-11
2022-05-04,한화,9,28,11,17,0,0.393,9.5,5승0무5패,1승,6-0-6,5-0-11
2022-05-05,한화,9,29,11,18,0,0.379,10.5,4승0무6패,1패,6-0-6,5-0-12
2022-05-06,한화,9,30,11,19,0,0.367,10.5,4승0무6패,2패,6-0-7,5-0-12
2022-05-07,한화,9,31,11,20,0,0.355,11.5,3승0무7패,3패,6-0-8,5-0-12
2022-05-08,한화,9,32,11,21,0,0.344,12.5,3승0무7패,4패,6-0-9,5-0-12
2022-05-10,한화,9,33,11,22,0,0.333,13.5,3승0무7패,5패,6-0-9,5-0-13
2022-05-11,한화,9,34,11,23,0,0.324,13.5,3승0무7패,6패,6-0-9,5-0-14
2022-05-12,한화,9,35,11,24,0,0.314,13.5,2승0무8패,7패,6-0-9,5-0-15
2022-05-13,한화,9,36,11,25,0,0.306,13.5,1승0무9패,8패,6-0-10,5-0-15
2022-05-14,한화,9,37,11,26,0,0.297,14.5,1승0무9패,9패,6-0-11,5-0-15
2022-05-15,한화,9,38,12,26,0,0.316,13.5,1승0무9패,1승,7-0-11,5-0-15
2022-05-17,한화,9,39,13,26,0,0.333,13.0,2승0무8패,2승,8-0-11,5-0-15
2022-05-18,한화,9,40,13,27,0,0.325,14.0,2승0무8패,1패,8-0-12,5-0-15
2022-05-19,한화,9,41,13,28,0,0.317,15.0,2승0무8패,2패,8-0-13,5-0-15
2022-05-20,한화,9,42,13,29,0,0.31,16.0,2승0무8패,3패,8-0-13,5-0-16
2022-05-21,한화,10,43,13,30,0,0.302,16.0,2승0무8패,4패,8-0-13,5-0-17
