날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.04.02(토),13:59,16:40,2:41,쿠에바스,뷰캐넌,수원
2022.04.03(일),13:59,17:20,3:21,배제성,수아레즈,수원
2022.04.05(화),18:32,22:26,3:54,이영하,원태인,잠실
2022.04.06(수),18:31,21:31,3:00,곽빈,양창섭,잠실
2022.04.07(목),18:31,22:24,3:53,박신지,허윤동,잠실
2022.04.08(금),18:30,21:07,2:37,뷰캐넌,안우진,대구
2022.04.09(토),17:00,19:49,2:49,수아레즈,요키시,대구
2022.04.10(일),14:00,16:51,2:51,백정현,애플러,대구
2022.04.12(화),18:30,21:13,2:43,원태인,카펜터,대구
2022.04.13(수),18:30,21:20,2:50,양창섭,김민우,대구
2022.04.14(목),18:30,21:35,3:05,뷰캐넌,박윤철,대구
2022.04.15(금),18:30,21:09,2:39,김광현,수아레즈,문학
2022.04.16(토),14:00,17:14,3:14,노경은,백정현,문학
2022.04.17(일),14:00,17:12,3:12,노바,원태인,문학
2022.04.19(화),18:30,22:11,3:41,이재학,양창섭,창원
2022.04.20(수),18:32,21:18,2:46,루친스키,뷰캐넌,창원
2022.04.21(목),18:32,22:01,3:29,파슨스,수아레즈,창원
2022.04.22(금),18:31,21:34,3:03,백정현,반즈,대구
2022.04.23(토),17:00,19:59,2:59,황동재,스파크맨,대구
2022.04.24(일),14:01,17:07,3:06,양창섭,이인복,대구
2022.04.26(화),18:30,21:32,3:02,뷰캐넌,플럿코,대구
2022.04.27(수),18:30,21:32,3:02,수아레즈,이민호,대구
2022.04.28(목),18:30,21:41,3:11,백정현,켈리,대구
2022.04.29(금),18:31,22:06,3:35,이의리,황동재,광주
2022.04.30(토),14:00,17:27,3:27,한승혁,원태인,광주
2022.05.01(일),14:00,16:57,2:57,양현종,뷰캐넌,광주
2022.05.03(화),18:31,22:30,3:59,수아레즈,파슨스,대구
2022.05.04(수),18:30,21:59,3:29,백정현,김시훈,대구
2022.05.05(목),14:01,17:10,3:09,황동재,송명기,대구
2022.05.06(금),18:30,21:10,2:40,이인복,원태인,사직
2022.05.07(토),17:00,19:50,2:50,김진욱,뷰캐넌,사직
2022.05.08(일),14:00,17:32,3:32,반즈,수아레즈,사직
2022.05.10(화),18:30,21:33,3:03,백정현,이태양,대구
2022.05.11(수),18:30,22:40,4:10,황동재,노바,대구
2022.05.12(목),18:30,21:32,3:02,원태인,오원석,대구
2022.05.14(토),17:01,19:27,2:26,뷰캐넌,스탁,대구
2022.05.15(일),14:01,17:09,3:08,수아레즈,최원준,대구
2022.05.17(화),18:29,21:32,3:03,이민우,백정현,대전
2022.05.18(수),18:29,21:55,3:26,김민우,황동재,대전
2022.05.19(목),18:30,22:03,3:33,남지민,원태인,대전
2022.05.20(금),18:30,21:08,2:38,뷰캐넌,소형준,대구
2022.05.21(토),17:01,21:26,4:25,수아레즈,배제성,대구
2022.05.22(일),14:00,17:05,3:05,백정현,데스파이네,대구
2022.05.24(화),18:31,21:30,2:59,황동재,한승혁,대구
2022.05.25(수),18:31,22:01,3:30,원태인,양현종,대구
2022.05.26(목),18:31,22:25,3:54,뷰캐넌,로니,대구
2022.05.27(금),18:30,21:43,3:13,이민호,수아레즈,잠실
2022.05.28(토),17:00,19:56,2:56,켈리,백정현,잠실
2022.05.29(일),14:00,17:35,3:35,김윤식,황동재,잠실
2022.05.31(화),18:30,21:24,2:54,안우진,원태인,고척
2022.06.01(수),17:00,20:05,3:05,요키시,뷰캐넌,고척
2022.06.02(목),18:30,22:14,3:44,애플러,수아레즈,고척
2022.06.03(금),18:30,21:51,3:21,허윤동,이영하,대구
2022.06.04(토),17:01,20:54,3:53,황동재,곽빈,대구
2022.06.07(화),18:31,22:37,4:06,이인복,뷰캐넌,사직
2022.06.08(수),18:30,21:26,2:56,반즈,수아레즈,사직
2022.06.09(목),18:30,22:56,4:26,스파크맨,허윤동,사직
2022.06.10(금),18:30,21:39,3:09,황동재,구창모,대구
2022.06.11(토),17:01,20:30,3:29,원태인,신민혁,대구
2022.06.12(일),17:00,20:02,3:02,뷰캐넌,루친스키,대구
2022.06.14(화),18:30,21:19,2:49,플럿코,수아레즈,잠실
2022.06.15(수),18:30,21:36,3:06,이민호,허윤동,잠실
2022.06.16(목),18:30,21:16,2:46,켈리,백정현,잠실
2022.06.17(금),18:29,21:06,2:37,양현종,원태인,광주
2022.06.18(토),17:00,20:01,3:01,한승혁,뷰캐넌,광주
2022.06.19(일),17:00,20:26,3:26,로니,수아레즈,광주
2022.06.21(화),18:30,21:57,3:27,허윤동,애플러,대구
2022.06.22(수),18:31,21:37,3:06,백정현,최원태,대구
2022.06.23(목),18:31,21:07,2:36,원태인,안우진,대구
2022.06.24(금),18:30,21:36,3:06,장민재,뷰캐넌,대전
2022.06.25(토),17:00,20:19,3:19,김민우,수아레즈,대전
2022.06.26(일),17:00,20:08,3:08,남지민,허윤동,대전
2022.06.28(화),18:30,22:00,3:30,백정현,소형준,대구
2022.06.29(수),18:30,21:15,2:45,원태인,배제성,대구
2022.06.30(목),18:31,21:45,3:14,뷰캐넌,데스파이네,대구
2022.07.02(토),18:00,21:23,3:23,루친스키,허윤동,창원
2022.07.03(일),17:01,20:54,3:53,송명기,수아레즈,창원
2022.07.05(화),18:30,21:06,2:36,백정현,켈리,대구
2022.07.06(수),18:30,22:03,3:33,원태인,이민호,대구
2022.07.07(목),18:31,22:08,3:37,뷰캐넌,김윤식,대구
2022.07.08(금),19:19,22:57,3:38,허윤동,김광현,대구
2022.07.09(토),18:01,22:12,4:11,수아레즈,이태양,대구
2022.07.10(일),17:01,20:14,3:13,백정현,오원석,대구
2022.07.12(화),18:31,21:52,3:21,데스파이네,원태인,수원
2022.07.14(목),18:30,21:08,2:38,고영표,뷰캐넌,수원
