날짜,시작시간,종료시간,경기시간,홈팀 선발,어웨이팀 선발,구장
2022.04.02(토),14:03,16:56,2:53,루친스키,폰트,창원
2022.04.03(일),13:59,17:02,3:03,파슨스,노경은,창원
2022.04.05(화),18:31,21:29,2:58,데스파이네,노바,수원
2022.04.06(수),18:30,20:52,2:22,고영표,오원석,수원
2022.04.07(목),18:31,21:19,2:48,소형준,이태양,수원
2022.04.08(금),18:31,21:12,2:41,폰트,양현종,문학
2022.04.09(토),17:00,19:35,2:35,김광현,이민우,문학
2022.04.10(일),14:00,16:57,2:57,노경은,로니,문학
2022.04.12(화),18:30,20:58,2:28,임찬규,노바,잠실
2022.04.13(수),18:30,22:11,3:41,손주영,오원석,잠실
2022.04.14(목),18:30,21:20,2:50,플럿코,폰트,잠실
2022.04.15(금),18:30,21:09,2:39,김광현,수아레즈,문학
2022.04.16(토),14:00,17:14,3:14,노경은,백정현,문학
2022.04.17(일),14:00,17:12,3:12,노바,원태인,문학
2022.04.19(화),18:30,21:58,3:28,오원석,정찬헌,문학
2022.04.20(수),18:31,20:59,2:28,폰트,안우진,문학
2022.04.21(목),18:30,21:13,2:43,김광현,애플러,문학
2022.04.22(금),18:30,21:37,3:07,장민재,노경은,대전
2022.04.23(토),16:59,19:58,2:59,남지민,노바,대전
2022.04.24(일),13:59,17:28,3:29,김민우,오원석,대전
2022.04.26(화),18:59,22:09,3:10,김진욱,폰트,사직
2022.04.27(수),18:30,22:26,3:56,박세웅,김광현,사직
2022.04.28(목),18:30,21:07,2:37,반즈,노경은,사직
2022.04.29(금),18:30,23:21,4:51,노바,최승용,문학
2022.04.30(토),17:01,20:15,3:14,오원석,곽빈,문학
2022.05.01(일),14:00,16:45,2:45,폰트,스탁,문학
2022.05.03(화),18:30,21:40,3:10,김광현,윤대경,문학
2022.05.04(수),18:31,21:59,3:28,이태양,장민재,문학
2022.05.05(목),14:00,17:08,3:08,노바,남지민,문학
2022.05.06(금),18:30,21:24,2:54,정찬헌,오원석,고척
2022.05.07(토),17:00,19:45,2:45,안우진,폰트,고척
2022.05.08(일),14:00,17:01,3:01,요키시,김광현,고척
2022.05.10(화),18:30,21:33,3:03,백정현,이태양,대구
2022.05.11(수),18:30,22:40,4:10,황동재,노바,대구
2022.05.12(목),18:30,21:32,3:02,원태인,오원석,대구
2022.05.13(금),18:30,21:27,2:57,폰트,루친스키,문학
2022.05.14(토),17:00,20:08,3:08,김광현,파슨스,문학
2022.05.15(일),14:00,17:45,3:45,이태양,김시훈,문학
2022.05.17(화),18:31,23:19,4:48,이영하,노바,잠실
2022.05.18(수),18:31,23:15,4:44,곽빈,오원석,잠실
2022.05.19(목),18:30,21:49,3:19,최승용,폰트,잠실
2022.05.20(금),18:30,21:44,3:14,김광현,플럿코,문학
2022.05.21(토),17:01,20:31,3:30,이태양,이민호,문학
2022.05.22(일),14:00,17:14,3:14,노바,켈리,문학
2022.05.24(화),18:30,21:24,2:54,오원석,반즈,문학
2022.05.25(수),18:32,21:09,2:03,폰트,이인복,문학
2022.05.26(목),18:29,21:57,3:28,김광현,나균안,문학
2022.05.27(금),18:30,21:35,3:05,임기영,이태양,광주
2022.05.28(토),14:01,16:43,2:42,이의리,노바,광주
2022.05.29(일),14:00,17:49,3:49,한승혁,오원석,광주
2022.05.31(화),18:29,20:50,2:21,폰트,고영표,문학
2022.06.01(수),16:59,19:46,2:47,김광현,소형준,문학
2022.06.02(목),18:30,21:50,3:20,이태양,데스파이네,문학
2022.06.03(금),18:30,21:17,2:47,켈리,노바,잠실
2022.06.04(토),17:01,20:28,3:27,김윤식,오원석,잠실
2022.06.05(일),17:00,19:41,2:41,임준형,폰트,잠실
2022.06.07(화),18:32,20:58,2:26,루친스키,김광현,창원
2022.06.08(수),18:31,23:01,4:30,이용준,이태양,창원
2022.06.09(목),18:30,21:42,3:12,이재학,김건우,창원
2022.06.10(금),18:30,21:18,2:48,오원석,장민재,문학
2022.06.11(토),17:00,19:34,2:34,폰트,김민우,문학
2022.06.12(일),17:00,21:15,4:15,전영준,남지민,문학
2022.06.14(화),18:30,21:33,3:03,소형준,이태양,수원
2022.06.15(수),18:29,21:26,2:48,엄상백,노바,수원
2022.06.16(목),18:29,21:47,3:18,배제성,오원석,수원
2022.06.17(금),18:30,21:11,2:41,박세웅,폰트,사직
2022.06.18(토),17:00,20:31,3:31,이인복,김광현,사직
2022.06.19(일),17:00,20:19,3:19,김진욱,이태양,사직
2022.06.21(화),18:30,21:48,3:18,이건욱,이영하,문학
2022.06.22(수),18:30,22:04,3:34,오원석,곽빈,문학
2022.06.24(금),18:30,21:30,3:00,폰트,루친스키,문학
2022.06.25(토),17:00,20:14,3:14,김광현,송명기,문학
2022.06.26(일),17:00,20:26,3:26,이태양,신민혁,문학
2022.06.28(화),18:29,21:38,3:09,라미레즈,오원석,대전
2022.06.29(수),18:30,22:18,3:10,윤대경,노경은,대전
2022.07.01(금),18:29,22:15,3:46,폰트,김도현,문학
2022.07.02(토),18:00,21:12,3:12,김광현,임기영,문학
2022.07.03(일),17:00,19:34,2:34,이태양,이의리,문학
2022.07.05(화),18:30,21:29,2:59,오원석,박세웅,문학
2022.07.06(수),18:30,22:48,3:09,노경은,이인복,문학
2022.07.07(목),18:30,21:20,2:50,폰트,김진욱,문학
2022.07.08(금),19:19,22:57,3:38,허윤동,김광현,대구
2022.07.09(토),18:01,22:12,4:11,수아레즈,이태양,대구
2022.07.10(일),17:01,20:14,3:13,백정현,오원석,대구
2022.07.12(화),18:30,22:10,3:40,노경은,요키시,문학
2022.07.14(목),18:30,21:03,2:33,폰트,정찬헌,문학
2022.07.22(금),18:30,22:09,3:39,스탁,김광현,잠실
2022.07.24(일),17:00,20:20,3:20,곽빈,폰트,잠실
2022.07.26(화),18:30,21:10,2:40,오원석,플럿코,문학
2022.07.27(수),18:30,21:30,3:00,모리만도,임찬규,문학
2022.07.28(목),18:30,21:11,2:41,김광현,켈리,문학
2022.07.29(금),18:30,21:25,2:55,양현종,이태양,광주
2022.07.30(토),18:00,21:42,3:42,이의리,폰트,광주
2022.07.31(일),17:00,20:45,3:16,임기영,박종훈,광주
2022.08.02(화),18:30,21:52,3:22,정찬헌,모리만도,고척
2022.08.03(수),18:30,21:17,2:47,안우진,김광현,고척
2022.08.04(목),18:30,22:10,3:40,요키시,이태양,고척
2022.08.05(금),18:31,21:41,3:10,폰트,황동재,문학
2022.08.06(토),18:00,22:44,4:44,박종훈,허윤동,문학
2022.08.07(일),17:00,20:39,3:39,모리만도,장필준,문학
2022.08.10(수),18:30,21:14,2:44,김광현,벤자민,문학
2022.08.11(목),18:30,21:36,3:06,오원석,데스파이네,문학
2022.08.12(금),18:30,21:31,3:01,폰트,고영표,문학
2022.08.13(토),18:01,21:47,3:46,이영하,박종훈,잠실
2022.08.14(일),17:01,21:17,3:46,곽빈,모리만도,잠실
2022.08.17(수),18:31,21:31,3:00,파노니,김광현,광주
2022.08.18(목),18:30,21:53,3:23,폰트,이민호,문학
2022.08.20(토),14:00,17:52,3:52,정찬헌,박종훈,고척
2022.08.21(일),14:00,16:58,2:58,안우진,모리만도,고척
2022.08.23(화),18:30,21:43,3:13,김광현,수아레즈,문학
2022.08.24(수),18:30,21:26,2:56,이태양,양창섭,문학
2022.08.25(목),18:30,22:01,3:31,엄상백,오원석,수원
2022.08.26(금),18:31,21:44,3:13,소형준,박종훈,수원
2022.08.27(토),18:00,21:03,3:03,모리만도,서준원,문학
2022.08.28(일),17:00,20:09,3:09,김광현,스트레일리,문학
2022.08.31(수),18:30,21:24,2:54,수아레즈,폰트,대구
2022.09.01(목),18:30,21:22,2:52,박종훈,송명기,문학
2022.09.02(금),18:30,21:15,2:45,모리만도,더모디,문학
2022.09.03(토),17:00,19:54,2:54,오원석,한현희,문학
2022.09.06(화),18:30,21:45,3:15,이민호,김광현,잠실
2022.09.07(수),18:30,22:40,4:10,켈리,폰트,잠실
2022.09.08(목),18:30,21:58,3:28,모리만도,놀린,문학
2022.09.09(금),13:59,17:45,3:46,오원석,파노니,문학
2022.09.10(토),17:00,20:03,3:03,김민우,박종훈,대전
2022.09.11(일),14:00,16:52,2:52,라미레즈,김광현,대전
2022.09.13(화),18:30,21:49,3:19,스트레일리,폰트,사직
2022.09.14(수),18:31,21:26,2:55,나균안,모리만도,사직
2022.09.15(목),18:30,21:20,2:50,구창모,오원석,창원
2022.09.16(금),18:30,21:29,2:59,신민혁,박종훈,창원
2022.09.17(토),17:00,19:47,2:47,김광현,브랜든,문학
2022.09.18(일),13:59,18:14,4:15,폰트,스탁,문학
2022.09.20(화),18:30,21:13,2:43,모리만도,데스파이네,문학
2022.09.21(수),18:30,21:55,3:25,오원석,벤자민,문학
2022.09.22(목),18:29,21:25,2:56,박종훈,김민우,문학
2022.09.23(금),18:29,21:56,3:27,김광현,김기중,문학
2022.09.24(토),16:59,20:10,3:11,이태양,박신지,문학
2022.09.25(일),14:00,17:46,3:46,모리만도,플럿코,문학
2022.09.29(목),18:30,22:58,4:28,김광현,한현희,문학
2022.09.30(금),18:29,22:57,4:28,폰트,안우진,문학
2022.10.01(토),17:00,20:22,3:22,양현종,모리만도,광주
2022.10.03(월),13:59,17:31,3:32,문동주,박종훈,대전
2022.10.05(수),18:31,21:16,2:45,브랜든,김광현,잠실
2022.10.06(목),18:30,21:07,2:37,루친스키,최민준,창원
2022.10.08(토),17:00,19:14,2:14,수아레즈,박종훈,대구
2023.04.01(토),14:01,17:24,3:23,김광현,앤더슨,문학
2023.04.02(일),14:01,17:27,3:26,맥카티,이의리,문학
2023.04.04(화),18:30,21:45,2:43,오원석,박세웅,문학
2023.04.07(금),18:29,22:31,4:02,장민재,박종훈,대전
2023.04.08(토),17:00,20:57,3:57,김민우,김광현,대전
2023.04.09(일),14:00,17:07,3:07,페냐,맥카티,대전
2023.04.11(화),18:30,21:39,3:09,원태인,오원석,대구
2023.04.12(수),18:30,21:02,2:32,백정현,문승원,대구
2023.04.13(목),18:30,22:08,3:38,양창섭,박종훈,대구
2023.04.14(금),18:30,21:32,3:02,송영진,송명기,문학
2023.04.15(토),17:00,20:11,3:11,맥카티,구창모,문학
2023.04.16(일),14:00,18:10,4:10,오원석,신민혁,문학
2023.04.18(화),18:31,21:15,2:44,고영표,문승원,수원
2023.04.19(수),18:29,21:06,2:37,엄상백,박종훈,수원
2023.04.20(목),18:29,21:45,3:16,벤자민,송영진,수원
2023.04.21(금),18:29,21:16,2:47,김광현,후라도,문학
2023.04.22(토),17:00,19:33,2:33,맥카티,최원태,문학
2023.04.23(일),14:00,17:33,3:33,오원석,이승호,문학
2023.04.25(화),18:29,22:08,3:39,켈리,문승원,잠실
2023.04.26(수),18:30,21:42,3:12,김윤식,송영진,잠실
2023.04.27(목),18:30,21:44,3:14,플럿코,김광현,잠실
2023.04.28(금),18:30,21:35,3:05,맥카티,최승용,문학
2023.04.29(토),16:59,20:39,3:40,오원석,최원준,문학
2023.04.30(일),13:59,16:41,2:42,박종훈,곽빈,문학
2023.05.02(화),18:30,21:20,2:50,문승원,벤자민,문학
2023.05.03(수),18:30,22:23,3:53,김광현,소형준,문학
2023.05.04(목),18:30,21:20,2:50,맥카티,슐서,문학
2023.05.05(금),14:00,16:35,2:35,정찬헌,오원석,고척
2023.05.06(토),17:00,19:38,2:38,안우진,박종훈,고척
2023.05.07(일),14:00,18:40,4:40,요키시,송영진,고척
2023.05.09(화),18:29,20:53,2:24,양현종,김광현,광주
2023.05.10(수),18:30,21:49,3:19,앤더슨,이건욱,광주
2023.05.11(목),18:29,22:18,3:49,윤영철,오원석,광주
2023.05.12(금),18:30,22:13,3:43,박종훈,장민재,문학
2023.05.13(토),17:00,20:32,3:32,송영진,문동주,문학
2023.05.14(일),14:01,18:59,4:58,김광현,김민우,문학
2023.05.16(화),18:30,21:50,3:20,신민혁,맥카티,창원
2023.05.17(수),18:30,21:58,3:28,구창모,오원석,창원
2023.05.19(금),18:30,21:59,3:29,박세웅,박종훈,사직
2023.05.20(토),17:01,19:37,2:36,스트레일리,김광현,사직
2023.05.21(일),14:00,17:41,3:41,반즈,맥카티,사직
2023.05.23(화),18:29,21:32,3:03,오원석,임찬규,문학
