월,일,요일,홈,어웨이,경기장
3,23,토,LG,한화,잠실
3,24,일,LG,한화,잠실
3,26,화,LG,삼성,잠실
3,27,수,LG,삼성,잠실
3,28,목,LG,삼성,잠실
3,29,금,키움,LG,고척
3,30,토,키움,LG,고척
3,31,일,키움,LG,고척
4,2,화,LG,NC,잠실
4,3,수,LG,NC,잠실
4,4,목,LG,NC,잠실
4,5,금,LG,KT,잠실
4,6,토,LG,KT,잠실
4,7,일,LG,KT,잠실
4,9,화,KIA,LG,광주
4,10,수,KIA,LG,광주
4,11,목,KIA,LG,광주
4,12,금,두산,LG,잠실
4,13,토,두산,LG,잠실
4,14,일,두산,LG,잠실
4,16,화,LG,롯데,잠실
4,17,수,LG,롯데,잠실
4,18,목,LG,롯데,잠실
4,19,금,SSG,LG,인천
4,20,토,SSG,LG,인천
4,21,일,SSG,LG,인천
4,23,화,삼성,LG,대구
4,24,수,삼성,LG,대구
4,25,목,삼성,LG,대구
4,26,금,LG,KIA,잠실
4,27,토,LG,KIA,잠실
4,28,일,LG,KIA,잠실
4,30,화,NC,LG,창원
5,1,수,NC,LG,창원
5,2,목,NC,LG,창원
5,3,금,LG,두산,잠실
5,4,토,LG,두산,잠실
5,5,일,LG,두산,잠실
5,7,화,LG,SSG,잠실
5,8,수,LG,SSG,잠실
5,9,목,LG,SSG,잠실
5,10,금,롯데,LG,부산
5,11,토,롯데,LG,부산
5,12,일,롯데,LG,부산
5,14,화,LG,키움,잠실
5,15,수,LG,키움,잠실
5,16,목,LG,키움,잠실
5,17,금,KT,LG,수원
5,18,토,KT,LG,수원
5,19,일,KT,LG,수원
5,21,화,한화,LG,대전
5,22,수,한화,LG,대전
5,23,목,한화,LG,대전
5,24,금,LG,NC,잠실
5,25,토,LG,NC,잠실
5,26,일,LG,NC,잠실
5,28,화,SSG,LG,인천
5,29,수,SSG,LG,인천
5,30,목,SSG,LG,인천
5,31,금,두산,LG,잠실
6,1,토,두산,LG,잠실
6,2,일,두산,LG,잠실
6,4,화,LG,키움,잠실
6,5,수,LG,키움,잠실
6,6,목,LG,키움,잠실
6,7,금,KT,LG,수원
6,8,토,KT,LG,수원
6,9,일,KT,LG,수원
6,11,화,삼성,LG,대구
6,12,수,삼성,LG,대구
6,13,목,삼성,LG,대구
6,14,금,LG,롯데,잠실
6,15,토,LG,롯데,잠실
6,16,일,LG,롯데,잠실
6,18,화,KIA,LG,광주
6,19,수,KIA,LG,광주
6,20,목,KIA,LG,광주
6,21,금,LG,KT,잠실
6,22,토,LG,KT,잠실
6,23,일,LG,KT,잠실
6,25,화,LG,삼성,잠실
6,26,수,LG,삼성,잠실
6,27,목,LG,삼성,잠실
6,28,금,NC,LG,창원
6,29,토,NC,LG,창원
6,30,일,NC,LG,창원
7,2,화,키움,LG,고척
7,3,수,키움,LG,고척
7,4,목,키움,LG,고척
7,9,화,LG,KIA,잠실
7,10,수,LG,KIA,잠실
7,11,목,LG,KIA,잠실
7,12,금,한화,LG,대전
7,13,토,한화,LG,대전
7,14,일,한화,LG,대전
7,16,화,LG,SSG,잠실
7,17,수,LG,SSG,잠실
7,18,목,LG,SSG,잠실
7,19,금,LG,두산,잠실
7,20,토,LG,두산,잠실
7,21,일,LG,두산,잠실
7,23,화,롯데,LG,부산
7,24,수,롯데,LG,부산
7,25,목,롯데,LG,부산
7,26,금,LG,한화,잠실
7,27,토,LG,한화,잠실
7,28,일,LG,한화,잠실
7,30,화,LG,삼성,잠실
7,31,수,LG,삼성,잠실
8,1,목,LG,삼성,잠실
8,2,금,롯데,LG,부산
8,3,토,롯데,LG,부산
8,4,일,롯데,LG,부산
8,6,화,두산,LG,잠실
8,7,수,두산,LG,잠실
8,8,목,두산,LG,잠실
8,9,금,LG,NC,잠실
8,10,토,LG,NC,잠실
8,11,일,LG,NC,잠실
8,13,화,한화,LG,대전
8,14,수,한화,LG,대전
8,15,목,한화,LG,대전
8,16,금,LG,KIA,잠실
8,17,토,LG,KIA,잠실
8,18,일,LG,KIA,잠실
8,20,화,LG,SSG,잠실
8,21,수,LG,SSG,잠실
8,22,목,LG,SSG,잠실
8,23,금,키움,LG,고척
8,24,토,키움,LG,고척
8,25,일,키움,LG,고척
8,27,화,LG,KT,잠실
8,28,수,LG,KT,잠실
8,29,목,LG,KT,잠실
