월,일,요일,홈,어웨이,경기장
3,23,토,NC,두산,창원
3,24,일,NC,두산,창원
3,26,화,KT,두산,수원
3,27,수,KT,두산,수원
3,28,목,KT,두산,수원
3,29,금,두산,KIA,잠실
3,30,토,두산,KIA,잠실
3,31,일,두산,KIA,잠실
4,2,화,SSG,두산,인천
4,3,수,SSG,두산,인천
4,4,목,SSG,두산,인천
4,5,금,롯데,두산,부산
4,6,토,롯데,두산,부산
4,7,일,롯데,두산,부산
4,9,화,두산,한화,잠실
4,10,수,두산,한화,잠실
4,11,목,두산,한화,잠실
4,12,금,두산,LG,잠실
4,13,토,두산,LG,잠실
4,14,일,두산,LG,잠실
4,16,화,삼성,두산,대구
4,17,수,삼성,두산,대구
4,18,목,삼성,두산,대구
4,19,금,두산,키움,잠실
4,20,토,두산,키움,잠실
4,21,일,두산,키움,잠실
4,23,화,두산,NC,잠실
4,24,수,두산,NC,잠실
4,25,목,두산,NC,잠실
4,26,금,한화,두산,대전
4,27,토,한화,두산,대전
4,28,일,한화,두산,대전
4,30,화,두산,삼성,잠실
5,1,수,두산,삼성,잠실
5,2,목,두산,삼성,잠실
5,3,금,LG,두산,잠실
5,4,토,LG,두산,잠실
5,5,일,LG,두산,잠실
5,7,화,키움,두산,고척
5,8,수,키움,두산,고척
5,9,목,키움,두산,고척
5,10,금,두산,KT,잠실
5,11,토,두산,KT,잠실
5,12,일,두산,KT,잠실
5,14,화,KIA,두산,광주
5,15,수,KIA,두산,광주
5,16,목,KIA,두산,광주
5,17,금,두산,롯데,잠실
5,18,토,두산,롯데,잠실
5,19,일,두산,롯데,잠실
5,21,화,두산,SSG,잠실
5,22,수,두산,SSG,잠실
5,23,목,두산,SSG,잠실
5,24,금,KIA,두산,광주
5,25,토,KIA,두산,광주
5,26,일,KIA,두산,광주
5,28,화,두산,KT,잠실
5,29,수,두산,KT,잠실
5,30,목,두산,KT,잠실
5,31,금,두산,LG,잠실
6,1,토,두산,LG,잠실
6,2,일,두산,LG,잠실
6,4,화,NC,두산,창원
6,5,수,NC,두산,창원
6,6,목,NC,두산,창원
6,7,금,두산,KIA,잠실
6,8,토,두산,KIA,잠실
6,9,일,두산,KIA,잠실
6,11,화,두산,한화,잠실
6,12,수,두산,한화,잠실
6,13,목,두산,한화,잠실
6,14,금,키움,두산,고척
6,15,토,키움,두산,고척
6,16,일,키움,두산,고척
6,18,화,두산,NC,잠실
6,19,수,두산,NC,잠실
6,20,목,두산,NC,잠실
6,21,금,삼성,두산,대구
6,22,토,삼성,두산,대구
6,23,일,삼성,두산,대구
6,25,화,한화,두산,대전
6,26,수,한화,두산,대전
6,27,목,한화,두산,대전
6,28,금,두산,SSG,잠실
6,29,토,두산,SSG,잠실
6,30,일,두산,SSG,잠실
7,2,화,두산,롯데,잠실
7,3,수,두산,롯데,잠실
7,4,목,두산,롯데,잠실
7,9,화,KT,두산,수원
7,10,수,KT,두산,수원
7,11,목,KT,두산,수원
7,12,금,두산,삼성,잠실
7,13,토,두산,삼성,잠실
7,14,일,두산,삼성,잠실
7,16,화,롯데,두산,부산
7,17,수,롯데,두산,부산
7,18,목,롯데,두산,부산
7,19,금,LG,두산,잠실
7,20,토,LG,두산,잠실
7,21,일,LG,두산,잠실
7,23,화,두산,키움,잠실
7,24,수,두산,키움,잠실
7,25,목,두산,키움,잠실
7,26,금,SSG,두산,인천
7,27,토,SSG,두산,인천
7,28,일,SSG,두산,인천
7,30,화,KIA,두산,광주
7,31,수,KIA,두산,광주
8,1,목,KIA,두산,광주
8,2,금,두산,키움,잠실
8,3,토,두산,키움,잠실
8,4,일,두산,키움,잠실
8,6,화,두산,LG,잠실
8,7,수,두산,LG,잠실
8,8,목,두산,LG,잠실
8,9,금,SSG,두산,인천
8,10,토,SSG,두산,인천
8,11,일,SSG,두산,인천
8,13,화,두산,롯데,잠실
8,14,수,두산,롯데,잠실
8,15,목,두산,롯데,잠실
8,16,금,KT,두산,수원
8,17,토,KT,두산,수원
8,18,일,KT,두산,수원
8,20,화,삼성,두산,대구
8,21,수,삼성,두산,대구
8,22,목,삼성,두산,대구
8,23,금,두산,한화,잠실
8,24,토,두산,한화,잠실
8,25,일,두산,한화,잠실
8,27,화,NC,두산,창원
8,28,수,NC,두산,창원
8,29,목,NC,두산,창원
