월,일,요일,홈,어웨이,경기장
3,23,토,LG,한화,잠실
3,24,일,LG,한화,잠실
3,26,화,SSG,한화,인천
3,27,수,SSG,한화,인천
3,28,목,SSG,한화,인천
3,29,금,한화,KT,대전
3,30,토,한화,KT,대전
3,31,일,한화,KT,대전
4,2,화,한화,롯데,대전
4,3,수,한화,롯데,대전
4,4,목,한화,롯데,대전
4,5,금,키움,한화,고척
4,6,토,키움,한화,고척
4,7,일,키움,한화,고척
4,9,화,두산,한화,잠실
4,10,수,두산,한화,잠실
4,11,목,두산,한화,잠실
4,12,금,한화,KIA,대전
4,13,토,한화,KIA,대전
4,14,일,한화,KIA,대전
4,16,화,NC,한화,창원
4,17,수,NC,한화,창원
4,18,목,NC,한화,창원
4,19,금,한화,삼성,대전
4,20,토,한화,삼성,대전
4,21,일,한화,삼성,대전
4,23,화,KT,한화,수원
4,24,수,KT,한화,수원
4,25,목,KT,한화,수원
4,26,금,한화,두산,대전
4,27,토,한화,두산,대전
4,28,일,한화,두산,대전
4,30,화,한화,SSG,대전
5,1,수,한화,SSG,대전
5,2,목,한화,SSG,대전
5,3,금,KIA,한화,광주
5,4,토,KIA,한화,광주
5,5,일,KIA,한화,광주
5,7,화,롯데,한화,부산
5,8,수,롯데,한화,부산
5,9,목,롯데,한화,부산
5,10,금,한화,키움,대전
5,11,토,한화,키움,대전
5,12,일,한화,키움,대전
5,14,화,한화,NC,대전
5,15,수,한화,NC,대전
5,16,목,한화,NC,대전
5,17,금,삼성,한화,대구
5,18,토,삼성,한화,대구
5,19,일,삼성,한화,대구
5,21,화,한화,LG,대전
5,22,수,한화,LG,대전
5,23,목,한화,LG,대전
5,24,금,SSG,한화,인천
5,25,토,SSG,한화,인천
5,26,일,SSG,한화,인천
5,28,화,한화,롯데,대전
5,29,수,한화,롯데,대전
5,30,목,한화,롯데,대전
5,31,금,삼성,한화,대구
6,1,토,삼성,한화,대구
6,2,일,삼성,한화,대구
6,4,화,KT,한화,수원
6,5,수,KT,한화,수원
6,6,목,KT,한화,수원
6,7,금,한화,NC,대전
6,8,토,한화,NC,대전
6,9,일,한화,NC,대전
6,11,화,두산,한화,잠실
6,12,수,두산,한화,잠실
6,13,목,두산,한화,잠실
6,14,금,한화,SSG,대전
6,15,토,한화,SSG,대전
6,16,일,한화,SSG,대전
6,18,화,한화,키움,대전
6,19,수,한화,키움,대전
6,20,목,한화,키움,대전
6,21,금,KIA,한화,광주
6,22,토,KIA,한화,광주
6,23,일,KIA,한화,광주
6,25,화,한화,두산,대전
6,26,수,한화,두산,대전
6,27,목,한화,두산,대전
6,28,금,롯데,한화,부산
6,29,토,롯데,한화,부산
6,30,일,롯데,한화,부산
7,2,화,한화,KT,대전
7,3,수,한화,KT,대전
7,4,목,한화,KT,대전
7,9,화,키움,한화,고척
7,10,수,키움,한화,고척
7,11,목,키움,한화,고척
7,12,금,한화,LG,대전
7,13,토,한화,LG,대전
7,14,일,한화,LG,대전
7,16,화,NC,한화,창원
7,17,수,NC,한화,창원
7,18,목,NC,한화,창원
7,19,금,한화,KIA,대전
7,20,토,한화,KIA,대전
7,21,일,한화,KIA,대전
7,23,화,한화,삼성,대전
7,24,수,한화,삼성,대전
7,25,목,한화,삼성,대전
7,26,금,LG,한화,잠실
7,27,토,LG,한화,잠실
7,28,일,LG,한화,잠실
7,30,화,KT,한화,수원
7,31,수,KT,한화,수원
8,1,목,KT,한화,수원
8,2,금,한화,KIA,대전
8,3,토,한화,KIA,대전
8,4,일,한화,KIA,대전
8,6,화,삼성,한화,대구
8,7,수,삼성,한화,대구
8,8,목,삼성,한화,대구
8,9,금,한화,키움,대전
8,10,토,한화,키움,대전
8,11,일,한화,키움,대전
8,13,화,한화,LG,대전
8,14,수,한화,LG,대전
8,15,목,한화,LG,대전
8,16,금,SSG,한화,인천
8,17,토,SSG,한화,인천
8,18,일,SSG,한화,인천
8,20,화,한화,NC,대전
8,21,수,한화,NC,대전
8,22,목,한화,NC,대전
8,23,금,두산,한화,잠실
8,24,토,두산,한화,잠실
8,25,일,두산,한화,잠실
8,27,화,롯데,한화,부산
8,28,수,롯데,한화,부산
8,29,목,롯데,한화,부산
