월,일,요일,홈,어웨이,경기장
3,23,토,KIA,키움,광주
3,24,일,KIA,키움,광주
3,26,화,KIA,롯데,광주
3,27,수,KIA,롯데,광주
3,28,목,KIA,롯데,광주
3,29,금,두산,KIA,잠실
3,30,토,두산,KIA,잠실
3,31,일,두산,KIA,잠실
4,2,화,KT,KIA,수원
4,3,수,KT,KIA,수원
4,4,목,KT,KIA,수원
4,5,금,KIA,삼성,광주
4,6,토,KIA,삼성,광주
4,7,일,KIA,삼성,광주
4,9,화,KIA,LG,광주
4,10,수,KIA,LG,광주
4,11,목,KIA,LG,광주
4,12,금,한화,KIA,대전
4,13,토,한화,KIA,대전
4,14,일,한화,KIA,대전
4,16,화,SSG,KIA,인천
4,17,수,SSG,KIA,인천
4,18,목,SSG,KIA,인천
4,19,금,KIA,NC,광주
4,20,토,KIA,NC,광주
4,21,일,KIA,NC,광주
4,23,화,키움,KIA,고척
4,24,수,키움,KIA,고척
4,25,목,키움,KIA,고척
4,26,금,LG,KIA,잠실
4,27,토,LG,KIA,잠실
4,28,일,LG,KIA,잠실
4,30,화,KIA,KT,광주
5,1,수,KIA,KT,광주
5,2,목,KIA,KT,광주
5,3,금,KIA,한화,광주
5,4,토,KIA,한화,광주
5,5,일,KIA,한화,광주
5,7,화,삼성,KIA,대구
5,8,수,삼성,KIA,대구
5,9,목,삼성,KIA,대구
5,10,금,KIA,SSG,광주
5,11,토,KIA,SSG,광주
5,12,일,KIA,SSG,광주
5,14,화,KIA,두산,광주
5,15,수,KIA,두산,광주
5,16,목,KIA,두산,광주
5,17,금,NC,KIA,창원
5,18,토,NC,KIA,창원
5,19,일,NC,KIA,창원
5,21,화,롯데,KIA,부산
5,22,수,롯데,KIA,부산
5,23,목,롯데,KIA,부산
5,24,금,KIA,두산,광주
5,25,토,KIA,두산,광주
5,26,일,KIA,두산,광주
5,28,화,NC,KIA,창원
5,29,수,NC,KIA,창원
5,30,목,NC,KIA,창원
5,31,금,KIA,KT,광주
6,1,토,KIA,KT,광주
6,2,일,KIA,KT,광주
6,4,화,KIA,롯데,광주
6,5,수,KIA,롯데,광주
6,6,목,KIA,롯데,광주
6,7,금,두산,KIA,잠실
6,8,토,두산,KIA,잠실
6,9,일,두산,KIA,잠실
6,11,화,SSG,KIA,인천
6,12,수,SSG,KIA,인천
6,13,목,SSG,KIA,인천
6,14,금,KT,KIA,수원
6,15,토,KT,KIA,수원
6,16,일,KT,KIA,수원
6,18,화,KIA,LG,광주
6,19,수,KIA,LG,광주
6,20,목,KIA,LG,광주
6,21,금,KIA,한화,광주
6,22,토,KIA,한화,광주
6,23,일,KIA,한화,광주
6,25,화,롯데,KIA,부산
6,26,수,롯데,KIA,부산
6,27,목,롯데,KIA,부산
6,28,금,KIA,키움,광주
6,29,토,KIA,키움,광주
6,30,일,KIA,키움,광주
7,2,화,삼성,KIA,대구
7,3,수,삼성,KIA,대구
7,4,목,삼성,KIA,대구
7,9,화,LG,KIA,잠실
7,10,수,LG,KIA,잠실
7,11,목,LG,KIA,잠실
7,12,금,KIA,SSG,광주
7,13,토,KIA,SSG,광주
7,14,일,KIA,SSG,광주
7,16,화,KIA,삼성,광주
7,17,수,KIA,삼성,광주
7,18,목,KIA,삼성,광주
7,19,금,한화,KIA,대전
7,20,토,한화,KIA,대전
7,21,일,한화,KIA,대전
7,23,화,KIA,NC,광주
7,24,수,KIA,NC,광주
7,25,목,KIA,NC,광주
7,26,금,키움,KIA,고척
7,27,토,키움,KIA,고척
7,28,일,키움,KIA,고척
7,30,화,KIA,두산,광주
7,31,수,KIA,두산,광주
8,1,목,KIA,두산,광주
8,2,금,한화,KIA,대전
8,3,토,한화,KIA,대전
8,4,일,한화,KIA,대전
8,6,화,KIA,KT,광주
8,7,수,KIA,KT,광주
8,8,목,KIA,KT,광주
8,9,금,KIA,삼성,광주
8,10,토,KIA,삼성,광주
8,11,일,KIA,삼성,광주
8,13,화,키움,KIA,고척
8,14,수,키움,KIA,고척
8,15,목,키움,KIA,고척
8,16,금,LG,KIA,잠실
8,17,토,LG,KIA,잠실
8,18,일,LG,KIA,잠실
8,20,화,KIA,롯데,광주
8,21,수,KIA,롯데,광주
8,22,목,KIA,롯데,광주
8,23,금,NC,KIA,창원
8,24,토,NC,KIA,창원
8,25,일,NC,KIA,창원
8,27,화,KIA,SSG,광주
8,28,수,KIA,SSG,광주
8,29,목,KIA,SSG,광주
