월,일,요일,홈,어웨이,경기장
3,23,토,KT,삼성,수원
3,24,일,KT,삼성,수원
3,26,화,KT,두산,수원
3,27,수,KT,두산,수원
3,28,목,KT,두산,수원
3,29,금,한화,KT,대전
3,30,토,한화,KT,대전
3,31,일,한화,KT,대전
4,2,화,KT,KIA,수원
4,3,수,KT,KIA,수원
4,4,목,KT,KIA,수원
4,5,금,LG,KT,잠실
4,6,토,LG,KT,잠실
4,7,일,LG,KT,잠실
4,9,화,NC,KT,창원
4,10,수,NC,KT,창원
4,11,목,NC,KT,창원
4,12,금,KT,SSG,수원
4,13,토,KT,SSG,수원
4,14,일,KT,SSG,수원
4,16,화,키움,KT,고척
4,17,수,키움,KT,고척
4,18,목,키움,KT,고척
4,19,금,롯데,KT,부산
4,20,토,롯데,KT,부산
4,21,일,롯데,KT,부산
4,23,화,KT,한화,수원
4,24,수,KT,한화,수원
4,25,목,KT,한화,수원
4,26,금,SSG,KT,인천
4,27,토,SSG,KT,인천
4,28,일,SSG,KT,인천
4,30,화,KIA,KT,광주
5,1,수,KIA,KT,광주
5,2,목,KIA,KT,광주
5,3,금,KT,키움,수원
5,4,토,KT,키움,수원
5,5,일,KT,키움,수원
5,7,화,KT,NC,수원
5,8,수,KT,NC,수원
5,9,목,KT,NC,수원
5,10,금,두산,KT,잠실
5,11,토,두산,KT,잠실
5,12,일,두산,KT,잠실
5,14,화,KT,롯데,수원
5,15,수,KT,롯데,수원
5,16,목,KT,롯데,수원
5,17,금,KT,LG,수원
5,18,토,KT,LG,수원
5,19,일,KT,LG,수원
5,21,화,삼성,KT,대구
5,22,수,삼성,KT,대구
5,23,목,삼성,KT,대구
5,24,금,KT,키움,수원
5,25,토,KT,키움,수원
5,26,일,KT,키움,수원
5,28,화,두산,KT,잠실
5,29,수,두산,KT,잠실
5,30,목,두산,KT,잠실
5,31,금,KIA,KT,광주
6,1,토,KIA,KT,광주
6,2,일,KIA,KT,광주
6,4,화,KT,한화,수원
6,5,수,KT,한화,수원
6,6,목,KT,한화,수원
6,7,금,KT,LG,수원
6,8,토,KT,LG,수원
6,9,일,KT,LG,수원
6,11,화,NC,KT,창원
6,12,수,NC,KT,창원
6,13,목,NC,KT,창원
6,14,금,KT,KIA,수원
6,15,토,KT,KIA,수원
6,16,일,KT,KIA,수원
6,18,화,KT,롯데,수원
6,19,수,KT,롯데,수원
6,20,목,KT,롯데,수원
6,21,금,LG,KT,잠실
6,22,토,LG,KT,잠실
6,23,일,LG,KT,잠실
6,25,화,SSG,KT,인천
6,26,수,SSG,KT,인천
6,27,목,SSG,KT,인천
6,28,금,KT,삼성,수원
6,29,토,KT,삼성,수원
6,30,일,KT,삼성,수원
7,2,화,한화,KT,대전
7,3,수,한화,KT,대전
7,4,목,한화,KT,대전
7,9,화,KT,두산,수원
7,10,수,KT,두산,수원
7,11,목,KT,두산,수원
7,12,금,롯데,KT,부산
7,13,토,롯데,KT,부산
7,14,일,롯데,KT,부산
7,16,화,키움,KT,고척
7,17,수,키움,KT,고척
7,18,목,키움,KT,고척
7,19,금,KT,NC,수원
7,20,토,KT,NC,수원
7,21,일,KT,NC,수원
7,23,화,KT,SSG,수원
7,24,수,KT,SSG,수원
7,25,목,KT,SSG,수원
7,26,금,삼성,KT,대구
7,27,토,삼성,KT,대구
7,28,일,삼성,KT,대구
7,30,화,KT,한화,수원
7,31,수,KT,한화,수원
8,1,목,KT,한화,수원
8,2,금,NC,KT,창원
8,3,토,NC,KT,창원
8,4,일,NC,KT,창원
8,6,화,KIA,KT,광주
8,7,수,KIA,KT,광주
8,8,목,KIA,KT,광주
8,9,금,KT,롯데,수원
8,10,토,KT,롯데,수원
8,11,일,KT,롯데,수원
8,13,화,삼성,KT,대구
8,14,수,삼성,KT,대구
8,15,목,삼성,KT,대구
8,16,금,KT,두산,수원
8,17,토,KT,두산,수원
8,18,일,KT,두산,수원
8,20,화,KT,키움,수원
8,21,수,KT,키움,수원
8,22,목,KT,키움,수원
8,23,금,SSG,KT,인천
8,24,토,SSG,KT,인천
8,25,일,SSG,KT,인천
8,27,화,LG,KT,잠실
8,28,수,LG,KT,잠실
8,29,목,LG,KT,잠실
