월,일,요일,홈,어웨이,경기장
3,23,토,SSG,롯데,인천
3,24,일,SSG,롯데,인천
3,26,화,KIA,롯데,광주
3,27,수,KIA,롯데,광주
3,28,목,KIA,롯데,광주
3,29,금,롯데,NC,부산
3,30,토,롯데,NC,부산
3,31,일,롯데,NC,부산
4,2,화,한화,롯데,대전
4,3,수,한화,롯데,대전
4,4,목,한화,롯데,대전
4,5,금,롯데,두산,부산
4,6,토,롯데,두산,부산
4,7,일,롯데,두산,부산
4,9,화,롯데,삼성,부산
4,10,수,롯데,삼성,부산
4,11,목,롯데,삼성,부산
4,12,금,키움,롯데,고척
4,13,토,키움,롯데,고척
4,14,일,키움,롯데,고척
4,16,화,LG,롯데,잠실
4,17,수,LG,롯데,잠실
4,18,목,LG,롯데,잠실
4,19,금,롯데,KT,부산
4,20,토,롯데,KT,부산
4,21,일,롯데,KT,부산
4,23,화,롯데,SSG,부산
4,24,수,롯데,SSG,부산
4,25,목,롯데,SSG,부산
4,26,금,NC,롯데,창원
4,27,토,NC,롯데,창원
4,28,일,NC,롯데,창원
4,30,화,롯데,키움,부산
5,1,수,롯데,키움,부산
5,2,목,롯데,키움,부산
5,3,금,삼성,롯데,대구
5,4,토,삼성,롯데,대구
5,5,일,삼성,롯데,대구
5,7,화,롯데,한화,부산
5,8,수,롯데,한화,부산
5,9,목,롯데,한화,부산
5,10,금,롯데,LG,부산
5,11,토,롯데,LG,부산
5,12,일,롯데,LG,부산
5,14,화,KT,롯데,수원
5,15,수,KT,롯데,수원
5,16,목,KT,롯데,수원
5,17,금,두산,롯데,잠실
5,18,토,두산,롯데,잠실
5,19,일,두산,롯데,잠실
5,21,화,롯데,KIA,부산
5,22,수,롯데,KIA,부산
5,23,목,롯데,KIA,부산
5,24,금,롯데,삼성,부산
5,25,토,롯데,삼성,부산
5,26,일,롯데,삼성,부산
5,28,화,한화,롯데,대전
5,29,수,한화,롯데,대전
5,30,목,한화,롯데,대전
5,31,금,롯데,NC,부산
6,1,토,롯데,NC,부산
6,2,일,롯데,NC,부산
6,4,화,KIA,롯데,광주
6,5,수,KIA,롯데,광주
6,6,목,KIA,롯데,광주
6,7,금,롯데,SSG,부산
6,8,토,롯데,SSG,부산
6,9,일,롯데,SSG,부산
6,11,화,롯데,키움,부산
6,12,수,롯데,키움,부산
6,13,목,롯데,키움,부산
6,14,금,LG,롯데,잠실
6,15,토,LG,롯데,잠실
6,16,일,LG,롯데,잠실
6,18,화,KT,롯데,수원
6,19,수,KT,롯데,수원
6,20,목,KT,롯데,수원
6,21,금,키움,롯데,고척
6,22,토,키움,롯데,고척
6,23,일,키움,롯데,고척
6,25,화,롯데,KIA,부산
6,26,수,롯데,KIA,부산
6,27,목,롯데,KIA,부산
6,28,금,롯데,한화,부산
6,29,토,롯데,한화,부산
6,30,일,롯데,한화,부산
7,2,화,두산,롯데,잠실
7,3,수,두산,롯데,잠실
7,4,목,두산,롯데,잠실
7,9,화,SSG,롯데,인천
7,10,수,SSG,롯데,인천
7,11,목,SSG,롯데,인천
7,12,금,롯데,KT,부산
7,13,토,롯데,KT,부산
7,14,일,롯데,KT,부산
7,16,화,롯데,두산,부산
7,17,수,롯데,두산,부산
7,18,목,롯데,두산,부산
7,19,금,삼성,롯데,대구
7,20,토,삼성,롯데,대구
7,21,일,삼성,롯데,대구
7,23,화,롯데,LG,부산
7,24,수,롯데,LG,부산
7,25,목,롯데,LG,부산
7,26,금,NC,롯데,창원
7,27,토,NC,롯데,창원
7,28,일,NC,롯데,창원
7,30,화,SSG,롯데,인천
7,31,수,SSG,롯데,인천
8,1,목,SSG,롯데,인천
8,2,금,롯데,LG,부산
8,3,토,롯데,LG,부산
8,4,일,롯데,LG,부산
8,6,화,롯데,NC,부산
8,7,수,롯데,NC,부산
8,8,목,롯데,NC,부산
8,9,금,KT,롯데,수원
8,10,토,KT,롯데,수원
8,11,일,KT,롯데,수원
8,13,화,두산,롯데,잠실
8,14,수,두산,롯데,잠실
8,15,목,두산,롯데,잠실
8,16,금,롯데,키움,부산
8,17,토,롯데,키움,부산
8,18,일,롯데,키움,부산
8,20,화,KIA,롯데,광주
8,21,수,KIA,롯데,광주
8,22,목,KIA,롯데,광주
8,23,금,삼성,롯데,대구
8,24,토,삼성,롯데,대구
8,25,일,삼성,롯데,대구
8,27,화,롯데,한화,부산
8,28,수,롯데,한화,부산
8,29,목,롯데,한화,부산
