월,일,요일,홈,어웨이,경기장
3,23,토,NC,두산,창원
3,24,일,NC,두산,창원
3,26,화,NC,키움,창원
3,27,수,NC,키움,창원
3,28,목,NC,키움,창원
3,29,금,롯데,NC,부산
3,30,토,롯데,NC,부산
3,31,일,롯데,NC,부산
4,2,화,LG,NC,잠실
4,3,수,LG,NC,잠실
4,4,목,LG,NC,잠실
4,5,금,NC,SSG,창원
4,6,토,NC,SSG,창원
4,7,일,NC,SSG,창원
4,9,화,NC,KT,창원
4,10,수,NC,KT,창원
4,11,목,NC,KT,창원
4,12,금,삼성,NC,대구
4,13,토,삼성,NC,대구
4,14,일,삼성,NC,대구
4,16,화,NC,한화,창원
4,17,수,NC,한화,창원
4,18,목,NC,한화,창원
4,19,금,KIA,NC,광주
4,20,토,KIA,NC,광주
4,21,일,KIA,NC,광주
4,23,화,두산,NC,잠실
4,24,수,두산,NC,잠실
4,25,목,두산,NC,잠실
4,26,금,NC,롯데,창원
4,27,토,NC,롯데,창원
4,28,일,NC,롯데,창원
4,30,화,NC,LG,창원
5,1,수,NC,LG,창원
5,2,목,NC,LG,창원
5,3,금,SSG,NC,인천
5,4,토,SSG,NC,인천
5,5,일,SSG,NC,인천
5,7,화,KT,NC,수원
5,8,수,KT,NC,수원
5,9,목,KT,NC,수원
5,10,금,NC,삼성,창원
5,11,토,NC,삼성,창원
5,12,일,NC,삼성,창원
5,14,화,한화,NC,대전
5,15,수,한화,NC,대전
5,16,목,한화,NC,대전
5,17,금,NC,KIA,창원
5,18,토,NC,KIA,창원
5,19,일,NC,KIA,창원
5,21,화,키움,NC,고척
5,22,수,키움,NC,고척
5,23,목,키움,NC,고척
5,24,금,LG,NC,잠실
5,25,토,LG,NC,잠실
5,26,일,LG,NC,잠실
5,28,화,NC,KIA,창원
5,29,수,NC,KIA,창원
5,30,목,NC,KIA,창원
5,31,금,롯데,NC,부산
6,1,토,롯데,NC,부산
6,2,일,롯데,NC,부산
6,4,화,NC,두산,창원
6,5,수,NC,두산,창원
6,6,목,NC,두산,창원
6,7,금,한화,NC,대전
6,8,토,한화,NC,대전
6,9,일,한화,NC,대전
6,11,화,NC,KT,창원
6,12,수,NC,KT,창원
6,13,목,NC,KT,창원
6,14,금,NC,삼성,창원
6,15,토,NC,삼성,창원
6,16,일,NC,삼성,창원
6,18,화,두산,NC,잠실
6,19,수,두산,NC,잠실
6,20,목,두산,NC,잠실
6,21,금,SSG,NC,인천
6,22,토,SSG,NC,인천
6,23,일,SSG,NC,인천
6,25,화,키움,NC,고척
6,26,수,키움,NC,고척
6,27,목,키움,NC,고척
6,28,금,NC,LG,창원
6,29,토,NC,LG,창원
6,30,일,NC,LG,창원
7,2,화,NC,SSG,창원
7,3,수,NC,SSG,창원
7,4,목,NC,SSG,창원
7,9,화,삼성,NC,대구
7,10,수,삼성,NC,대구
7,11,목,삼성,NC,대구
7,12,금,NC,키움,창원
7,13,토,NC,키움,창원
7,14,일,NC,키움,창원
7,16,화,NC,한화,창원
7,17,수,NC,한화,창원
7,18,목,NC,한화,창원
7,19,금,KT,NC,수원
7,20,토,KT,NC,수원
7,21,일,KT,NC,수원
7,23,화,KIA,NC,광주
7,24,수,KIA,NC,광주
7,25,목,KIA,NC,광주
7,26,금,NC,롯데,창원
7,27,토,NC,롯데,창원
7,28,일,NC,롯데,창원
7,30,화,키움,NC,고척
7,31,수,키움,NC,고척
8,1,목,키움,NC,고척
8,2,금,NC,KT,창원
8,3,토,NC,KT,창원
8,4,일,NC,KT,창원
8,6,화,롯데,NC,부산
8,7,수,롯데,NC,부산
8,8,목,롯데,NC,부산
8,9,금,LG,NC,잠실
8,10,토,LG,NC,잠실
8,11,일,LG,NC,잠실
8,13,화,NC,SSG,창원
8,14,수,NC,SSG,창원
8,15,목,NC,SSG,창원
8,16,금,NC,삼성,창원
8,17,토,NC,삼성,창원
8,18,일,NC,삼성,창원
8,20,화,한화,NC,대전
8,21,수,한화,NC,대전
8,22,목,한화,NC,대전
8,23,금,NC,KIA,창원
8,24,토,NC,KIA,창원
8,25,일,NC,KIA,창원
8,27,화,NC,두산,창원
8,28,수,NC,두산,창원
8,29,목,NC,두산,창원
