월,일,요일,홈,어웨이,경기장
3,23,토,KT,삼성,수원
3,24,일,KT,삼성,수원
3,26,화,LG,삼성,잠실
3,27,수,LG,삼성,잠실
3,28,목,LG,삼성,잠실
3,29,금,삼성,SSG,대구
3,30,토,삼성,SSG,대구
3,31,일,삼성,SSG,대구
4,2,화,삼성,키움,대구
4,3,수,삼성,키움,대구
4,4,목,삼성,키움,대구
4,5,금,KIA,삼성,광주
4,6,토,KIA,삼성,광주
4,7,일,KIA,삼성,광주
4,9,화,롯데,삼성,부산
4,10,수,롯데,삼성,부산
4,11,목,롯데,삼성,부산
4,12,금,삼성,NC,대구
4,13,토,삼성,NC,대구
4,14,일,삼성,NC,대구
4,16,화,삼성,두산,대구
4,17,수,삼성,두산,대구
4,18,목,삼성,두산,대구
4,19,금,한화,삼성,대전
4,20,토,한화,삼성,대전
4,21,일,한화,삼성,대전
4,23,화,삼성,LG,대구
4,24,수,삼성,LG,대구
4,25,목,삼성,LG,대구
4,26,금,키움,삼성,고척
4,27,토,키움,삼성,고척
4,28,일,키움,삼성,고척
4,30,화,두산,삼성,잠실
5,1,수,두산,삼성,잠실
5,2,목,두산,삼성,잠실
5,3,금,삼성,롯데,대구
5,4,토,삼성,롯데,대구
5,5,일,삼성,롯데,대구
5,7,화,삼성,KIA,대구
5,8,수,삼성,KIA,대구
5,9,목,삼성,KIA,대구
5,10,금,NC,삼성,창원
5,11,토,NC,삼성,창원
5,12,일,NC,삼성,창원
5,14,화,SSG,삼성,인천
5,15,수,SSG,삼성,인천
5,16,목,SSG,삼성,인천
5,17,금,삼성,한화,대구
5,18,토,삼성,한화,대구
5,19,일,삼성,한화,대구
5,21,화,삼성,KT,대구
5,22,수,삼성,KT,대구
5,23,목,삼성,KT,대구
5,24,금,롯데,삼성,부산
5,25,토,롯데,삼성,부산
5,26,일,롯데,삼성,부산
5,28,화,삼성,키움,대구
5,29,수,삼성,키움,대구
5,30,목,삼성,키움,대구
5,31,금,삼성,한화,대구
6,1,토,삼성,한화,대구
6,2,일,삼성,한화,대구
6,4,화,SSG,삼성,인천
6,5,수,SSG,삼성,인천
6,6,목,SSG,삼성,인천
6,7,금,키움,삼성,고척
6,8,토,키움,삼성,고척
6,9,일,키움,삼성,고척
6,11,화,삼성,LG,대구
6,12,수,삼성,LG,대구
6,13,목,삼성,LG,대구
6,14,금,NC,삼성,창원
6,15,토,NC,삼성,창원
6,16,일,NC,삼성,창원
6,18,화,삼성,SSG,대구
6,19,수,삼성,SSG,대구
6,20,목,삼성,SSG,대구
6,21,금,삼성,두산,대구
6,22,토,삼성,두산,대구
6,23,일,삼성,두산,대구
6,25,화,LG,삼성,잠실
6,26,수,LG,삼성,잠실
6,27,목,LG,삼성,잠실
6,28,금,KT,삼성,수원
6,29,토,KT,삼성,수원
6,30,일,KT,삼성,수원
7,2,화,삼성,KIA,대구
7,3,수,삼성,KIA,대구
7,4,목,삼성,KIA,대구
7,9,화,삼성,NC,대구
7,10,수,삼성,NC,대구
7,11,목,삼성,NC,대구
7,12,금,두산,삼성,잠실
7,13,토,두산,삼성,잠실
7,14,일,두산,삼성,잠실
7,16,화,KIA,삼성,광주
7,17,수,KIA,삼성,광주
7,18,목,KIA,삼성,광주
7,19,금,삼성,롯데,대구
7,20,토,삼성,롯데,대구
7,21,일,삼성,롯데,대구
7,23,화,한화,삼성,대전
7,24,수,한화,삼성,대전
7,25,목,한화,삼성,대전
7,26,금,삼성,KT,대구
7,27,토,삼성,KT,대구
7,28,일,삼성,KT,대구
7,30,화,LG,삼성,잠실
7,31,수,LG,삼성,잠실
8,1,목,LG,삼성,잠실
8,2,금,삼성,SSG,대구
8,3,토,삼성,SSG,대구
8,4,일,삼성,SSG,대구
8,6,화,삼성,한화,대구
8,7,수,삼성,한화,대구
8,8,목,삼성,한화,대구
8,9,금,KIA,삼성,광주
8,10,토,KIA,삼성,광주
8,11,일,KIA,삼성,광주
8,13,화,삼성,KT,대구
8,14,수,삼성,KT,대구
8,15,목,삼성,KT,대구
8,16,금,NC,삼성,창원
8,17,토,NC,삼성,창원
8,18,일,NC,삼성,창원
8,20,화,삼성,두산,대구
8,21,수,삼성,두산,대구
8,22,목,삼성,두산,대구
8,23,금,삼성,롯데,대구
8,24,토,삼성,롯데,대구
8,25,일,삼성,롯데,대구
8,27,화,키움,삼성,고척
8,28,수,키움,삼성,고척
8,29,목,키움,삼성,고척
