월,일,요일,홈,어웨이,경기장
3,23,토,SSG,롯데,인천
3,24,일,SSG,롯데,인천
3,26,화,SSG,한화,인천
3,27,수,SSG,한화,인천
3,28,목,SSG,한화,인천
3,29,금,삼성,SSG,대구
3,30,토,삼성,SSG,대구
3,31,일,삼성,SSG,대구
4,2,화,SSG,두산,인천
4,3,수,SSG,두산,인천
4,4,목,SSG,두산,인천
4,5,금,NC,SSG,창원
4,6,토,NC,SSG,창원
4,7,일,NC,SSG,창원
4,9,화,SSG,키움,인천
4,10,수,SSG,키움,인천
4,11,목,SSG,키움,인천
4,12,금,KT,SSG,수원
4,13,토,KT,SSG,수원
4,14,일,KT,SSG,수원
4,16,화,SSG,KIA,인천
4,17,수,SSG,KIA,인천
4,18,목,SSG,KIA,인천
4,19,금,SSG,LG,인천
4,20,토,SSG,LG,인천
4,21,일,SSG,LG,인천
4,23,화,롯데,SSG,부산
4,24,수,롯데,SSG,부산
4,25,목,롯데,SSG,부산
4,26,금,SSG,KT,인천
4,27,토,SSG,KT,인천
4,28,일,SSG,KT,인천
4,30,화,한화,SSG,대전
5,1,수,한화,SSG,대전
5,2,목,한화,SSG,대전
5,3,금,SSG,NC,인천
5,4,토,SSG,NC,인천
5,5,일,SSG,NC,인천
5,7,화,LG,SSG,잠실
5,8,수,LG,SSG,잠실
5,9,목,LG,SSG,잠실
5,10,금,KIA,SSG,광주
5,11,토,KIA,SSG,광주
5,12,일,KIA,SSG,광주
5,14,화,SSG,삼성,인천
5,15,수,SSG,삼성,인천
5,16,목,SSG,삼성,인천
5,17,금,키움,SSG,고척
5,18,토,키움,SSG,고척
5,19,일,키움,SSG,고척
5,21,화,두산,SSG,잠실
5,22,수,두산,SSG,잠실
5,23,목,두산,SSG,잠실
5,24,금,SSG,한화,인천
5,25,토,SSG,한화,인천
5,26,일,SSG,한화,인천
5,28,화,SSG,LG,인천
5,29,수,SSG,LG,인천
5,30,목,SSG,LG,인천
5,31,금,키움,SSG,고척
6,1,토,키움,SSG,고척
6,2,일,키움,SSG,고척
6,4,화,SSG,삼성,인천
6,5,수,SSG,삼성,인천
6,6,목,SSG,삼성,인천
6,7,금,롯데,SSG,부산
6,8,토,롯데,SSG,부산
6,9,일,롯데,SSG,부산
6,11,화,SSG,KIA,인천
6,12,수,SSG,KIA,인천
6,13,목,SSG,KIA,인천
6,14,금,한화,SSG,대전
6,15,토,한화,SSG,대전
6,16,일,한화,SSG,대전
6,18,화,삼성,SSG,대구
6,19,수,삼성,SSG,대구
6,20,목,삼성,SSG,대구
6,21,금,SSG,NC,인천
6,22,토,SSG,NC,인천
6,23,일,SSG,NC,인천
6,25,화,SSG,KT,인천
6,26,수,SSG,KT,인천
6,27,목,SSG,KT,인천
6,28,금,두산,SSG,잠실
6,29,토,두산,SSG,잠실
6,30,일,두산,SSG,잠실
7,2,화,NC,SSG,창원
7,3,수,NC,SSG,창원
7,4,목,NC,SSG,창원
7,9,화,SSG,롯데,인천
7,10,수,SSG,롯데,인천
7,11,목,SSG,롯데,인천
7,12,금,KIA,SSG,광주
7,13,토,KIA,SSG,광주
7,14,일,KIA,SSG,광주
7,16,화,LG,SSG,잠실
7,17,수,LG,SSG,잠실
7,18,목,LG,SSG,잠실
7,19,금,SSG,키움,인천
7,20,토,SSG,키움,인천
7,21,일,SSG,키움,인천
7,23,화,KT,SSG,수원
7,24,수,KT,SSG,수원
7,25,목,KT,SSG,수원
7,26,금,SSG,두산,인천
7,27,토,SSG,두산,인천
7,28,일,SSG,두산,인천
7,30,화,SSG,롯데,인천
7,31,수,SSG,롯데,인천
8,1,목,SSG,롯데,인천
8,2,금,삼성,SSG,대구
8,3,토,삼성,SSG,대구
8,4,일,삼성,SSG,대구
8,6,화,키움,SSG,고척
8,7,수,키움,SSG,고척
8,8,목,키움,SSG,고척
8,9,금,SSG,두산,인천
8,10,토,SSG,두산,인천
8,11,일,SSG,두산,인천
8,13,화,NC,SSG,창원
8,14,수,NC,SSG,창원
8,15,목,NC,SSG,창원
8,16,금,SSG,한화,인천
8,17,토,SSG,한화,인천
8,18,일,SSG,한화,인천
8,20,화,LG,SSG,잠실
8,21,수,LG,SSG,잠실
8,22,목,LG,SSG,잠실
8,23,금,SSG,KT,인천
8,24,토,SSG,KT,인천
8,25,일,SSG,KT,인천
8,27,화,KIA,SSG,광주
8,28,수,KIA,SSG,광주
8,29,목,KIA,SSG,광주
